exp_id,timestamp,model,win,n_ext,ext_cols,members,weighting,MedianGain_vs_E0,champion_before,MedianGain_vs_champion,WinRate,P10Gain,WorstGain,eps_champion,decision,champion_after,rmse_mean_win,rmse_mean_champion,gain_cells,rmse_h1,rmse_h2,rmse_h3,mae_h1,mae_h2,mae_h3,champ_rmse_h1,champ_rmse_h2,champ_rmse_h3,latency_p95_ms,latency_p99_ms,latency_max_ms,train_device,predict_device
20260831_215117_champion_lgbm,2026-08-31T21:51:17,lgbm,prune,14,ret_60|ret_240|ret_1440|log_rv15_rv240|log_rv60_rv1440|ret_skew_60|log_c_ema1440|log_ema60_ema240|hma_slope64_volnorm|rsi240_centered|mfi60_centered|ad_vwclv_15|psar_age_log|log_rv60_med2d,,,-0.027,,,,,,,champion ban đầu,lgbm,"[[44.9175, 62.5816, 76.4056], [51.1843, 70.4266, 84.0051], [57.317, 82.7224, 100.6094], [84.8954, 116.9444, 143.2141], [102.3392, 131.3904, 150.1718]]",,,68.1307,92.8131,110.8812,41.8172,58.9,72.1417,,,,"[1.182, 1.178, 1.178]","[4.379, 5.281, 5.49]","[9.332, 9.263, 9.298]",GPU,CPU
20260831_215827_champion_xgb,2026-08-31T21:58:27,xgb,prune,11,log_c_ema1440|log_ema60_ema240|rsi240_centered|macd_hist_60_240_60_volnorm|bb_pctb_20|mfi60_centered|ad_vwclv_5|ad_vwclv_15|psar_logdist|psar_age_log|log_rv60_med2d,,,-0.0194,lgbm,-0.0035,0.4667,-0.4739,-1.0138,0.09664603162645494,giữ,lgbm,"[[44.9411, 62.5838, 75.9911], [51.2578, 70.2666, 84.0746], [57.7103, 82.4739, 100.6377], [84.8204, 117.1262, 143.1582], [101.528, 131.3546, 151.6942]]","[[44.9175, 62.5816, 76.4056], [51.1843, 70.4266, 84.0051], [57.317, 82.7224, 100.6094], [84.8954, 116.9444, 143.2141], [102.3392, 131.3904, 150.1718]]","[[-0.0525, -0.0035, 0.5426], [-0.1436, 0.2272, -0.0827], [-0.6861, 0.3004, -0.0281], [0.0884, -0.1555, 0.039], [0.7927, 0.0272, -1.0138]]",68.0515,92.761,111.1112,41.8459,58.9513,72.2908,68.1307,92.8131,110.8812,"[0.524, 0.457, 0.45]","[0.727, 0.73, 0.726]","[8.522, 8.645, 8.636]",GPU,GPU
20260831_221516_champion_cat,2026-08-31T22:15:16,cat,prune,5,ret_60|ret_skew_60|rsi240_centered|bb_pctb_20|r5_1,,,-0.0017,lgbm,0.0253,0.6667,-0.1231,-0.5361,0.09664603162645494,giữ,lgbm,"[[44.8553, 62.5103, 76.0607], [51.2027, 70.36, 84.1142], [57.3397, 82.652, 101.1488], [84.8739, 116.8841, 143.2024], [102.2617, 131.3595, 150.3416]]","[[44.9175, 62.5816, 76.4056], [51.1843, 70.4266, 84.0051], [57.317, 82.7224, 100.6094], [84.8954, 116.9444, 143.2141], [102.3392, 131.3904, 150.1718]]","[[0.1385, 0.1139, 0.4514], [-0.0359, 0.0946, -0.1299], [-0.0397, 0.0851, -0.5361], [0.0253, 0.0516, 0.0082], [0.0758, 0.0235, -0.1131]]",68.1067,92.7532,110.9736,41.783,58.8653,72.1296,68.1307,92.8131,110.8812,"[1.354, 0.928, 0.924]","[1.372, 0.947, 0.93]","[2.213, 1.418, 0.96]",GPU,CPU
20260901_102745_probe_tfm_b0,2026-09-01T10:27:45,tfm_b0,prune,0,,,,-17.7253,,,,,,,probe — không so champion,lgbm,"[[49.1026, 72.8833, 94.9337], [56.322, 82.5809, 106.2065], [62.9209, 96.6071, 123.9126], [99.854, 153.3722, 205.3662], [115.5472, 168.8811, 218.8232]]",,,,,,,,,,,,,,,GPU,
20260901_130346_probe_tfm_ext,2026-09-01T13:03:46,tfm_ext,prune,0,,,,-1.9958,,,,,,,probe — không so champion,lgbm,"[[45.6344, 63.6964, 77.5673], [52.0258, 71.9323, 86.3131], [58.2727, 84.3594, 102.6264], [87.1086, 120.1936, 147.2516], [103.3938, 132.8573, 152.4506]]",,,,,,,,,,,,,,,GPU,
20260901_130351_champion_tfm,2026-09-01T13:03:51,tfm,tfm_final=tfm_ext,0,,,,-1.9958,lgbm,-1.7814,0.0,-2.766,-2.8192,0.09664603162645494,giữ,lgbm,"[[45.6344, 63.6964, 77.5673], [52.0258, 71.9323, 86.3131], [58.2727, 84.3594, 102.6264], [87.1086, 120.1936, 147.2516], [103.3938, 132.8573, 152.4506]]","[[44.9175, 62.5816, 76.4056], [51.1843, 70.4266, 84.0051], [57.317, 82.7224, 100.6094], [84.8954, 116.9444, 143.2141], [102.3392, 131.3904, 150.1718]]","[[-1.596, -1.7814, -1.5205], [-1.644, -2.138, -2.7474], [-1.6673, -1.9789, -2.0048], [-2.607, -2.7784, -2.8192], [-1.0304, -1.1165, -1.5174]]",69.2871,94.6078,113.2418,,,,,,,,,,,
20260901_133421_champion_xgbrf,2026-09-01T13:34:21,xgbrf,prune,12,vwap_amt_gap_1|vwap_amt_gap_240|log_rv60_rv1440|log_c_ema1440|log_ema60_ema240|hma_slope64_volnorm|bb_pctb_20|mfi60_centered|psar_age_log|log_rv60_med2d|log_range_240|r5_12,,,0.0323,lgbm,0.11,0.6667,-0.193,-0.2814,0.09664603162645494,đổi,xgbrf,"[[44.8636, 62.4721, 76.0546], [51.2021, 70.4242, 84.2415], [57.1944, 82.0349, 100.2925], [84.8333, 116.8097, 143.0565], [102.4791, 131.6637, 150.4277]]","[[44.9175, 62.5816, 76.4056], [51.1843, 70.4266, 84.0051], [57.317, 82.7224, 100.6094], [84.8954, 116.9444, 143.2141], [102.3392, 131.3904, 150.1718]]","[[0.12, 0.1749, 0.4594], [-0.0348, 0.0034, -0.2814], [0.2139, 0.8311, 0.315], [0.0732, 0.1153, 0.11], [-0.1366, -0.208, -0.1703]]",68.1145,92.6809,110.8146,41.7729,58.8648,72.1208,68.1307,92.8131,110.8812,"[0.555, 0.553, 0.551]","[0.836, 0.836, 0.832]","[8.87, 8.867, 8.69]",GPU,GPU
20260901_163315_probe_autots_wr,2026-09-01T16:33:15,autots_wr,prune,21,vwap_amt_gap_1|vwap_amt_gap_240|ret_1440|log_rv15_rv240|log_rv60_rv1440|dd_240|log_c_ema240|log_c_ema1440|log_ema60_ema240|hma_slope64_volnorm|macd_hist_60_240_60_volnorm|bb_pctb_60|bb_logbw_20|log_atr14_c|kcw_20|mfi60_centered|psar_age_log|log_rv60_med2d|r5_1|r5_12|log_c5_ema5_12,,,-2.9061,,,,,,,probe — không so champion,xgbrf,"[[46.2355, 64.6852, 78.8985], [51.7382, 71.7499, 86.0336], [60.477, 87.015, 106.9591], [87.2233, 120.481, 147.6954], [103.1835, 133.3009, 153.0609]]",,,,,,,,,,,,,,,GPU,
20260901_210518_probe_autots_mr,2026-09-01T21:05:18,autots_mr,unprune,8,vwap_amt_gap_1|vwap_amt_gap_15|log_rv15_rv240|log_rv60_rv1440|ret_skew_60|ru_240|kcw_20|psar_dir,,,-1.8973,,,,,,,probe — không so champion,xgbrf,"[[45.4946, 63.6636, 78.0582], [51.2946, 70.7502, 85.1557], [59.6002, 86.5825, 108.5228], [86.4827, 121.2454, 150.0266], [101.9197, 131.9993, 153.1535]]",,,,,,,,,,,,,,,GPU,
20260901_230057_champion_autots,2026-09-01T23:00:57,autots,autots_final,21,vwap_amt_gap_1|vwap_amt_gap_240|ret_1440|log_rv15_rv240|log_rv60_rv1440|dd_240|log_c_ema240|log_c_ema1440|log_ema60_ema240|hma_slope64_volnorm|macd_hist_60_240_60_volnorm|bb_pctb_60|bb_logbw_20|log_atr14_c|kcw_20|mfi60_centered|psar_age_log|log_rv60_med2d|r5_1|r5_12|log_c5_ema5_12,,,-2.0578,xgbrf,-2.1049,0.0,-6.3201,-8.3267,0.020019571713617772,giữ,xgbrf,"[[45.6501, 63.6255, 78.0472], [51.9974, 71.2934, 85.4197], [60.9111, 87.0002, 108.6436], [86.6189, 119.2931, 146.6481], [102.9381, 133.1716, 155.2127]]","[[44.8636, 62.4721, 76.0546], [51.2021, 70.4242, 84.2415], [57.1944, 82.0349, 100.2925], [84.8333, 116.8097, 143.0565], [102.4791, 131.6637, 150.4277]]","[[-1.7531, -1.8462, -2.6199], [-1.5532, -1.2342, -1.3986], [-6.4984, -6.0526, -8.3267], [-2.1049, -2.1261, -2.5106], [-0.4479, -1.1452, -3.181]]",69.6231,94.8768,114.7942,,,,,,,,,,,
20260901_230951_champion_lstm,2026-09-01T23:09:51,lstm,prune,23,vwap_amt_gap_1|vwap_amt_gap_15|ret_60|ret_240|ret_1440|log_rv15_rv240|log_rv60_rv1440|ret_skew_60|dd_240|log_c_ema1440|log_ema60_ema240|macd_hist_60_240_60_volnorm|bb_pctb_20|bb_logbw_20|mfi60_centered|ad_vwclv_60|psar_age_log|dow_cos|log_rv60_med2d|log_range_240|r5_1|r5_12|log_c5_ema5_12,,,-0.5291,xgbrf,-0.6619,0.2,-1.8196,-3.3736,0.020019571713617772,giữ,xgbrf,"[[45.1606, 62.839, 76.6242], [51.1368, 70.2684, 83.9863], [57.9242, 83.6062, 103.676], [85.0159, 117.8343, 145.4542], [102.6833, 132.2302, 151.6688]]","[[44.8636, 62.4721, 76.0546], [51.2021, 70.4242, 84.2415], [57.1944, 82.0349, 100.2925], [84.8333, 116.8097, 143.0565], [102.4791, 131.6637, 150.4277]]","[[-0.6619, -0.5874, -0.7489], [0.1276, 0.2213, 0.3029], [-1.2761, -1.9154, -3.3736], [-0.2152, -0.8772, -1.676], [-0.1993, -0.4302, -0.8251]]",68.3842,93.3556,112.2819,42.0019,59.266,72.8679,68.1145,92.6809,110.8146,"[0.858, 0.858, 0.858]","[0.867, 0.867, 0.867]","[0.893, 0.893, 0.893]",GPU,GPU
