order,candidate,columns,group,MedianGain_vs_S,WinRate,P10Gain,WorstGain,MedianGain_vs_base,MedianGain_vs_E0,gain_standalone_E0,decision,eps,size_S_after,rmse_cells,gain_cells_vs_S,exp_id
1,vwap_amt_gap_1,vwap_amt_gap_1,A,-0.09638772387428052,0.4,-0.3119681803463692,-0.4196805826915506,-0.09638772387428052,-2.62942852312249,-0.04841108166517838,KEEP,0.6807233520258263,73,"[[45.9235, 64.2829, 79.0447], [52.0914, 72.7286, 86.3337], [59.2, 84.3623, 103.1803], [87.181, 119.4369, 146.9524], [102.6796, 133.3869, 153.782]]","[[-0.1032, -0.1055, -0.2526], [0.0355, -0.3301, -0.1331], [-0.0964, 0.1154, -0.2848], [0.3666, 0.2291, 0.7243], [0.3225, -0.4197, -0.0015]]",20260901_134659_loop_autots_wr_vwap_amt_gap_1
2,vwap_amt_gap_15,vwap_amt_gap_15,A,-0.3201194658654538,0.13333333333333333,-0.6619115101551154,-0.7941937591787962,-0.3022538964260635,-2.9173480670772634,-0.021550334314723862,KEEP,0.6807233520258263,74,"[[46.0148, 64.4891, 78.7887], [52.4422, 73.1794, 87.0194], [59.3918, 84.6324, 103.3981], [87.3485, 120.2069, 147.466], [102.9122, 133.1384, 153.8525]]","[[-0.1988, -0.3209, 0.3239], [-0.6734, -0.6199, -0.7942], [-0.324, -0.3201, -0.2111], [-0.1922, -0.6446, -0.3495], [-0.2266, 0.1863, -0.0458]]",20260901_134846_loop_autots_wr_vwap_amt_gap_15
3,vwap_amt_gap_60,vwap_amt_gap_60,A,0.3517669024111436,0.8666666666666667,0.032264346910220204,-0.19244782105960478,-0.0734033462153727,-2.5945022242981786,-0.021071853945020536,KEEP,0.6807233520258263,75,"[[46.0384, 64.2623, 78.9403], [52.3115, 72.9236, 86.622], [58.899, 84.2615, 102.9941], [87.0745, 119.4512, 146.868], [102.7464, 132.9283, 153.2947]]","[[-0.0514, 0.3518, -0.1924], [0.2492, 0.3496, 0.4566], [0.8297, 0.4383, 0.3907], [0.3137, 0.6287, 0.4055], [0.1611, 0.1578, 0.3625]]",20260901_135031_loop_autots_wr_vwap_amt_gap_60
4,vwap_amt_gap_240,vwap_amt_gap_240,A,-0.07121431274881296,0.26666666666666666,-0.34357237844634625,-0.5003947739885772,-0.07545050993458258,-2.7934561460296603,-0.03960968818441657,KEEP,0.6807233520258263,76,"[[45.8896, 64.2636, 78.9588], [52.3487, 72.749, 86.6308], [59.0781, 84.5166, 103.2979], [87.2545, 119.8193, 147.4072], [102.4652, 132.6386, 154.0618]]","[[0.3234, -0.002, -0.0234], [-0.0712, 0.2394, -0.0101], [-0.3041, -0.3028, -0.295], [-0.2067, -0.3082, -0.3672], [0.2737, 0.218, -0.5004]]",20260901_135218_loop_autots_wr_vwap_amt_gap_240
5,ret_60,ret_60,B,0.13717014039058562,0.6666666666666666,-0.6440813257705225,-2.285733988867822,-0.1708656364308725,-2.728812004702097,-0.006119282396510606,KEEP,0.6807233520258263,77,"[[45.9545, 64.4216, 78.7861], [52.3386, 72.6492, 86.5914], [58.8344, 84.3007, 102.8877], [86.4717, 118.6025, 146.935], [103.2398, 135.6703, 154.7954]]","[[-0.1415, -0.2458, 0.2187], [0.0194, 0.1372, 0.0455], [0.4125, 0.2554, 0.3971], [0.8972, 1.0156, 0.3204], [-0.756, -2.2857, -0.4762]]",20260901_135404_loop_autots_wr_ret_60
6,ret_240,ret_240,B,-0.11395897627426432,0.4666666666666667,-0.6093014662133189,-1.1537302237361713,0.09750473782567104,-2.8198653042953437,-0.062212373778613994,KEEP,0.6807233520258263,78,"[[45.6453, 64.2801, 78.6518], [52.4483, 72.732, 86.1308], [59.0853, 84.9172, 104.0748], [86.6349, 119.0228, 146.1519], [102.4853, 135.4384, 155.1531]]","[[0.673, 0.2196, 0.1705], [-0.2095, -0.114, 0.532], [-0.4264, -0.7312, -1.1537], [-0.1888, -0.3544, 0.533], [0.7309, 0.1709, -0.231]]",20260901_135551_loop_autots_wr_ret_240
7,ret_1440,ret_1440,B,-0.15667916891983769,0.4666666666666667,-0.8887492606924097,-1.3576979271729739,-0.3966450284853762,-2.9145997556041303,-0.0015547207167454502,KEEP,0.6807233520258263,79,"[[45.5828, 64.1591, 78.8128], [52.3897, 72.967, 86.7234], [59.1779, 85.2636, 103.4936], [86.7963, 120.2399, 148.1362], [102.3673, 134.8014, 154.3897]]","[[0.1368, 0.1883, -0.2047], [0.1116, -0.3232, -0.688], [-0.1567, -0.408, 0.5584], [-0.1863, -1.0226, -1.3577], [0.1151, 0.4704, 0.492]]",20260901_135736_loop_autots_wr_ret_1440
8,log_rv15_rv240,log_rv15_rv240,B,0.08546233830019068,0.7333333333333333,-0.42125581529826484,-0.5052686903380454,0.16523171175940599,-2.8434233468870085,-0.016491215645508817,KEEP,0.6807233520258263,80,"[[45.7769, 64.1091, 78.4409], [52.2533, 72.5093, 86.0017], [59.0199, 85.0639, 103.4286], [86.7577, 120.1371, 147.4151], [102.4323, 135.4825, 155.0297]]","[[-0.4257, 0.078, 0.472], [0.2603, 0.6273, 0.8321], [0.267, 0.2343, 0.0629], [0.0445, 0.0855, 0.4868], [-0.0635, -0.5053, -0.4146]]",20260901_135923_loop_autots_wr_log_rv15_rv240
9,log_rv60_rv1440,log_rv60_rv1440,B,0.002190920396583085,0.5333333333333333,-0.2049150821623824,-0.3465867109228471,0.005633950026540102,-2.649157312607553,-0.012347493123110453,KEEP,0.6807233520258263,81,"[[45.8735, 64.1734, 78.5257], [52.2836, 72.6511, 86.2998], [59.1348, 84.9414, 103.0088], [86.1118, 119.5228, 147.0084], [102.2786, 135.4795, 154.6931]]","[[-0.2112, -0.1004, -0.1082], [-0.0579, -0.1955, -0.3466], [-0.1946, 0.144, 0.4058], [0.7444, 0.5113, 0.2759], [0.15, 0.0022, 0.2172]]",20260901_140110_loop_autots_wr_log_rv60_rv1440
10,ret_skew_60,ret_skew_60,B,-0.3348909211311035,0.2,-0.9158675041992703,-1.2736418252647264,-0.3177396786273379,-3.1152985616991424,-0.020362152624908703,KEEP,0.6807233520258263,82,"[[45.6318, 64.2975, 78.4178], [52.2754, 72.8902, 86.8887], [59.3896, 85.8515, 104.3208], [86.1253, 119.6798, 147.7068], [102.8005, 136.1152, 155.2111]]","[[0.5271, -0.1934, 0.1374], [0.0156, -0.3291, -0.6824], [-0.4309, -1.0715, -1.2736], [-0.0157, -0.1313, -0.4751], [-0.5102, -0.4692, -0.3349]]",20260901_140257_loop_autots_wr_ret_skew_60
