order,candidate,columns,group,MedianGain_vs_S,WinRate,P10Gain,WorstGain,MedianGain_vs_base,MedianGain_vs_E0,gain_standalone_E0,decision,eps,size_S_after,rmse_cells,gain_cells_vs_S,exp_id
1,vwap_amt_gap_1,vwap_amt_gap_1,A,-0.1530967732656041,0.3333333333333333,-0.9884772820355892,-1.0743919485779019,-0.1530967732656041,-0.24314500947257844,-0.04841108166517838,KEEP,0.40413953563010163,73,"[[45.0391, 62.6302, 76.8124], [51.0665, 70.2696, 83.9664], [57.7694, 83.0642, 101.6107], [85.5309, 119.358, 147.0276], [101.8946, 130.8874, 150.4123]]","[[-0.0234, 0.3569, -0.1531], [-0.0061, 0.1502, 0.1241], [-0.5735, -0.4191, -1.0744], [-0.1988, -1.0413, -0.9093], [1.0508, -0.8292, 0.638]]",20260901_230141_loop_lstm_vwap_amt_gap_1
2,vwap_amt_gap_15,vwap_amt_gap_15,A,0.1412996896828278,0.6,-0.8744022867356671,-1.2171613421687377,-0.051028631502569866,-0.4103789091804977,-0.021550334314723862,KEEP,0.40413953563010163,74,"[[44.9157, 62.7996, 76.7341], [51.1699, 70.1703, 83.8292], [57.4103, 82.3653, 100.9085], [86.0048, 118.4162, 146.1351], [102.7102, 132.0964, 152.243]]","[[0.2739, -0.2706, 0.1019], [-0.2025, 0.1413, 0.1634], [0.6217, 0.8414, 0.6911], [-0.554, 0.789, 0.6071], [-0.8005, -0.9237, -1.2172]]",20260901_230150_loop_lstm_vwap_amt_gap_15
3,vwap_amt_gap_60,vwap_amt_gap_60,A,-0.1977959047995137,0.2,-0.5529072977224825,-0.7332079603262542,-0.22646327098989616,-0.44104804143614285,-0.021071853945020536,KEEP,0.40413953563010163,75,"[[45.0862, 62.9818, 76.8859], [51.179, 70.2079, 83.9447], [57.5802, 82.9692, 100.9802], [85.2432, 118.8722, 146.7179], [101.8997, 132.9625, 149.8314]]","[[-0.3794, -0.2901, -0.1978], [-0.0178, -0.0536, -0.1378], [-0.2959, -0.7332, -0.071], [0.8855, -0.3851, -0.3988], [0.7892, -0.6556, 1.5841]]",20260901_230200_loop_lstm_vwap_amt_gap_60
4,vwap_amt_gap_240,vwap_amt_gap_240,A,0.08284168765279043,0.6,-0.6958793449769374,-1.1480298048743398,-0.11453846518993949,-0.6240879996568971,-0.03960968818441657,KEEP,0.40413953563010163,76,"[[45.048, 62.7816, 76.8959], [51.0179, 70.1341, 83.9026], [57.5325, 82.6411, 101.6233], [85.5997, 119.7462, 146.3985], [102.4298, 130.3222, 151.5515]]","[[0.0847, 0.318, -0.0131], [0.3149, 0.1051, 0.0501], [0.0828, 0.3955, -0.6368], [-0.4182, -0.7352, 0.2177], [-0.5203, 1.9857, -1.148]]",20260901_230211_loop_lstm_vwap_amt_gap_240
5,ret_60,ret_60,B,-0.027382845084300556,0.4666666666666667,-0.7838716090854979,-1.6701848209685677,-0.1178313737943304,-0.5471733254879263,-0.006119282396510606,KEEP,0.40413953563010163,77,"[[45.0603, 62.8593, 76.7846], [51.1236, 70.0173, 83.9362], [57.4734, 82.8562, 100.9205], [85.7631, 119.669, 146.2477], [103.5903, 132.4988, 150.7563]]","[[-0.0274, -0.1238, 0.1447], [-0.2072, 0.1666, -0.04], [0.1026, -0.2603, 0.6915], [-0.1908, 0.0645, 0.103], [-1.1329, -1.6702, 0.5247]]",20260901_230222_loop_lstm_ret_60
6,ret_240,ret_240,B,-0.20752401943209264,0.4,-1.093455196853239,-1.2533661543614905,-0.12435789366218586,-0.5829156632987775,-0.062212373778613994,KEEP,0.40413953563010163,78,"[[45.0845, 62.8419, 76.7432], [51.0324, 70.2223, 83.8167], [57.782, 83.7303, 102.1854], [86.7229, 120.3072, 146.895], [101.7486, 131.9226, 151.0691]]","[[-0.0538, 0.0276, 0.054], [0.1783, -0.2928, 0.1424], [-0.537, -1.0549, -1.2534], [-1.1191, -0.5333, -0.4426], [1.7779, 0.4348, -0.2075]]",20260901_230233_loop_lstm_ret_240
7,ret_1440,ret_1440,B,0.006893960375686792,0.5333333333333333,-0.5928072739307488,-2.1915991785403044,-0.03408411215219953,-0.5475596448125897,-0.0015547207167454502,KEEP,0.40413953563010163,79,"[[45.0409, 62.8595, 76.6173], [51.0808, 70.2894, 83.8109], [57.7697, 84.0282, 101.7277], [86.2457, 121.1385, 150.1143], [102.2019, 131.4772, 149.6761]]","[[0.0967, -0.028, 0.164], [-0.0948, -0.0956, 0.0069], [0.0214, -0.3558, 0.4479], [0.5503, -0.691, -2.1916], [-0.4456, 0.3377, 0.9221]]",20260901_230244_loop_lstm_ret_1440
8,log_rv15_rv240,log_rv15_rv240,B,0.42784809841823757,0.6666666666666666,-0.6735575562329997,-1.1168758217045882,-0.3122742937990308,-0.5326470311505016,-0.016491215645508817,KEEP,0.40413953563010163,80,"[[45.1692, 62.5787, 76.2895], [51.0861, 70.2661, 83.7713], [57.8393, 83.5433, 102.6767], [85.8067, 119.5033, 147.5619], [101.628, 130.7656, 151.3478]]","[[-0.2847, 0.4467, 0.4278], [-0.0103, 0.0332, 0.0472], [-0.1205, 0.577, -0.9328], [0.509, 1.3499, 1.7003], [0.5616, 0.5413, -1.1169]]",20260901_230254_loop_lstm_log_rv15_rv240
9,log_rv60_rv1440,log_rv60_rv1440,B,-0.1413416522649591,0.26666666666666666,-0.877304154444678,-1.1956091895263699,-0.23142188993681145,-0.560041746777995,-0.012347493123110453,KEEP,0.40413953563010163,81,"[[45.215, 62.7525, 76.4755], [51.1512, 70.3654, 83.7886], [57.5729, 83.0794, 102.5212], [86.15, 120.6929, 148.2735], [102.8431, 131.681, 150.1971]]","[[-0.1014, -0.2778, -0.2438], [-0.1275, -0.1413, -0.0206], [0.4605, 0.5553, 0.1514], [-0.4001, -0.9955, -0.4822], [-1.1956, -0.7001, 0.7603]]",20260901_230305_loop_lstm_log_rv60_rv1440
10,ret_skew_60,ret_skew_60,B,-0.13100427816199467,0.3333333333333333,-1.6421139425020614,-2.1663486990835423,-0.36272934067522744,-0.8267456852874222,-0.020362152624908703,KEEP,0.40413953563010163,82,"[[45.076, 62.9086, 76.8184], [51.19, 70.3384, 84.0505], [57.6483, 84.1818, 102.5343], [86.7679, 123.3075, 147.33], [101.5419, 131.3301, 152.979]]","[[0.3074, -0.2487, -0.4484], [-0.0759, 0.0384, -0.3126], [-0.131, -1.327, -0.0127], [-0.7173, -2.1663, 0.6363], [1.2652, 0.2665, -1.8522]]",20260901_230316_loop_lstm_ret_skew_60
