order,candidate,columns,group,MedianGain_vs_S,WinRate,P10Gain,WorstGain,MedianGain_vs_base,MedianGain_vs_E0,gain_standalone_E0,decision,eps,size_S_after,rmse_cells,gain_cells_vs_S,exp_id
1,vwap_amt_gap_1,vwap_amt_gap_1,A,-0.05617020583632559,0.26666666666666666,-0.5900066875709298,-1.0913596759074773,-0.05617020583632559,0.02276929015401219,-0.04841108166517838,KEEP,0.28216933175893627,73,"[[45.1041, 62.7969, 75.853], [51.2296, 70.3323, 84.0365], [58.6527, 82.0361, 100.4494], [84.9115, 116.8427, 144.1056], [102.5066, 131.1871, 150.1594]]","[[-0.6198, -0.2879, 0.1508], [-0.147, -0.5453, 0.1077], [-0.3226, -0.0313, -0.0506], [-0.0202, 0.0084, 0.2593], [-1.0914, -0.4735, -0.0562]]",20260831_215145_loop_xgb_vwap_amt_gap_1
2,vwap_amt_gap_15,vwap_amt_gap_15,A,-0.04674275901510594,0.4,-0.4257346458148126,-0.5238064954595334,-0.07801299092446978,-0.05778023692069034,-0.021550334314723862,KEEP,0.28216933175893627,74,"[[44.9994, 62.611, 75.9368], [51.2719, 70.1608, 84.1694], [58.3579, 82.0745, 100.4187], [84.9215, 116.9182, 144.8487], [102.0666, 131.8743, 150.5961]]","[[0.232, 0.296, -0.1105], [-0.0826, 0.2439, -0.1581], [0.5027, -0.0467, 0.0305], [-0.0118, -0.0646, -0.5157], [0.4292, -0.5238, -0.2908]]",20260831_215153_loop_xgb_vwap_amt_gap_15
3,vwap_amt_gap_60,vwap_amt_gap_60,A,0.01264092574073672,0.6,-0.432459447617104,-1.1087579131259462,-0.16003603561682844,-0.0068635717797471685,-0.021071853945020536,KEEP,0.28216933175893627,75,"[[44.8373, 62.9124, 75.9637], [51.2654, 70.3416, 83.9007], [59.0049, 82.3691, 100.3579], [84.9115, 116.8427, 144.7114], [102.4084, 131.6417, 150.1992]]","[[0.3603, -0.4815, -0.0355], [0.0126, -0.2578, 0.3192], [-1.1088, -0.3589, 0.0606], [0.0118, 0.0646, 0.0948], [-0.3349, 0.1763, 0.2636]]",20260831_215201_loop_xgb_vwap_amt_gap_60
4,vwap_amt_gap_240,vwap_amt_gap_240,A,-0.12516073731245747,0.3333333333333333,-0.6361945958126158,-0.9583164857522641,-0.1415541965445133,-0.16732708227105153,-0.03960968818441657,KEEP,0.28216933175893627,76,"[[45.1032, 62.6977, 76.0588], [51.1776, 70.4879, 84.1213], [58.722, 82.9167, 100.6607], [85.0145, 116.8609, 143.9293], [102.7203, 132.9033, 150.0514]]","[[-0.5932, 0.3414, -0.1252], [0.1712, -0.208, -0.2629], [0.4795, -0.6649, -0.3017], [-0.1213, -0.0156, 0.5405], [-0.3045, -0.9583, 0.0984]]",20260831_215210_loop_xgb_vwap_amt_gap_240
5,ret_60,ret_60,B,0.057350585080073735,0.6,-0.20517914839033313,-0.5486053453286788,-0.269480670419453,-0.04368059184161055,-0.006119282396510606,KEEP,0.28216933175893627,77,"[[44.9471, 62.8052, 75.9949], [51.2941, 70.4639, 84.0731], [58.5234, 82.7957, 100.692], [84.9095, 116.8651, 143.5288], [102.181, 133.6324, 150.1014]]","[[0.3463, -0.1715, 0.084], [-0.2276, 0.034, 0.0574], [0.3382, 0.146, -0.0311], [0.1234, -0.0036, 0.2782], [0.525, -0.5486, -0.0333]]",20260831_215218_loop_xgb_ret_60
6,ret_240,ret_240,B,-0.015815389984807915,0.4666666666666667,-0.3072958494207523,-0.8008705087030554,-0.127167816989604,-0.16035776888434494,-0.06221235483456766,KEEP,0.28216933175893627,78,"[[45.0924, 62.6962, 76.0069], [51.1606, 70.3968, 84.0287], [58.1589, 83.4588, 100.7379], [85.0086, 116.8323, 143.8007], [102.4705, 133.3407, 150.137]]","[[-0.3233, 0.1735, -0.0158], [0.2603, 0.0952, 0.0527], [0.6227, -0.8009, -0.0455], [-0.1166, 0.0281, -0.1894], [-0.2833, 0.2183, -0.0238]]",20260831_215227_loop_xgb_ret_240
7,ret_1440,ret_1440,B,-0.05265183923321981,0.3333333333333333,-0.3811159514425144,-0.597375438971004,-0.19451765950284639,-0.14098980373209447,-0.0015547207167454502,KEEP,0.28216933175893627,79,"[[45.0205, 62.7384, 76.0626], [51.3517, 70.4339, 84.2266], [58.5064, 83.2805, 100.6785], [84.9081, 116.8853, 144.356], [101.9558, 133.6861, 150.1392]]","[[0.1593, -0.0673, -0.0732], [-0.3735, -0.0527, -0.2355], [-0.5974, 0.2136, 0.0589], [0.1182, -0.0454, -0.3862], [0.5022, -0.2591, -0.0014]]",20260831_215235_loop_xgb_ret_1440
8,log_rv15_rv240,log_rv15_rv240,B,0.04269631859119549,0.6,-0.7703741101448357,-1.595684710713674,-0.2439609107198759,-0.06421727080958561,-0.016491215645508817,KEEP,0.28216933175893627,80,"[[44.9587, 62.6424, 76.0754], [51.2792, 70.3992, 83.9459], [59.109, 83.5976, 100.7371], [84.9018, 116.8354, 143.7084], [103.5827, 132.8051, 150.1658]]","[[0.1374, 0.153, -0.0169], [0.1413, 0.0492, 0.3333], [-1.0301, -0.3808, -0.0582], [0.0074, 0.0427, 0.4486], [-1.5957, 0.659, -0.0177]]",20260831_215244_loop_xgb_log_rv15_rv240
9,log_rv60_rv1440,log_rv60_rv1440,B,0.005348561627538384,0.5333333333333333,-0.4636191102245979,-1.0155852626452688,-0.15805537043898088,-0.04336557288489029,-0.012347493123110453,KEEP,0.28216933175893627,81,"[[45.0974, 62.8104, 76.0876], [51.2333, 70.3949, 84.2215], [58.6933, 82.9649, 100.435], [84.8973, 116.8853, 144.5043], [101.8233, 134.1539, 150.0466]]","[[-0.3086, -0.2681, -0.016], [0.0895, 0.0062, -0.3283], [0.7033, 0.7569, 0.2999], [0.0053, -0.0427, -0.5538], [1.6986, -1.0156, 0.0794]]",20260831_215253_loop_xgb_log_rv60_rv1440
10,ret_skew_60,ret_skew_60,B,0.0455178813738355,0.6,-0.5742013616672414,-0.9384079146832258,-0.060430556654988976,-0.14210978613420355,-0.020362152624908703,KEEP,0.28216933175893627,82,"[[44.9937, 62.6353, 76.1536], [51.1385, 70.4181, 83.9763], [58.3803, 83.5962, 100.7303], [84.8943, 116.8321, 143.519], [102.7788, 133.0082, 150.1658]]","[[0.23, 0.2787, -0.0867], [0.185, -0.033, 0.2911], [0.5334, -0.761, -0.294], [0.0035, 0.0455, 0.6818], [-0.9384, 0.854, -0.0795]]",20260831_215302_loop_xgb_ret_skew_60
