order,candidate,columns,group,MedianGain_vs_S,WinRate,P10Gain,WorstGain,MedianGain_vs_base,MedianGain_vs_E0,gain_standalone_E0,decision,eps,size_S_after,rmse_cells,gain_cells_vs_S,exp_id
1,vwap_amt_gap_1,vwap_amt_gap_1,A,0.005098577344297972,0.5333333333333333,-0.9282044762720609,-1.1879877591260746,0.005098577344297972,-2.808164943262126,-0.04841108166517838,KEEP,0.005,73,"[[46.0075, 64.5731, 79.1777], [51.4798, 70.9145, 85.54], [61.3486, 89.8567, 114.338], [86.8732, 121.793, 151.8114], [102.8445, 133.385, 154.4113]]","[[0.6193, 0.7709, 0.917], [-0.1269, -0.3954, -0.6758], [0.8018, 1.814, 2.5965], [0.5761, 0.0051, -0.1714], [-0.0816, -1.0965, -1.188]]",20260901_165147_loop_autots_mr_vwap_amt_gap_1
2,vwap_amt_gap_15,vwap_amt_gap_15,A,0.33731947576053356,0.8,-0.11278178459198428,-0.19602159266398633,0.4530329883599804,-2.5579641784756246,-0.021550334314723862,KEEP,0.005,74,"[[45.7819, 64.4541, 79.2334], [51.5524, 70.8747, 85.5338], [61.0339, 89.2385, 113.1324], [87.0435, 121.3822, 150.1883], [102.2951, 132.9536, 153.8377]]","[[0.4902, 0.1844, -0.0703], [-0.1411, 0.0561, 0.0071], [0.513, 0.688, 1.0544], [-0.196, 0.3373, 1.0691], [0.5342, 0.3235, 0.3715]]",20260901_165535_loop_autots_mr_vwap_amt_gap_15
3,vwap_amt_gap_60,vwap_amt_gap_60,A,-0.1255357932357981,0.4,-0.5548637867600492,-0.7097247038015064,0.6900394907045082,-2.365116464749306,-0.021071853945020536,DROP,0.005,74,"[[45.9925, 64.6258, 79.32], [51.7253, 71.0274, 85.8043], [61.1105, 89.7901, 113.9354], [86.6771, 121.2357, 149.9725], [101.9702, 131.3043, 153.2969]]","[[-0.4599, -0.2664, -0.1093], [-0.3353, -0.2155, -0.3162], [-0.1255, -0.6182, -0.7097], [0.4209, 0.1207, 0.1437], [0.3177, 1.2405, 0.3515]]",20260901_165924_loop_autots_mr_vwap_amt_gap_60
4,vwap_amt_gap_240,vwap_amt_gap_240,A,-0.09503967146342607,0.4666666666666667,-0.4611024498116967,-0.6260024482831694,0.7749601826317343,-2.1525938679619605,-0.03960968818441657,DROP,0.005,74,"[[45.514, 63.6653, 77.9446], [51.6235, 71.1838, 85.8545], [61.0114, 89.393, 113.24], [86.6994, 120.9514, 149.6217], [102.5992, 133.7859, 154.5727]]","[[0.5852, 1.2238, 1.6265], [-0.1379, -0.4361, -0.3749], [0.0369, -0.1732, -0.095], [0.3953, 0.3549, 0.3773], [-0.2973, -0.626, -0.4778]]",20260901_170319_loop_autots_mr_vwap_amt_gap_240
5,ret_60,ret_60,B,-0.1788845845072773,0.4,-1.1103591234758259,-1.4039662570739297,0.3102596948051928,-3.2825095615650612,-0.006119282396510606,DROP,0.005,74,"[[45.8829, 64.5694, 79.7451], [51.255, 70.1272, 84.5833], [60.3161, 87.5431, 110.1037], [87.1623, 122.1752, 151.9549], [102.6344, 134.2984, 155.9976]]","[[-0.2206, -0.1789, -0.6459], [0.5769, 1.0546, 1.1113], [1.1761, 1.8998, 2.6772], [-0.1364, -0.6533, -1.1763], [-0.3316, -1.0115, -1.404]]",20260901_170709_loop_autots_mr_ret_60
6,ret_240,ret_240,B,-0.040745312445111814,0.4666666666666667,-1.6005800147986404,-2.1795992856562085,-0.14145428207485988,-3.2874289860797212,-0.062212373778613994,DROP,0.005,74,"[[46.4069, 65.5869, 80.9603], [51.4872, 70.9035, 85.4076], [60.0479, 87.771, 110.4691], [86.9517, 121.5964, 150.7731], [102.3851, 132.933, 154.1696]]","[[-1.3651, -1.7576, -2.1796], [0.1264, -0.0407, 0.1476], [1.6154, 1.6444, 2.3542], [0.1054, -0.1765, -0.3893], [-0.088, 0.0155, -0.2158]]",20260901_171106_loop_autots_mr_ret_240
7,ret_1440,ret_1440,B,-0.1968425043427091,0.4,-2.2096557792717464,-2.780372078201143,0.23533953498358073,-2.7374692939458933,-0.0015547207167454502,DROP,0.005,74,"[[45.988, 64.5809, 79.5555], [51.2935, 70.1183, 84.4697], [62.1657, 91.4217, 116.2779], [87.1958, 121.8919, 151.2069], [102.1458, 132.6043, 153.4466]]","[[-0.4502, -0.1968, -0.4065], [0.5022, 1.0671, 1.2441], [-1.8545, -2.4465, -2.7804], [-0.175, -0.4199, -0.6782], [0.1459, 0.2628, 0.2542]]",20260901_171452_loop_autots_mr_ret_1440
8,log_rv15_rv240,log_rv15_rv240,B,0.03891592331176641,0.5333333333333333,-0.9599881975743996,-1.689339829310188,0.06470470905737269,-2.4987981909461165,-0.016491215645508817,KEEP,0.005,75,"[[45.7452, 64.0794, 78.6989], [51.5323, 70.9029, 85.5968], [60.6884, 88.7565, 112.244], [86.9056, 121.8307, 151.4536], [102.8085, 134.3341, 156.4366]]","[[0.0802, 0.5813, 0.6746], [0.0389, -0.0399, -0.0736], [0.566, 0.5401, 0.7853], [0.1584, -0.3695, -0.8424], [-0.5018, -1.0384, -1.6893]]",20260901_171839_loop_autots_mr_log_rv15_rv240
9,log_rv60_rv1440,log_rv60_rv1440,B,0.42627304284492684,0.9333333333333333,0.06273775747351219,-0.08522706119959977,0.6890258063096844,-2.3596152384654623,-0.012347493123110453,KEEP,0.005,76,"[[45.7323, 63.9924, 78.3538], [51.4734, 70.6007, 85.2811], [59.8876, 87.0417, 109.014], [86.7745, 121.2849, 150.1119], [102.8961, 134.1451, 155.3833]]","[[0.0283, 0.1358, 0.4385], [0.1144, 0.4263, 0.3688], [1.3196, 1.932, 2.8777], [0.1508, 0.4479, 0.8858], [-0.0852, 0.1407, 0.6733]]",20260901_172227_loop_autots_mr_log_rv60_rv1440
10,ret_skew_60,ret_skew_60,B,0.12801360313674515,0.6,-0.5008866525547973,-0.7983729794975636,0.4277300655375793,-2.1656498527028667,-0.020362152624908703,KEEP,0.005,77,"[[45.6737, 63.8711, 78.2171], [51.7109, 71.1643, 85.5795], [59.8093, 87.0728, 108.9853], [86.5851, 121.4216, 150.9034], [102.3904, 133.3603, 155.0922]]","[[0.128, 0.1895, 0.1745], [-0.4613, -0.7984, -0.3499], [0.1307, -0.0358, 0.0263], [0.2183, -0.1127, -0.5272], [0.4915, 0.585, 0.1874]]",20260901_172616_loop_autots_mr_ret_skew_60
