order,candidate,columns,group,MedianGain_vs_S,WinRate,P10Gain,WorstGain,MedianGain_vs_base,MedianGain_vs_E0,gain_standalone_E0,decision,eps,size_S_after,rmse_cells,gain_cells_vs_S,exp_id
1,vwap_amt_gap_1,vwap_amt_gap_1,A,0.0,0.4666666666666667,-0.12883560192908927,-0.18734702831353367,0.0,-0.007940960454355661,-0.04841108166517838,KEEP,0.09136446308473983,73,"[[44.8958, 62.5473, 76.2141], [51.2669, 70.2849, 83.9417], [57.3568, 82.1281, 100.4946], [84.8792, 117.0166, 143.3743], [102.1549, 131.4065, 149.9791]]","[[-0.1873, -0.0556, -0.0057], [-0.0464, 0.1263, 0.199], [-0.1777, -0.0145, 0.1022], [0.0085, 0.1061, 0.0084], [0.2038, 0.0, 0.0]]",20260831_220003_loop_cat_vwap_amt_gap_1
2,vwap_amt_gap_15,vwap_amt_gap_15,A,-0.03793315651334783,0.26666666666666666,-0.1073829421535466,-0.4868896251499555,-0.030729791173289556,-0.03350873879628402,-0.021550334314723862,KEEP,0.09136446308473983,74,"[[44.8949, 62.5322, 76.243], [51.2805, 70.3282, 84.3504], [57.4142, 82.2004, 100.5705], [84.8792, 117.148, 143.4303], [102.1629, 131.3881, 149.7095]]","[[0.002, 0.024, -0.0379], [-0.0265, -0.0616, -0.4869], [-0.1, -0.088, -0.0755], [0.0, -0.1123, -0.0391], [-0.0078, 0.014, 0.1797]]",20260831_220021_loop_cat_vwap_amt_gap_15
3,vwap_amt_gap_60,vwap_amt_gap_60,A,0.0,0.4666666666666667,-0.18338938954801431,-0.2651166981621156,-0.03635875560228374,-0.03931197774798001,-0.021071853945020536,KEEP,0.09136446308473983,75,"[[44.8643, 62.6708, 76.3392], [51.2617, 70.5146, 84.4106], [57.4315, 82.2708, 100.5763], [84.8779, 117.0417, 143.2856], [102.0272, 131.3881, 149.6457]]","[[0.0681, -0.2216, -0.1261], [0.0366, -0.2651, -0.0714], [-0.0302, -0.0856, -0.0058], [0.0016, 0.0907, 0.1009], [0.1328, 0.0, 0.0427]]",20260831_220039_loop_cat_vwap_amt_gap_60
4,vwap_amt_gap_240,vwap_amt_gap_240,A,0.0,0.4666666666666667,-0.08411101088450224,-0.30741518101937704,-0.040701361092732036,-0.04763962039828762,-0.03960968818441657,KEEP,0.09136446308473983,76,"[[44.8377, 62.6105, 76.2408], [51.2338, 70.4525, 84.3835], [57.4721, 82.2674, 100.5847], [84.8779, 117.1248, 143.7261], [102.037, 131.4091, 149.7846]]","[[0.0594, 0.0962, 0.1289], [0.0545, 0.0881, 0.0321], [-0.0706, 0.0042, -0.0083], [0.0, -0.071, -0.3074], [-0.0096, -0.016, -0.0929]]",20260831_220058_loop_cat_vwap_amt_gap_240
5,ret_60,ret_60,B,0.0,0.3333333333333333,-0.06041191026281644,-0.10385167071929047,-0.046244385679883315,-0.006388924259637108,-0.006119282396510606,KEEP,0.09136446308473983,77,"[[44.8326, 62.6043, 76.2408], [51.2367, 70.5081, 84.2601], [57.4758, 82.2464, 100.6891], [84.8779, 117.1633, 143.7261], [102.0607, 131.4486, 149.7455]]","[[0.0113, 0.0099, 0.0], [-0.0056, -0.0788, 0.1462], [-0.0066, 0.0255, -0.1039], [0.0, -0.0328, 0.0], [-0.0232, -0.0301, 0.0261]]",20260831_220117_loop_cat_ret_60
6,ret_240,ret_240,B,-0.014126330830221967,0.26666666666666666,-0.20468460965572977,-0.28464389228990417,-0.11386251823057858,-0.18727065478754135,-0.06221238973149745,KEEP,0.09136446308473983,78,"[[44.8629, 62.6604, 76.4036], [51.2395, 70.4636, 84.4214], [57.4303, 82.3044, 100.9757], [84.8779, 117.1478, 143.4873], [102.0864, 131.4486, 149.7666]]","[[-0.0676, -0.0897, -0.2135], [-0.0054, 0.063, -0.1914], [0.0792, -0.0705, -0.2846], [0.0, 0.0132, 0.1662], [-0.0252, 0.0, -0.0141]]",20260831_220135_loop_cat_ret_240
7,ret_1440,ret_1440,B,0.0,0.3333333333333333,-0.1552802550939214,-0.18865704314379173,-0.07045566547279059,-0.1819448603858298,-0.0015547207167454502,KEEP,0.09136446308473983,79,"[[44.8475, 62.631, 76.4274], [51.2375, 70.3922, 84.5807], [57.4429, 82.4177, 101.1444], [84.8779, 117.1048, 143.4873], [102.1064, 131.4486, 149.7666]]","[[0.0344, 0.047, -0.0312], [0.0039, 0.1013, -0.1887], [-0.0219, -0.1376, -0.1671], [0.0, 0.0367, 0.0], [-0.0196, 0.0, 0.0]]",20260831_220154_loop_cat_ret_1440
8,log_rv15_rv240,log_rv15_rv240,B,0.0,0.4,-0.12427824252849717,-0.2255652249170348,-0.07045566547279059,-0.15458440822764263,-0.016491215645508817,KEEP,0.09136446308473983,80,"[[44.8262, 62.6139, 76.3803], [51.2455, 70.385, 84.4214], [57.4833, 82.5383, 101.1127], [84.8779, 117.2115, 143.4873], [102.1553, 131.45, 150.1044]]","[[0.0474, 0.0273, 0.0616], [-0.0157, 0.0103, 0.1883], [-0.0704, -0.1464, 0.0314], [0.0, -0.0911, 0.0], [-0.0478, -0.001, -0.2256]]",20260831_220212_loop_cat_log_rv15_rv240
9,log_rv60_rv1440,log_rv60_rv1440,B,-0.0006199655582461716,0.4,-0.13285501837594804,-0.1803108436103873,-0.07979051055926334,-0.149575354607423,-0.012347493123110453,KEEP,0.09136446308473983,81,"[[44.8119, 62.6107, 76.3206], [51.2458, 70.4059, 84.5736], [57.4335, 82.4382, 101.1765], [84.8779, 117.2261, 143.5007], [102.1494, 131.452, 150.3736]]","[[0.032, 0.005, 0.0783], [-0.0006, -0.0298, -0.1803], [0.0867, 0.1213, -0.0632], [0.0, -0.0125, -0.0093], [0.0058, -0.0015, -0.1793]]",20260831_220231_loop_cat_log_rv60_rv1440
10,ret_skew_60,ret_skew_60,B,0.005982445380092738,0.6,-0.11469477597829679,-0.16309163735088728,-0.06114116036219919,-0.04552683561269699,-0.020362152624908703,KEEP,0.09136446308473983,82,"[[44.8393, 62.6136, 76.4353], [51.2427, 70.5208, 84.302], [57.3762, 82.4736, 101.1501], [84.8779, 117.1888, 143.4584], [102.1442, 131.4239, 149.9585]]","[[-0.0612, -0.0046, -0.1503], [0.006, -0.1631, 0.3212], [0.0998, -0.0428, 0.0261], [0.0, 0.0319, 0.0295], [0.0051, 0.0213, 0.276]]",20260831_220250_loop_cat_ret_skew_60
11,dd_240,dd_240,B,-0.03307706835817825,0.3333333333333333,-0.1385321851392174,-0.4233932740138169,-0.14862381769131794,-0.14094160950650636,-0.11060322252194332,KEEP,0.09136446308473983,83,"[[44.8587, 62.6343, 76.5617], [51.2427, 70.5721, 84.6589], [57.4042, 82.5243, 101.0711], [84.8779, 116.9993, 143.5994], [102.1053, 131.4027, 149.9432]]","[[-0.0432, -0.0331, -0.1654], [0.0, -0.0728, -0.4234], [-0.0488, -0.0615, 0.0782], [0.0, 0.1617, -0.0983], [0.0381, 0.0162, 0.0102]]",20260831_220310_loop_cat_dd_240
12,ru_240,ru_240,B,0.03550023910368072,0.6,-0.050009583400374424,-0.3194972357130066,-0.06263377033619566,-0.05068551992213344,-0.05339193088134131,KEEP,0.09136446308473983,84,"[[44.8098, 62.5836, 76.3097], [51.2369, 70.4179, 84.3063], [57.4298, 82.788, 100.8785], [84.8779, 117.0621, 143.5229], [102.069, 131.4027, 149.9447]]","[[0.1088, 0.081, 0.3291], [0.0113, 0.2185, 0.4165], [-0.0445, -0.3195, 0.1905], [0.0, -0.0537, 0.0533], [0.0355, 0.0, -0.001]]",20260831_220328_loop_cat_ru_240
