order,candidate,columns,group,MedianGain_vs_S,WinRate,P10Gain,WorstGain,MedianGain_vs_base,MedianGain_vs_E0,gain_standalone_E0,decision,eps,size_S_after,rmse_cells,gain_cells_vs_S,exp_id
1,vwap_amt_gap_1,vwap_amt_gap_1,A,0.052839411768390576,0.6666666666666666,-0.21818340550238347,-0.25003577618700756,0.052839411768390576,0.10073983460575642,-0.04841108166517838,KEEP,0.09664603162645494,73,"[[44.8421, 62.5682, 76.1601], [51.2095, 70.3253, 84.0907], [57.4746, 82.2021, 100.2785], [84.8562, 117.3531, 143.2027], [102.3232, 131.2191, 149.7731]]","[[0.1911, 0.0528, 0.1325], [0.013, -0.2329, 0.1271], [-0.25, 0.0334, 0.188], [0.0538, 0.1004, -0.0521], [-0.0411, 0.1519, -0.1962]]",20260831_214254_loop_lgbm_vwap_amt_gap_1
2,vwap_amt_gap_15,vwap_amt_gap_15,A,0.00868876543531627,0.5333333333333333,-0.23687652471962917,-0.281636771580529,0.0039899926581710154,0.005530473086401422,-0.021550334314723862,KEEP,0.09664603162645494,74,"[[44.9499, 62.4347, 76.3365], [51.2051, 70.3161, 84.1893], [57.5315, 82.1478, 100.5609], [84.8771, 117.3038, 143.1225], [102.2815, 131.4256, 149.2447]]","[[-0.2404, 0.2134, -0.2315], [0.0087, 0.0131, -0.1172], [-0.0991, 0.0661, -0.2816], [-0.0246, 0.042, 0.056], [0.0408, -0.1574, 0.3528]]",20260831_214305_loop_lgbm_vwap_amt_gap_15
3,vwap_amt_gap_60,vwap_amt_gap_60,A,-0.029417937771492042,0.4,-0.1378940896985359,-0.33341642769022517,-0.016845685181476888,-0.010164752209695926,-0.021071853945020536,KEEP,0.09664603162645494,75,"[[44.9055, 62.6428, 76.274], [51.2669, 70.357, 84.1901], [57.4436, 82.2302, 100.5905], [84.8734, 117.221, 143.1913], [102.4343, 131.2603, 149.333]]","[[0.0989, -0.3334, 0.0818], [-0.1207, -0.0582, -0.001], [0.1528, -0.1003, -0.0294], [0.0043, 0.0706, -0.0481], [-0.1494, 0.1258, -0.0591]]",20260831_214316_loop_lgbm_vwap_amt_gap_60
4,vwap_amt_gap_240,vwap_amt_gap_240,A,-0.06349166246804039,0.3333333333333333,-0.1812650099942159,-0.4143733373799918,-0.07640697237474292,-0.018862867825730767,-0.03960968818441657,KEEP,0.09664603162645494,76,"[[44.9745, 62.6491, 76.179], [51.2994, 70.4421, 84.1342], [57.5583, 82.3174, 100.3733], [84.8885, 117.3035, 143.1213], [102.4038, 131.4198, 149.9518]]","[[-0.1537, -0.01, 0.1246], [-0.0635, -0.1208, 0.0663], [-0.1996, -0.1061, 0.216], [-0.0177, -0.0703, 0.0489], [0.0297, -0.1215, -0.4144]]",20260831_214328_loop_lgbm_vwap_amt_gap_240
5,ret_60,ret_60,B,0.014875594286289928,0.6,-0.17390965725609941,-0.2354366385308282,0.01355429160359023,0.0315464795170195,-0.006119282396510606,KEEP,0.09664603162645494,77,"[[44.9157, 62.6453, 76.1676], [51.2012, 70.6079, 84.1958], [57.6755, 82.3997, 100.4784], [84.8537, 117.4551, 143.0336], [102.2288, 131.1347, 149.7433]]","[[0.1308, 0.0062, 0.0149], [0.1915, -0.2354, -0.0732], [-0.2037, -0.1, -0.1047], [0.041, -0.1293, 0.0613], [0.1709, 0.2169, 0.139]]",20260831_214340_loop_lgbm_ret_60
6,ret_240,ret_240,B,-0.024723222203659745,0.3333333333333333,-0.14340288788841082,-0.6636527006196546,-0.03568565505451815,0.014624936701934654,-0.062212373778613994,KEEP,0.09664603162645494,78,"[[44.9252, 62.6709, 76.1786], [51.2302, 70.4943, 84.1635], [57.6479, 82.9466, 100.5032], [84.8517, 117.3952, 143.2295], [102.3259, 131.3284, 149.8219]]","[[-0.0213, -0.0409, -0.0143], [-0.0567, 0.161, 0.0383], [0.0478, -0.6637, -0.0247], [0.0023, 0.051, -0.137], [-0.095, -0.1477, -0.0525]]",20260831_214350_loop_lgbm_ret_240
7,ret_1440,ret_1440,B,-0.0572314222716086,0.3333333333333333,-0.13380492679432976,-0.2233861189873121,-0.09142538365238817,-0.0665478334181735,-0.0015547207167454502,KEEP,0.09664603162645494,79,"[[44.9516, 62.7121, 76.2891], [51.263, 70.4187, 84.1516], [57.4649, 82.762, 100.6062], [84.9003, 117.4289, 143.2329], [102.2448, 131.6217, 149.9969]]","[[-0.0586, -0.0658, -0.1451], [-0.0641, 0.1072, 0.0141], [0.3176, 0.2225, -0.1025], [-0.0572, -0.0288, -0.0024], [0.0792, -0.2234, -0.1168]]",20260831_214400_loop_lgbm_ret_1440
8,log_rv15_rv240,log_rv15_rv240,B,0.02420529005607852,0.6,-0.18659876354649718,-0.2995897262241032,-0.011531845168155641,-0.03189700549366403,-0.016491215645508817,KEEP,0.09664603162645494,80,"[[44.9303, 62.596, 76.2351], [51.2506, 70.3666, 84.0307], [57.5541, 82.9294, 100.6449], [84.8817, 117.4846, 143.1257], [102.5511, 131.2981, 150.2415]]","[[0.0473, 0.1852, 0.0708], [0.0242, 0.074, 0.1437], [-0.1553, -0.2023, -0.0385], [0.0219, -0.0474, 0.0748], [-0.2996, 0.2459, -0.1631]]",20260831_214412_loop_lgbm_log_rv15_rv240
9,log_rv60_rv1440,log_rv60_rv1440,B,0.009247260779432498,0.5333333333333333,-0.14970292306667243,-0.18557701079460198,-0.1054368863405708,-0.08742434308508518,-0.012347493123110453,KEEP,0.09664603162645494,81,"[[44.9317, 62.7034, 76.1709], [51.3069, 70.4972, 84.0047], [57.6214, 82.7335, 100.6347], [84.8739, 117.24, 143.2555], [102.389, 131.3561, 150.1975]]","[[-0.003, -0.1715, 0.0842], [-0.1099, -0.1856, 0.0309], [-0.117, 0.2362, 0.0102], [0.0092, 0.2082, -0.0907], [0.1581, -0.0442, 0.0293]]",20260831_214423_loop_lgbm_log_rv60_rv1440
10,ret_skew_60,ret_skew_60,B,0.07398737039370218,0.8,-0.04773344393477873,-0.07400279938980514,-0.04428184040354832,-0.009824040008132862,-0.020362152624908703,KEEP,0.09664603162645494,82,"[[44.9649, 62.6623, 76.1055], [51.2667, 70.4715, 84.0669], [57.5114, 82.5116, 100.5118], [84.8604, 117.1796, 143.1495], [102.2236, 131.3674, 149.8362]]","[[-0.0739, 0.0654, 0.0858], [0.0784, 0.0365, -0.074], [0.1909, 0.2682, 0.1221], [0.0158, 0.0515, 0.074], [0.1616, -0.0086, 0.2405]]",20260831_214434_loop_lgbm_ret_skew_60
