order,candidate,columns,group,MedianGain_vs_S,WinRate,P10Gain,WorstGain,MedianGain_vs_base,MedianGain_vs_E0,gain_standalone_E0,decision,eps,size_S_after,rmse_cells,gain_cells_vs_S,exp_id
1,vwap_amt_gap_1,vwap_amt_gap_1,A,-0.5182039151506057,0.0,-1.4670264979765737,-2.0362409343186227,-0.5182032941648762,-19.006070008190523,-0.04841108166517838,DROP,0.005,72,"[[49.2149, 73.2119, 95.5336], [56.4488, 82.8505, 106.7324], [62.9493, 97.6581, 125.5613], [100.874, 155.7618, 209.548], [116.146, 169.6491, 220.5458]]","[[-0.2289, -0.4509, -0.632], [-0.2252, -0.3265, -0.4951], [-0.0452, -1.088, -1.3305], [-1.0214, -1.558, -2.0362], [-0.5182, -0.4548, -0.7872]]",20260901_042838_loop_tfm_b0_vwap_amt_gap_1
2,vwap_amt_gap_15,vwap_amt_gap_15,A,-0.6193506209874577,0.0666666666666666,-1.1555582093834582,-1.6459558872622182,-0.6193855412357729,-18.380548069892466,-0.021550334314723862,DROP,0.005,72,"[[49.1807, 73.3069, 95.8631], [56.5412, 83.0801, 106.9634], [63.1267, 96.8422, 123.9012], [100.4725, 154.701, 207.1384], [116.397, 171.0314, 222.4249]]","[[-0.1591, -0.5812, -0.9789], [-0.3893, -0.6046, -0.7127], [-0.3271, -0.2434, 0.0092], [-0.6194, -0.8664, -0.8629], [-0.7355, -1.2733, -1.646]]",20260901_044149_loop_tfm_b0_vwap_amt_gap_15
3,vwap_amt_gap_60,vwap_amt_gap_60,A,-1.0867171107373783,0.0,-2.230282009867355,-2.7614922566871813,-1.0867154060235418,-19.637610517186687,-0.021071853945020536,DROP,0.005,72,"[[49.3798, 73.5156, 95.9715], [56.5803, 83.3088, 107.4753], [63.241, 97.1469, 124.6818], [101.5394, 157.3475, 211.0374], [116.8029, 171.0903, 221.2722]]","[[-0.5647, -0.8676, -1.0931], [-0.4587, -0.8815, -1.1947], [-0.5088, -0.5588, -0.6208], [-1.6879, -2.5919, -2.7615], [-1.0867, -1.3081, -1.1192]]",20260901_045454_loop_tfm_b0_vwap_amt_gap_60
4,vwap_amt_gap_240,vwap_amt_gap_240,A,-0.7598164948426467,0.2,-1.264762736575209,-1.3223286258855715,-0.7598374212823167,-18.971339934645837,-0.03960968818441657,DROP,0.005,72,"[[49.364, 73.5803, 96.0635], [56.255, 82.4599, 106.0001], [63.337, 97.6296, 125.5511], [100.5019, 154.9809, 208.0659], [116.1184, 170.1659, 220.4859]]","[[-0.5325, -0.9563, -1.1901], [0.1188, 0.1464, 0.1943], [-0.6612, -1.0585, -1.3223], [-0.6489, -1.0489, -1.3145], [-0.4943, -0.7608, -0.7598]]",20260901_050902_loop_tfm_b0_vwap_amt_gap_240
5,ret_60,ret_60,B,-0.3568570835063456,0.0,-1.5847320569401946,-1.820331362747352,-0.35683693917396564,-19.102808150679195,-0.006119282396510606,DROP,0.005,72,"[[49.1474, 72.9231, 94.9593], [56.3225, 82.6775, 106.4146], [63.2188, 97.4345, 125.5177], [101.0855, 156.0986, 209.1046], [115.8403, 169.4837, 219.7048]]","[[-0.0914, -0.0547, -0.027], [-0.001, -0.1171, -0.1959], [-0.4735, -0.8565, -1.2954], [-1.2332, -1.7776, -1.8203], [-0.2536, -0.3569, -0.4029]]",20260901_052208_loop_tfm_b0_ret_60
6,ret_240,ret_240,B,-0.2410897835582126,0.3333333333333333,-1.417935636222536,-2.6477813556838425,-0.2410621724981965,-19.71748814627412,-0.06221238973149745,DROP,0.005,72,"[[49.2296, 73.2615, 95.6747], [56.3628, 82.8154, 106.4625], [63.5541, 98.2419, 127.1935], [99.9119, 153.3461, 205.3246], [114.2548, 165.9738, 215.7743]]","[[-0.2586, -0.5189, -0.7805], [-0.0725, -0.2841, -0.2411], [-1.0064, -1.6923, -2.6478], [-0.058, 0.017, 0.0203], [1.1185, 1.7215, 1.3933]]",20260901_053516_loop_tfm_b0_ret_240
7,ret_1440,ret_1440,B,-0.2389396797216614,0.2,-0.9089162561059092,-1.7236159452716393,-0.23893014730096418,-19.17009344324714,-0.0015547207167454502,DROP,0.005,72,"[[49.2731, 73.1769, 95.2842], [56.4366, 82.8541, 106.303], [63.1923, 97.7927, 126.0484], [100.0926, 153.6144, 205.4124], [115.0141, 166.6944, 214.4322]]","[[-0.3474, -0.4029, -0.3691], [-0.2035, -0.3309, -0.0909], [-0.4313, -1.2273, -1.7236], [-0.2389, -0.1579, -0.0225], [0.4614, 1.2948, 2.0066]]",20260901_054924_loop_tfm_b0_ret_1440
8,log_rv15_rv240,log_rv15_rv240,B,-0.6201753146878541,0.0,-2.1185988529452,-2.599080330422221,-0.6201529467405376,-19.484086066083094,-0.016491215645508817,DROP,0.005,72,"[[49.2817, 73.3458, 95.6978], [56.3869, 82.7533, 106.325], [63.099, 97.189, 125.0145], [101.4091, 157.1955, 210.7039], [116.2638, 170.1763, 220.1668]]","[[-0.3648, -0.6346, -0.8049], [-0.1154, -0.2089, -0.1116], [-0.2831, -0.6024, -0.8892], [-1.5573, -2.4928, -2.5991], [-0.6202, -0.767, -0.614]]",20260901_060327_loop_tfm_b0_log_rv15_rv240
9,log_rv60_rv1440,log_rv60_rv1440,B,-0.6081807342603218,0.0,-0.9886501348863908,-1.0841414741501465,-0.6082017612807133,-18.855142459029327,-0.012347493123110453,DROP,0.005,72,"[[49.3447, 73.4683, 95.9629], [56.4993, 83.1549, 107.2022], [62.9992, 96.925, 124.7982], [100.8753, 154.8026, 206.6153], [115.8081, 169.6923, 220.0776]]","[[-0.4932, -0.8027, -1.0841], [-0.3148, -0.6952, -0.9375], [-0.1245, -0.3292, -0.7147], [-1.0227, -0.9326, -0.6082], [-0.2258, -0.4803, -0.5732]]",20260901_061634_loop_tfm_b0_log_rv60_rv1440
10,ret_skew_60,ret_skew_60,B,-0.5414825118787325,0.0,-0.8109632978350367,-0.8951590342552107,-0.5414493355262673,-18.386910556737913,-0.020362152624908703,DROP,0.005,72,"[[49.217, 73.2167, 95.7835], [56.4024, 82.8261, 106.7066], [63.1343, 97.0039, 124.5835], [100.4779, 154.5978, 207.048], [116.1996, 170.219, 220.5002]]","[[-0.2331, -0.4574, -0.8952], [-0.1429, -0.297, -0.4709], [-0.3392, -0.4108, -0.5415], [-0.6248, -0.7991, -0.8189], [-0.5646, -0.7922, -0.7664]]",20260901_062958_loop_tfm_b0_ret_skew_60
