order,candidate,columns,group,MedianGain_vs_S,WinRate,P10Gain,WorstGain,MedianGain_vs_base,MedianGain_vs_E0,gain_standalone_E0,decision,eps,size_S_after,rmse_cells,gain_cells_vs_S,exp_id
1,vwap_amt_gap_1,vwap_amt_gap_1,A,-1.2930819825355488,0.13333333333333333,-3.9732401342059553,-8.358746728147493,-1.2930819825355488,-3.1003412952717913,-0.04841108166517838,DROP,0.005,0,"[[45.5639, 63.6515, 77.6148], [52.0951, 72.0899, 86.4695], [58.575, 86.2641, 105.1168], [88.235, 123.6853, 152.7327], [105.602, 138.3584, 165.1936]]","[[0.1545, 0.0705, -0.0611], [-0.1332, -0.219, -0.1812], [-0.5189, -2.2578, -2.4266], [-1.2931, -2.905, -3.7223], [-2.1357, -4.1406, -8.3587]]",20260901_103232_loop_tfm_ext_vwap_amt_gap_1
2,vwap_amt_gap_15,vwap_amt_gap_15,A,-0.7406377923192764,0.0,-2.3106608823843766,-2.6298416675079705,-0.7406377923192764,-2.5895866045210436,-0.021550334314723862,DROP,0.005,0,"[[45.6824, 63.8679, 77.9465], [52.0509, 72.0454, 86.5], [58.6562, 85.4581, 104.2104], [88.373, 122.9193, 151.1241], [104.1595, 134.9084, 156.0168]]","[[-0.1052, -0.2692, -0.4888], [-0.0482, -0.1572, -0.2165], [-0.6582, -1.3024, -1.5435], [-1.4515, -2.2678, -2.6298], [-0.7406, -1.5438, -2.3393]]",20260901_103617_loop_tfm_ext_vwap_amt_gap_15
3,vwap_amt_gap_60,vwap_amt_gap_60,A,-0.5909681639430175,0.0,-1.4490174738134254,-1.6656958676444678,-0.5909681639430175,-2.518674440275004,-0.021071853945020536,DROP,0.005,0,"[[45.7023, 63.909, 77.965], [52.063, 72.0517, 86.5073], [58.617, 85.3084, 104.1127], [87.9322, 121.9358, 149.7043], [103.8367, 133.8711, 153.8232]]","[[-0.1487, -0.3337, -0.5127], [-0.0714, -0.1659, -0.225], [-0.591, -1.1249, -1.4483], [-0.9454, -1.4495, -1.6657], [-0.4284, -0.7631, -0.9003]]",20260901_104001_loop_tfm_ext_vwap_amt_gap_60
4,vwap_amt_gap_240,vwap_amt_gap_240,A,-0.5163127764859388,0.26666666666666666,-1.215752876477807,-1.5090277444088196,-0.5163127764859388,-2.2259754043175484,-0.03960968818441657,DROP,0.005,0,"[[45.6238, 63.7109, 77.6194], [51.9974, 71.8452, 86.1393], [58.5916, 85.2826, 104.1751], [87.403, 120.8142, 148.0408], [104.0403, 134.2842, 154.4274]]","[[0.0233, -0.0227, -0.0671], [0.0547, 0.1211, 0.2014], [-0.5473, -1.0944, -1.509], [-0.338, -0.5163, -0.536], [-0.6253, -1.074, -1.2967]]",20260901_104352_loop_tfm_ext_vwap_amt_gap_240
5,ret_60,ret_60,B,-0.545500852209102,0.0,-1.230159795933412,-1.8074192947260093,-0.545500852209102,-2.4746828401566834,-0.006119282396510606,DROP,0.005,0,"[[45.7114, 63.9309, 77.9678], [52.0618, 72.0174, 86.4391], [58.5905, 85.335, 104.4813], [87.7313, 121.5636, 149.1353], [103.6803, 133.595, 153.6259]]","[[-0.1686, -0.3681, -0.5163], [-0.0691, -0.1183, -0.146], [-0.5455, -1.1565, -1.8074], [-0.7148, -1.1399, -1.2793], [-0.2771, -0.5552, -0.7709]]",20260901_104740_loop_tfm_ext_ret_60
6,ret_240,ret_240,B,-0.08991829060225331,0.2,-1.2454864632928908,-2.3419793905044672,-0.08991829060225331,-2.3331971904008375,-0.06221238973149745,DROP,0.005,0,"[[45.5087, 63.4268, 77.1554], [52.0259, 71.997, 86.4386], [58.701, 85.6504, 105.0299], [87.1746, 120.2611, 147.27], [103.727, 133.6386, 153.6979]]","[[0.2755, 0.4233, 0.5311], [-0.0001, -0.0899, -0.1454], [-0.7351, -1.5304, -2.342], [-0.0757, -0.0561, -0.0125], [-0.3223, -0.5881, -0.8182]]",20260901_105123_loop_tfm_ext_ret_240
7,ret_1440,ret_1440,B,-0.41647143331655645,0.0,-1.1020625294581476,-1.4551612604768005,-0.41647143331655645,-2.3622684204387623,-0.0015547207167454502,DROP,0.005,0,"[[45.7129, 63.8952, 77.8461], [52.0758, 72.0951, 86.6205], [58.5154, 85.15, 104.1198], [87.5539, 121.3091, 149.0363], [103.7683, 133.695, 153.7464]]","[[-0.1719, -0.3121, -0.3593], [-0.0961, -0.2263, -0.3561], [-0.4165, -0.9371, -1.4552], [-0.5112, -0.9281, -1.212], [-0.3623, -0.6305, -0.85]]",20260901_105511_loop_tfm_ext_ret_1440
8,log_rv15_rv240,log_rv15_rv240,B,-0.12543884003195505,0.2,-0.6042895130282222,-0.8796994010608739,-0.12543884003195505,-2.0621323080671994,-0.016491215645508817,DROP,0.005,0,"[[45.5996, 63.5994, 77.4422], [52.0301, 71.9585, 86.4214], [58.5228, 84.9511, 103.5292], [87.2993, 120.4309, 147.3442], [103.5184, 133.2577, 153.15]]","[[0.0763, 0.1523, 0.1613], [-0.0082, -0.0363, -0.1254], [-0.4293, -0.7013, -0.8797], [-0.2188, -0.1974, -0.0629], [-0.1205, -0.3014, -0.4587]]",20260901_105857_loop_tfm_ext_log_rv15_rv240
9,log_rv60_rv1440,log_rv60_rv1440,B,-0.2751756322416643,0.0,-0.568242652684745,-0.8202928139557697,-0.2751756322416643,-2.2389682022138313,-0.012347493123110453,DROP,0.005,0,"[[45.7125, 63.9059, 77.9727], [52.0835, 72.0831, 86.5506], [58.4293, 84.8645, 103.4682], [87.2581, 120.5468, 147.8369], [103.5278, 133.2211, 153.0106]]","[[-0.1711, -0.3289, -0.5226], [-0.1108, -0.2096, -0.2752], [-0.2688, -0.5987, -0.8203], [-0.1715, -0.2939, -0.3975], [-0.1296, -0.2738, -0.3673]]",20260901_110242_loop_tfm_ext_log_rv60_rv1440
10,ret_skew_60,ret_skew_60,B,-0.36877082308128806,0.0,-0.8508552059194363,-1.1875614057306416,-0.36877082308128806,-2.361374799163407,-0.020362152624908703,DROP,0.005,0,"[[45.7056, 63.9346, 77.9873], [52.062, 72.0641, 86.6314], [58.3395, 84.5084, 102.9108], [87.4606, 121.0985, 148.6006], [103.6338, 133.7702, 154.2611]]","[[-0.156, -0.3739, -0.5414], [-0.0696, -0.1832, -0.3688], [-0.1147, -0.1766, -0.2771], [-0.404, -0.7529, -0.9162], [-0.2321, -0.6871, -1.1876]]",20260901_110626_loop_tfm_ext_ret_skew_60
