order,candidate,columns,group,MedianGain_vs_S,WinRate,P10Gain,WorstGain,MedianGain_vs_base,MedianGain_vs_E0,gain_standalone_E0,decision,eps,size_S_after,rmse_cells,gain_cells_vs_S,exp_id
1,vwap_amt_gap_1,vwap_amt_gap_1,A,0.005247753572745761,0.6,-0.05067400443761194,-0.05739308832632961,0.005247753572745761,0.04321070522891324,-0.04841108166517838,KEEP,0.020019571713617772,73,"[[44.8757, 62.5041, 76.0929], [51.2063, 70.4078, 84.2272], [57.18, 81.9036, 100.0995], [84.8229, 116.78, 143.1143], [102.4791, 131.7239, 150.4541]]","[[0.0824, 0.0551, -0.0425], [0.0016, 0.008, 0.0466], [-0.0574, -0.0503, -0.0509], [0.0571, 0.1036, -0.0247], [0.0052, 0.008, -0.0163]]",20260901_130649_loop_xgbrf_vwap_amt_gap_1
2,vwap_amt_gap_15,vwap_amt_gap_15,A,-0.00797899393123469,0.4,-0.032858225750036496,-0.0438773211422383,0.00793522987907469,0.023405385799823986,-0.021550334314723862,KEEP,0.020019571713617772,74,"[[44.8793, 62.5231, 76.0622], [51.2021, 70.4079, 84.2642], [57.1623, 81.9152, 100.1153], [84.8415, 116.8203, 143.0866], [102.4608, 131.691, 150.4985]]","[[-0.008, -0.0304, 0.0404], [0.0082, -0.0001, -0.0439], [0.031, -0.0142, -0.0159], [-0.0218, -0.0345, 0.0194], [0.0178, 0.025, -0.0295]]",20260901_130729_loop_xgbrf_vwap_amt_gap_15
3,vwap_amt_gap_60,vwap_amt_gap_60,A,-0.018390299158799195,0.13333333333333333,-0.0661998376710482,-0.08940391322809216,-0.02372838074504724,0.012251533886886712,-0.021071853945020536,KEEP,0.020019571713617772,75,"[[44.8895, 62.5282, 76.1302], [51.2082, 70.4153, 84.2812], [57.1954, 81.9466, 100.1262], [84.827, 116.8186, 143.1129], [102.5325, 131.7707, 150.4993]]","[[-0.0228, -0.0082, -0.0894], [-0.0117, -0.0105, -0.0202], [-0.058, -0.0383, -0.0108], [0.017, 0.0014, -0.0184], [-0.0699, -0.0606, -0.0005]]",20260901_130809_loop_xgbrf_vwap_amt_gap_60
4,vwap_amt_gap_240,vwap_amt_gap_240,A,0.012229336920754896,0.7333333333333333,-0.06112807260342467,-0.10301401753560757,0.0193800617411366,0.024432695872322885,-0.03960968818441657,KEEP,0.020019571713617772,76,"[[44.884, 62.5159, 76.1068], [51.1972, 70.41, 84.2464], [57.1734, 81.966, 100.2293], [84.8354, 116.8061, 143.049], [102.4529, 131.7585, 150.6288]]","[[0.0122, 0.0197, 0.0307], [0.0214, 0.0075, 0.0413], [0.0385, -0.0237, -0.103], [-0.0098, 0.0107, 0.0446], [0.0776, 0.0092, -0.0861]]",20260901_130850_loop_xgbrf_vwap_amt_gap_240
5,ret_60,ret_60,B,0.006881643829004247,0.5333333333333333,-0.026798089279735926,-0.040529023154878274,0.007372991076404212,0.03765571021770997,-0.006119282396510606,KEEP,0.020019571713617772,77,"[[44.8899, 62.5116, 76.1225], [51.1999, 70.3967, 84.2319], [57.1911, 81.9261, 100.1914], [84.8242, 116.8199, 143.0684], [102.4944, 131.7301, 150.5646]]","[[-0.0132, 0.0069, -0.0206], [-0.0053, 0.0188, 0.0172], [-0.0309, 0.0487, 0.0378], [0.0131, -0.0118, -0.0135], [-0.0405, 0.0216, 0.0426]]",20260901_130932_loop_xgbrf_ret_60
6,ret_240,ret_240,B,-0.023918057477101407,0.2,-0.1326119025590744,-0.15652785150646054,-0.013288552885137861,0.008668530192357249,-0.062212373778613994,DROP,0.020019571713617772,77,"[[44.8806, 62.5383, 76.1407], [51.2005, 70.3752, 84.191], [57.2201, 82.0543, 100.3374], [84.8269, 116.8248, 143.115], [102.4981, 131.8789, 150.7318]]","[[0.0207, -0.0428, -0.0239], [-0.0012, 0.0306, 0.0485], [-0.0508, -0.1565, -0.1457], [-0.0032, -0.0043, -0.0326], [-0.0036, -0.113, -0.111]]",20260901_131014_loop_xgbrf_ret_240
7,ret_1440,ret_1440,B,-0.021730514914453103,0.13333333333333333,-0.07414009337877836,-0.13163061286718403,-0.02809554444944684,0.00788594111150731,-0.0015547207167454502,DROP,0.020019571713617772,77,"[[44.8862, 62.53, 76.1489], [51.2005, 70.4026, 84.2425], [57.2045, 82.0339, 100.1625], [84.8269, 116.8304, 143.1191], [102.5167, 131.8481, 150.6414]]","[[0.0083, -0.0295, -0.0347], [-0.0011, -0.0084, -0.0126], [-0.0235, -0.1316, 0.0289], [-0.0031, -0.009, -0.0355], [-0.0217, -0.0896, -0.051]]",20260901_131047_loop_xgbrf_ret_1440
8,log_rv15_rv240,log_rv15_rv240,B,-0.018708307118719958,0.3333333333333333,-0.10705792942923507,-0.1486647852833256,-0.03212113420445473,0.007595000800941776,-0.016491215645508817,KEEP,0.020019571713617772,78,"[[44.8803, 62.5125, 76.1067], [51.2095, 70.3865, 84.2089], [57.1885, 81.974, 100.2254], [84.8414, 116.8301, 143.1249], [102.5272, 131.9259, 150.7746]]","[[0.0214, -0.0014, 0.0207], [-0.0187, 0.0146, 0.0273], [0.0044, -0.0585, -0.0339], [-0.0202, -0.0087, -0.0395], [-0.032, -0.1487, -0.1395]]",20260901_131129_loop_xgbrf_log_rv15_rv240
9,log_rv60_rv1440,log_rv60_rv1440,B,0.014242418302334858,0.6,-0.029265620264999903,-0.03846026109184386,-0.00609717261841336,0.025797957427342588,-0.012347493123110453,KEEP,0.020019571713617772,79,"[[44.8938, 62.5301, 76.1253], [51.2022, 70.3876, 84.2413], [57.1609, 81.9077, 100.1246], [84.8171, 116.8392, 143.1092], [102.4907, 131.8689, 150.6176]]","[[-0.0299, -0.0282, -0.0244], [0.0142, -0.0015, -0.0385], [0.0483, 0.0808, 0.1005], [0.0286, -0.0078, 0.011], [0.0356, 0.0432, 0.1041]]",20260901_131204_loop_xgbrf_log_rv60_rv1440
10,ret_skew_60,ret_skew_60,B,-0.04039574826026904,0.2,-0.08117767227807438,-0.09922238042927578,-0.0400125048807487,-0.002347319305839868,-0.020362152624908703,DROP,0.020019571713617772,79,"[[44.8835, 62.5528, 76.1715], [51.2049, 70.4183, 84.2528], [57.2176, 81.9563, 100.1128], [84.8559, 116.8374, 143.1362], [102.5488, 131.9222, 150.7605]]","[[0.023, -0.0362, -0.0607], [-0.0052, -0.0437, -0.0137], [-0.0992, -0.0593, 0.0118], [-0.0457, 0.0015, -0.0188], [-0.0567, -0.0404, -0.0948]]",20260901_131238_loop_xgbrf_ret_skew_60
11,dd_240,dd_240,B,-0.023510950663108154,0.26666666666666666,-0.102720657754376,-0.16329031730510923,-0.04467844441295998,0.0372978992973394,-0.11060322252194332,DROP,0.020019571713617772,79,"[[44.8937, 62.5537, 76.157], [51.1946, 70.3923, 84.1868], [57.1916, 81.9185, 100.2881], [84.8239, 116.7911, 143.1428], [102.5482, 132.0228, 150.7408]]","[[0.0001, -0.0377, -0.0417], [0.0149, -0.0068, 0.0647], [-0.0537, -0.0131, -0.1633], [-0.0081, 0.0412, -0.0235], [-0.0561, -0.1167, -0.0818]]",20260901_131313_loop_xgbrf_dd_240
