exp_id,timestamp,step,model,dataset_label,config_hash,seed,colset,n_cols,rounds,base,MedianGain,WinRate,P10Gain,WorstGain,rmse_cells,mae_cells,e0_cells,gain_cells,train_device,decision,note
20260831_204949_calibrate_lgbm_b0306,2026-08-31T20:49:49,calibrate,lgbm,btc_1min_15d_2026-01-18_02-02,2f570535e50f,8587,b0306,306,"{""fold1_2026-01-27"": [49, 2, 18], ""fold2_2026-01-28"": [30, 22, 1], ""fold3_2026-01-29"": [49, 17, 13], ""fold4_2026-01-30"": [1, 9, 6], ""fold5_2026-01-31"": [63, 12, 5]}",E0,-0.0618,0.3333,-0.2443,-0.2659,"[[44.824, 62.579, 76.237], [51.293, 70.504, 84.268], [57.328, 82.13, 100.778], [84.881, 116.949, 143.324], [102.089, 131.474, 149.918]]","[[30.063, 42.821, 52.172], [34.875, 48.822, 58.467], [36.892, 54.395, 67.432], [55.925, 76.813, 95.407], [51.292, 71.466, 87.164]]","[[44.93, 62.517, 76.05], [51.262, 70.505, 84.264], [57.176, 82.061, 100.537], [84.872, 116.835, 143.13], [102.426, 131.534, 150.194]]","[[0.2349, -0.0981, -0.247], [-0.0618, 0.0001, -0.0054], [-0.2659, -0.0836, -0.2402], [-0.0096, -0.0978, -0.1351], [0.329, 0.0456, 0.1838]]",GPU,eps=0.0656,"calib_seed=8586 eval_seeds=[8587, 8588, 8589] noise_rms=0.0656"
20260831_214144_filter_b0_lgbm_R1,2026-08-31T21:41:44,filter_b0,lgbm,btc_1min_15d_2026-01-18_02-02,2f570535e50f,8587,R1,289,15fixed_306,B0-306,-0.002,0.4667,-0.0654,-0.2245,"[[44.925, 62.6, 76.246], [51.243, 70.479, 84.27], [57.291, 82.183, 100.787], [84.887, 117.026, 143.251], [102.047, 131.309, 149.887]]","[[30.14, 42.849, 52.235], [34.846, 48.753, 58.474], [36.875, 54.416, 67.386], [55.922, 76.912, 95.355], [51.235, 71.328, 87.104]]","[[44.93, 62.517, 76.05], [51.262, 70.505, 84.264], [57.176, 82.061, 100.537], [84.872, 116.835, 143.13], [102.426, 131.534, 150.194]]","[[-0.2245, -0.0344, -0.0114], [0.098, 0.0364, -0.002], [0.0645, -0.0642, -0.0088], [-0.0069, -0.0662, 0.0505], [0.0415, 0.1253, 0.0204]]",GPU,,n_cols=289
20260831_214144_filter_b0_lgbm_R2,2026-08-31T21:41:44,filter_b0,lgbm,btc_1min_15d_2026-01-18_02-02,2f570535e50f,8587,R2,80,15fixed_306,B0-306,0.0098,0.6,-0.1765,-0.294,"[[44.956, 62.592, 76.053], [51.205, 70.364, 84.262], [57.317, 82.03, 100.37], [84.898, 117.011, 143.31], [102.354, 131.424, 149.995]]","[[30.215, 42.838, 52.061], [34.834, 48.721, 58.45], [36.82, 54.292, 67.236], [55.936, 76.857, 95.47], [51.371, 71.461, 87.101]]","[[44.93, 62.517, 76.05], [51.262, 70.505, 84.264], [57.176, 82.061, 100.537], [84.872, 116.835, 143.13], [102.426, 131.534, 150.194]]","[[-0.294, -0.0209, 0.2415], [0.1726, 0.1996, 0.0074], [0.019, 0.1223, 0.4049], [-0.0207, -0.0529, 0.0098], [-0.2588, 0.0382, -0.0517]]",GPU,,n_cols=80
20260831_214144_filter_b0_lgbm_R3,2026-08-31T21:41:44,filter_b0,lgbm,btc_1min_15d_2026-01-18_02-02,2f570535e50f,8587,R3,22,15fixed_306,B0-306,-0.0249,0.3333,-0.2544,-0.4022,"[[44.878, 62.599, 76.24], [51.271, 70.474, 84.278], [57.506, 82.27, 100.612], [84.902, 116.921, 143.272], [102.5, 131.545, 150.084]]","[[30.144, 42.84, 52.13], [34.846, 48.808, 58.47], [36.892, 54.464, 67.386], [55.939, 76.777, 95.388], [51.525, 71.515, 87.173]]","[[44.93, 62.517, 76.05], [51.262, 70.505, 84.264], [57.176, 82.061, 100.537], [84.872, 116.835, 143.13], [102.426, 131.534, 150.194]]","[[-0.1192, -0.032, -0.0028], [0.0443, 0.0436, -0.0115], [-0.3106, -0.17, 0.1646], [-0.0249, 0.0238, 0.0364], [-0.4022, -0.054, -0.111]]",GPU,,n_cols=22
20260831_214144_filter_b0_lgbm_R4,2026-08-31T21:41:44,filter_b0,lgbm,btc_1min_15d_2026-01-18_02-02,2f570535e50f,8587,R4,72,15fixed_306,B0-306,0.0636,0.6667,-0.1474,-0.263,"[[44.942, 62.625, 76.261], [51.24, 70.348, 84.245], [57.243, 81.975, 100.419], [84.894, 116.86, 143.102], [102.29, 131.391, 149.825]]","[[30.105, 42.855, 52.217], [34.83, 48.709, 58.46], [36.803, 54.298, 67.301], [55.944, 76.821, 95.314], [51.346, 71.41, 87.124]]","[[44.93, 62.517, 76.05], [51.262, 70.505, 84.264], [57.176, 82.061, 100.537], [84.872, 116.835, 143.13], [102.426, 131.534, 150.194]]","[[-0.263, -0.074, -0.0311], [0.104, 0.2218, 0.0281], [0.147, 0.1883, 0.3562], [-0.0155, 0.076, 0.1548], [-0.1964, 0.0636, 0.0619]]",GPU,B0*,n_cols=72
20260831_214254_loop_lgbm_vwap_amt_gap_1,2026-08-31T21:42:54,loop,lgbm,btc_1min_15d_2026-01-18_02-02,2f570535e50f,8587,vwap_amt_gap_1,73,"{""fold1_2026-01-27"": [23, 30, 18], ""fold2_2026-01-28"": [37, 51, 31], ""fold3_2026-01-29"": [89, 48, 23], ""fold4_2026-01-30"": [3, 56, 10], ""fold5_2026-01-31"": [42, 20, 33]}",S_m,0.052839411768390576,0.6666666666666666,-0.21818340550238347,-0.25003577618700756,"[[44.8421, 62.5682, 76.1601], [51.2095, 70.3253, 84.0907], [57.4746, 82.2021, 100.2785], [84.8562, 117.3531, 143.2027], [102.3232, 131.2191, 149.7731]]","[[30.0551, 42.734, 52.1982], [34.7793, 48.6686, 58.3418], [36.9281, 54.3893, 67.1793], [55.9331, 77.0667, 95.4009], [51.3412, 71.4241, 87.1667]]","[[44.9298, 62.5172, 76.0496], [51.2617, 70.5046, 84.2636], [57.1756, 82.0614, 100.5368], [84.8725, 116.8346, 143.1304], [102.4264, 131.5342, 150.1936]]","[[0.1911, 0.0528, 0.1325], [0.013, -0.2329, 0.1271], [-0.25, 0.0334, 0.188], [0.0538, 0.1004, -0.0521], [-0.0411, 0.1519, -0.1962]]",GPU,KEEP,
20260831_214305_loop_lgbm_vwap_amt_gap_15,2026-08-31T21:43:05,loop,lgbm,btc_1min_15d_2026-01-18_02-02,2f570535e50f,8587,vwap_amt_gap_15,74,"{""fold1_2026-01-27"": [23, 30, 18], ""fold2_2026-01-28"": [37, 51, 31], ""fold3_2026-01-29"": [89, 48, 23], ""fold4_2026-01-30"": [3, 56, 10], ""fold5_2026-01-31"": [42, 20, 33]}",S_m,0.00868876543531627,0.5333333333333333,-0.23687652471962917,-0.281636771580529,"[[44.9499, 62.4347, 76.3365], [51.2051, 70.3161, 84.1893], [57.5315, 82.1478, 100.5609], [84.8771, 117.3038, 143.1225], [102.2815, 131.4256, 149.2447]]","[[30.0994, 42.67, 52.2139], [34.7943, 48.6655, 58.3626], [36.9856, 54.3518, 67.4043], [55.9312, 77.0488, 95.3129], [51.434, 71.3881, 86.8675]]","[[44.9298, 62.5172, 76.0496], [51.2617, 70.5046, 84.2636], [57.1756, 82.0614, 100.5368], [84.8725, 116.8346, 143.1304], [102.4264, 131.5342, 150.1936]]","[[-0.2404, 0.2134, -0.2315], [0.0087, 0.0131, -0.1172], [-0.0991, 0.0661, -0.2816], [-0.0246, 0.042, 0.056], [0.0408, -0.1574, 0.3528]]",GPU,KEEP,
20260831_214316_loop_lgbm_vwap_amt_gap_60,2026-08-31T21:43:16,loop,lgbm,btc_1min_15d_2026-01-18_02-02,2f570535e50f,8587,vwap_amt_gap_60,75,"{""fold1_2026-01-27"": [23, 30, 18], ""fold2_2026-01-28"": [37, 51, 31], ""fold3_2026-01-29"": [89, 48, 23], ""fold4_2026-01-30"": [3, 56, 10], ""fold5_2026-01-31"": [42, 20, 33]}",S_m,-0.029417937771492042,0.4,-0.1378940896985359,-0.33341642769022517,"[[44.9055, 62.6428, 76.274], [51.2669, 70.357, 84.1901], [57.4436, 82.2302, 100.5905], [84.8734, 117.221, 143.1913], [102.4343, 131.2603, 149.333]]","[[30.0673, 42.8098, 52.1832], [34.8336, 48.7396, 58.3686], [36.9013, 54.3783, 67.2921], [55.9178, 76.9854, 95.3557], [51.4879, 71.3626, 86.9971]]","[[44.9298, 62.5172, 76.0496], [51.2617, 70.5046, 84.2636], [57.1756, 82.0614, 100.5368], [84.8725, 116.8346, 143.1304], [102.4264, 131.5342, 150.1936]]","[[0.0989, -0.3334, 0.0818], [-0.1207, -0.0582, -0.001], [0.1528, -0.1003, -0.0294], [0.0043, 0.0706, -0.0481], [-0.1494, 0.1258, -0.0591]]",GPU,KEEP,
20260831_214328_loop_lgbm_vwap_amt_gap_240,2026-08-31T21:43:28,loop,lgbm,btc_1min_15d_2026-01-18_02-02,2f570535e50f,8587,vwap_amt_gap_240,76,"{""fold1_2026-01-27"": [23, 30, 18], ""fold2_2026-01-28"": [37, 51, 31], ""fold3_2026-01-29"": [89, 48, 23], ""fold4_2026-01-30"": [3, 56, 10], ""fold5_2026-01-31"": [42, 20, 33]}",S_m,-0.06349166246804039,0.3333333333333333,-0.1812650099942159,-0.4143733373799918,"[[44.9745, 62.6491, 76.179], [51.2994, 70.4421, 84.1342], [57.5583, 82.3174, 100.3733], [84.8885, 117.3035, 143.1213], [102.4038, 131.4198, 149.9518]]","[[30.1142, 42.8296, 52.1255], [34.8188, 48.7308, 58.2741], [36.9916, 54.3747, 67.2067], [55.9213, 76.9109, 95.3268], [51.3884, 71.3969, 87.0788]]","[[44.9298, 62.5172, 76.0496], [51.2617, 70.5046, 84.2636], [57.1756, 82.0614, 100.5368], [84.8725, 116.8346, 143.1304], [102.4264, 131.5342, 150.1936]]","[[-0.1537, -0.01, 0.1246], [-0.0635, -0.1208, 0.0663], [-0.1996, -0.1061, 0.216], [-0.0177, -0.0703, 0.0489], [0.0297, -0.1215, -0.4144]]",GPU,KEEP,
20260831_214340_loop_lgbm_ret_60,2026-08-31T21:43:40,loop,lgbm,btc_1min_15d_2026-01-18_02-02,2f570535e50f,8587,ret_60,77,"{""fold1_2026-01-27"": [23, 30, 18], ""fold2_2026-01-28"": [37, 51, 31], ""fold3_2026-01-29"": [89, 48, 23], ""fold4_2026-01-30"": [3, 56, 10], ""fold5_2026-01-31"": [42, 20, 33]}",S_m,0.014875594286289928,0.6,-0.17390965725609941,-0.2354366385308282,"[[44.9157, 62.6453, 76.1676], [51.2012, 70.6079, 84.1958], [57.6755, 82.3997, 100.4784], [84.8537, 117.4551, 143.0336], [102.2288, 131.1347, 149.7433]]","[[30.0595, 42.8056, 52.1295], [34.7757, 48.8112, 58.3422], [37.0257, 54.4932, 67.2172], [55.9255, 76.9553, 95.2837], [51.3139, 71.3642, 87.0522]]","[[44.9298, 62.5172, 76.0496], [51.2617, 70.5046, 84.2636], [57.1756, 82.0614, 100.5368], [84.8725, 116.8346, 143.1304], [102.4264, 131.5342, 150.1936]]","[[0.1308, 0.0062, 0.0149], [0.1915, -0.2354, -0.0732], [-0.2037, -0.1, -0.1047], [0.041, -0.1293, 0.0613], [0.1709, 0.2169, 0.139]]",GPU,KEEP,
