exp_id,timestamp,model,win,n_ext,ext_cols,members,weighting,MedianGain_vs_E0,champion_before,MedianGain_vs_champion,WinRate,P10Gain,WorstGain,eps_champion,decision,champion_after,rmse_mean_win,rmse_mean_champion,gain_cells,rmse_h1,rmse_h2,rmse_h3,mae_h1,mae_h2,mae_h3,champ_rmse_h1,champ_rmse_h2,champ_rmse_h3,latency_p95_ms,latency_p99_ms,latency_max_ms,train_device,predict_device
20260904_235110_champion_lgbm,2026-09-04T23:51:10,lgbm,prune,91,ret_60|ret_240|ret_1440|log_rv15_rv240|log_rv60_rv1440|ret_skew_60|log_c_ema1440|log_ema60_ema240|hma_slope64_volnorm|rsi240_centered|mfi60_centered|ad_vwclv_15|psar_age_log|log_rv60_med2d|vwap_amt_gap_5|vwap_amt_gap_10|ret_1|ret_4|ret_8|log_rv2_rv60|log_rv3_rv60|log_rv4_rv60|log_rv5_rv60|log_rv8_rv60|log_c_ema4|log_c_ema10|log_ema2_ema8|rsi8_centered|rsi15_centered|bb_pctb_5|bb_pctb_8|bb_pctb_10|bb_pctb_15|bb_logbw_5|log_atr1_c|log_atr2_c|log_atr3_c|log_atr4_c|log_atr8_c|log_atr15_c|log_atr2_rv2|log_atr4_rv4|log_atr5_rv5|log_atr15_rv15|kcw_3|kcw_4|kcw_5|kcw_15|mfi5_centered|mfi8_centered|mfi15_centered|ad_vwclv_1|ad_vwclv_3|ad_vwclv_4|dd_8|dd_10|ru_15|log_range_1|log_range_2|log_range_3|log_range_4|log_range_8|log_range_10|log_range_15|ret_skew_3|ret_skew_5|ret_skew_8|ret_skew_10|ret_skew_15|hma_slope1_volnorm|hma_slope2_volnorm|hma_slope3_volnorm|hma_slope4_volnorm|hma_slope8_volnorm|hma_slope10_volnorm|hma_slope15_volnorm|macd_hist_2_5_2_volnorm|macd_hist_2_8_3_volnorm|macd_hist_4_10_4_volnorm|macd_hist_5_15_5_volnorm|psar_logdist_4|psar_logdist_5|psar_logdist_10|psar_age_log_8|psar_age_log_15|log_rv2_med2d|log_rv3_med2d|log_rv4_med2d|log_rv5_med2d|log_rv10_med2d|log_rv15_med2d,,,0.0991,,,,,,,champion ban đầu,lgbm,"[[73.0165, 101.9338, 125.2415], [47.6298, 68.3407, 82.0203], [77.563, 109.0061, 133.768], [45.9509, 65.7745, 80.4976], [25.1913, 35.6488, 43.2643]]",,,53.8703,76.1408,92.9583,36.2207,52.3304,64.7846,,,,,,,GPU,CPU
20260904_235110_champion_xgb,2026-09-04T23:51:10,xgb,prune,81,log_c_ema1440|log_ema60_ema240|rsi240_centered|macd_hist_60_240_60_volnorm|bb_pctb_20|mfi60_centered|ad_vwclv_5|ad_vwclv_15|psar_logdist|psar_age_log|log_rv60_med2d|vwap_amt_gap_2|vwap_amt_gap_4|vwap_amt_gap_5|vwap_amt_gap_8|ret_1|ret_2|ret_4|ret_5|ret_8|log_rv4_rv60|log_rv5_rv60|log_rv8_rv60|log_rv10_rv60|log_c_ema2|log_c_ema4|log_c_ema10|log_ema2_ema5|log_ema2_ema8|log_ema3_ema10|log_ema4_ema10|rsi2_centered|rsi3_centered|rsi4_centered|rsi5_centered|rsi8_centered|rsi10_centered|rsi15_centered|bb_pctb_3|bb_pctb_4|bb_pctb_5|bb_pctb_10|bb_pctb_15|log_atr5_c|log_atr15_c|log_atr3_rv3|log_atr15_rv15|mfi2_centered|mfi15_centered|ad_vwclv_1|ad_vwclv_2|ad_vwclv_4|ad_vwclv_10|dd_4|dd_8|ru_10|log_range_1|log_range_2|log_range_3|log_range_4|log_range_15|ret_skew_4|ret_skew_10|hma_slope1_volnorm|hma_slope2_volnorm|hma_slope8_volnorm|hma_slope10_volnorm|hma_slope15_volnorm|macd_hist_2_5_2_volnorm|macd_hist_2_8_3_volnorm|macd_hist_3_10_3_volnorm|macd_hist_4_10_4_volnorm|psar_logdist_4|psar_logdist_5|psar_logdist_15|psar_age_log_15|log_rv3_med2d|log_rv4_med2d|log_rv10_med2d|r5_2|r5_3,,,0.122,lgbm,0.0402,0.6667,-0.1317,-0.151,0.026609510898533906,đổi,xgb,"[[72.9872, 101.7382, 125.0822], [47.626, 68.2892, 81.8558], [77.3834, 108.8054, 133.957], [45.8964, 65.8445, 80.486], [25.2209, 35.6856, 43.3296]]","[[73.0165, 101.9338, 125.2415], [47.6298, 68.3407, 82.0203], [77.563, 109.0061, 133.768], [45.9509, 65.7745, 80.4976], [25.1913, 35.6488, 43.2643]]","[[0.0402, 0.1919, 0.1272], [0.0081, 0.0754, 0.2005], [0.2316, 0.1841, -0.1414], [0.1187, -0.1064, 0.0144], [-0.1173, -0.1032, -0.151]]",53.8228,76.0726,92.9421,36.1924,52.3534,64.8522,53.8703,76.1408,92.9583,,,,GPU,GPU
20260904_235110_champion_cat,2026-09-04T23:51:10,cat,prune,61,ret_60|ret_skew_60|rsi240_centered|bb_pctb_20|r5_1|ret_3|log_rv2_rv60|log_rv3_rv60|log_rv4_rv60|log_rv5_rv60|log_rv15_rv60|log_c_ema2|log_c_ema8|log_ema2_ema5|log_ema4_ema10|rsi2_centered|rsi8_centered|rsi15_centered|bb_pctb_3|bb_pctb_8|bb_pctb_10|bb_logbw_4|bb_logbw_5|bb_logbw_8|log_atr1_c|log_atr10_c|log_atr15_c|log_atr3_rv3|log_atr15_rv15|kcw_2|kcw_3|kcw_8|mfi8_centered|mfi15_centered|ad_vwclv_1|ad_vwclv_2|dd_4|dd_10|log_range_4|log_range_5|log_range_8|log_range_15|ret_skew_3|hma_slope1_volnorm|hma_slope4_volnorm|hma_slope5_volnorm|hma_slope10_volnorm|macd_hist_2_5_2_volnorm|macd_hist_2_8_3_volnorm|macd_hist_4_10_4_volnorm|macd_hist_5_15_5_volnorm|psar_dir_3|psar_dir_4|psar_dir_5|psar_dir_10|psar_logdist_4|psar_logdist_5|psar_logdist_8|psar_age_log_15|log_rv2_med2d|log_rv10_med2d,,,0.1601,xgb,0.0216,0.6,-0.235,-0.34,0.06187712621061578,giữ,xgb,"[[73.0559, 102.0842, 125.417], [47.5866, 68.2395, 82.008], [77.4727, 108.7639, 133.6805], [45.9588, 65.8137, 80.4686], [25.1924, 35.6818, 43.3022]]","[[72.9872, 101.7382, 125.0822], [47.626, 68.2892, 81.8558], [77.3834, 108.8054, 133.957], [45.8964, 65.8445, 80.486], [25.2209, 35.6856, 43.3296]]","[[-0.0941, -0.34, -0.2677], [0.0827, 0.0727, -0.1859], [-0.1154, 0.0381, 0.2064], [-0.1359, 0.0468, 0.0216], [0.1131, 0.0105, 0.0634]]",53.8532,76.1166,92.9753,36.2169,52.3299,64.8203,53.8228,76.0726,92.9421,,,,GPU,CPU
20260904_235110_champion_xgbrf,2026-09-04T23:51:10,xgbrf,prune,106,vwap_amt_gap_1|vwap_amt_gap_240|log_rv60_rv1440|log_c_ema1440|log_ema60_ema240|hma_slope64_volnorm|bb_pctb_20|mfi60_centered|psar_age_log|log_rv60_med2d|log_range_240|r5_12|vwap_amt_gap_3|vwap_amt_gap_4|vwap_amt_gap_5|vwap_amt_gap_8|vwap_amt_gap_10|ret_4|ret_5|ret_8|log_rv2_rv60|log_rv3_rv60|log_rv4_rv60|log_c_ema3|log_c_ema4|log_ema2_ema5|log_ema2_ema8|rsi1_centered|rsi2_centered|rsi3_centered|rsi4_centered|rsi5_centered|rsi8_centered|rsi10_centered|rsi15_centered|bb_pctb_4|bb_pctb_5|bb_pctb_8|bb_pctb_10|bb_pctb_15|bb_logbw_15|log_atr2_c|log_atr3_c|log_atr5_c|log_atr10_c|log_atr15_c|log_atr5_rv5|log_atr10_rv10|log_atr15_rv15|kcw_2|kcw_3|kcw_10|kcw_15|mfi1_centered|mfi2_centered|mfi4_centered|mfi8_centered|mfi10_centered|ad_vwclv_1|ad_vwclv_3|ad_vwclv_8|ad_vwclv_10|dd_2|dd_3|dd_4|dd_5|dd_8|dd_10|log_range_1|log_range_2|log_range_3|log_range_4|log_range_5|log_range_8|log_range_15|ret_skew_3|ret_skew_4|ret_skew_5|hma_slope1_volnorm|hma_slope2_volnorm|hma_slope3_volnorm|hma_slope4_volnorm|hma_slope5_volnorm|hma_slope8_volnorm|hma_slope15_volnorm|macd_hist_2_5_2_volnorm|macd_hist_2_8_3_volnorm|macd_hist_4_10_4_volnorm|macd_hist_5_15_5_volnorm|psar_dir_5|psar_dir_15|psar_logdist_4|psar_logdist_5|psar_logdist_8|psar_logdist_10|psar_logdist_15|psar_age_log_2|psar_age_log_4|psar_age_log_8|psar_age_log_10|log_rv2_med2d|log_rv3_med2d|log_rv4_med2d|log_rv15_med2d|r5_3|log_c5_ema5_3,,,0.0964,xgb,0.0193,0.5333,-0.1848,-0.2361,0.06187712621061578,giữ,xgb,"[[73.0283, 101.8871, 124.9105], [47.5842, 68.2984, 82.0491], [77.5462, 108.8333, 133.644], [45.909, 65.826, 80.4639], [25.1869, 35.6787, 43.3118]]","[[72.9872, 101.7382, 125.0822], [47.626, 68.2892, 81.8558], [77.3834, 108.8054, 133.957], [45.8964, 65.8445, 80.486], [25.2209, 35.6856, 43.3296]]","[[-0.0563, -0.1463, 0.1373], [0.0877, -0.0136, -0.2361], [-0.2104, -0.0256, 0.2336], [-0.0275, 0.0281, 0.0274], [0.1346, 0.0193, 0.0412]]",53.8509,76.1047,92.8758,36.2324,52.356,64.828,53.8228,76.0726,92.9421,,,,GPU,GPU
20260905_011617_champion_lgbm,2026-09-05T01:16:17,lgbm,prune,91,ret_60|ret_240|ret_1440|log_rv15_rv240|log_rv60_rv1440|ret_skew_60|log_c_ema1440|log_ema60_ema240|hma_slope64_volnorm|rsi240_centered|mfi60_centered|ad_vwclv_15|psar_age_log|log_rv60_med2d|vwap_amt_gap_5|vwap_amt_gap_10|ret_1|ret_4|ret_8|log_rv2_rv60|log_rv3_rv60|log_rv4_rv60|log_rv5_rv60|log_rv8_rv60|log_c_ema4|log_c_ema10|log_ema2_ema8|rsi8_centered|rsi15_centered|bb_pctb_5|bb_pctb_8|bb_pctb_10|bb_pctb_15|bb_logbw_5|log_atr1_c|log_atr2_c|log_atr3_c|log_atr4_c|log_atr8_c|log_atr15_c|log_atr2_rv2|log_atr4_rv4|log_atr5_rv5|log_atr15_rv15|kcw_3|kcw_4|kcw_5|kcw_15|mfi5_centered|mfi8_centered|mfi15_centered|ad_vwclv_1|ad_vwclv_3|ad_vwclv_4|dd_8|dd_10|ru_15|log_range_1|log_range_2|log_range_3|log_range_4|log_range_8|log_range_10|log_range_15|ret_skew_3|ret_skew_5|ret_skew_8|ret_skew_10|ret_skew_15|hma_slope1_volnorm|hma_slope2_volnorm|hma_slope3_volnorm|hma_slope4_volnorm|hma_slope8_volnorm|hma_slope10_volnorm|hma_slope15_volnorm|macd_hist_2_5_2_volnorm|macd_hist_2_8_3_volnorm|macd_hist_4_10_4_volnorm|macd_hist_5_15_5_volnorm|psar_logdist_4|psar_logdist_5|psar_logdist_10|psar_age_log_8|psar_age_log_15|log_rv2_med2d|log_rv3_med2d|log_rv4_med2d|log_rv5_med2d|log_rv10_med2d|log_rv15_med2d,,,0.0991,,,,,,,champion ban đầu,lgbm,"[[73.0165, 101.9338, 125.2415], [47.6298, 68.3407, 82.0203], [77.563, 109.0061, 133.768], [45.9509, 65.7745, 80.4976], [25.1913, 35.6488, 43.2643]]",,,53.8703,76.1408,92.9583,36.2207,52.3304,64.7846,,,,,,,GPU,CPU
20260905_011617_champion_xgb,2026-09-05T01:16:17,xgb,prune,81,log_c_ema1440|log_ema60_ema240|rsi240_centered|macd_hist_60_240_60_volnorm|bb_pctb_20|mfi60_centered|ad_vwclv_5|ad_vwclv_15|psar_logdist|psar_age_log|log_rv60_med2d|vwap_amt_gap_2|vwap_amt_gap_4|vwap_amt_gap_5|vwap_amt_gap_8|ret_1|ret_2|ret_4|ret_5|ret_8|log_rv4_rv60|log_rv5_rv60|log_rv8_rv60|log_rv10_rv60|log_c_ema2|log_c_ema4|log_c_ema10|log_ema2_ema5|log_ema2_ema8|log_ema3_ema10|log_ema4_ema10|rsi2_centered|rsi3_centered|rsi4_centered|rsi5_centered|rsi8_centered|rsi10_centered|rsi15_centered|bb_pctb_3|bb_pctb_4|bb_pctb_5|bb_pctb_10|bb_pctb_15|log_atr5_c|log_atr15_c|log_atr3_rv3|log_atr15_rv15|mfi2_centered|mfi15_centered|ad_vwclv_1|ad_vwclv_2|ad_vwclv_4|ad_vwclv_10|dd_4|dd_8|ru_10|log_range_1|log_range_2|log_range_3|log_range_4|log_range_15|ret_skew_4|ret_skew_10|hma_slope1_volnorm|hma_slope2_volnorm|hma_slope8_volnorm|hma_slope10_volnorm|hma_slope15_volnorm|macd_hist_2_5_2_volnorm|macd_hist_2_8_3_volnorm|macd_hist_3_10_3_volnorm|macd_hist_4_10_4_volnorm|psar_logdist_4|psar_logdist_5|psar_logdist_15|psar_age_log_15|log_rv3_med2d|log_rv4_med2d|log_rv10_med2d|r5_2|r5_3,,,0.122,lgbm,0.0402,0.6667,-0.1317,-0.151,0.026609510898533906,đổi,xgb,"[[72.9872, 101.7382, 125.0822], [47.626, 68.2892, 81.8558], [77.3834, 108.8054, 133.957], [45.8964, 65.8445, 80.486], [25.2209, 35.6856, 43.3296]]","[[73.0165, 101.9338, 125.2415], [47.6298, 68.3407, 82.0203], [77.563, 109.0061, 133.768], [45.9509, 65.7745, 80.4976], [25.1913, 35.6488, 43.2643]]","[[0.0402, 0.1919, 0.1272], [0.0081, 0.0754, 0.2005], [0.2316, 0.1841, -0.1414], [0.1187, -0.1064, 0.0144], [-0.1173, -0.1032, -0.151]]",53.8228,76.0726,92.9421,36.1924,52.3534,64.8522,53.8703,76.1408,92.9583,,,,GPU,GPU
20260905_011617_champion_cat,2026-09-05T01:16:17,cat,prune,61,ret_60|ret_skew_60|rsi240_centered|bb_pctb_20|r5_1|ret_3|log_rv2_rv60|log_rv3_rv60|log_rv4_rv60|log_rv5_rv60|log_rv15_rv60|log_c_ema2|log_c_ema8|log_ema2_ema5|log_ema4_ema10|rsi2_centered|rsi8_centered|rsi15_centered|bb_pctb_3|bb_pctb_8|bb_pctb_10|bb_logbw_4|bb_logbw_5|bb_logbw_8|log_atr1_c|log_atr10_c|log_atr15_c|log_atr3_rv3|log_atr15_rv15|kcw_2|kcw_3|kcw_8|mfi8_centered|mfi15_centered|ad_vwclv_1|ad_vwclv_2|dd_4|dd_10|log_range_4|log_range_5|log_range_8|log_range_15|ret_skew_3|hma_slope1_volnorm|hma_slope4_volnorm|hma_slope5_volnorm|hma_slope10_volnorm|macd_hist_2_5_2_volnorm|macd_hist_2_8_3_volnorm|macd_hist_4_10_4_volnorm|macd_hist_5_15_5_volnorm|psar_dir_3|psar_dir_4|psar_dir_5|psar_dir_10|psar_logdist_4|psar_logdist_5|psar_logdist_8|psar_age_log_15|log_rv2_med2d|log_rv10_med2d,,,0.1601,xgb,0.0216,0.6,-0.235,-0.34,0.06187712621061578,giữ,xgb,"[[73.0559, 102.0842, 125.417], [47.5866, 68.2395, 82.008], [77.4727, 108.7639, 133.6805], [45.9588, 65.8137, 80.4686], [25.1924, 35.6818, 43.3022]]","[[72.9872, 101.7382, 125.0822], [47.626, 68.2892, 81.8558], [77.3834, 108.8054, 133.957], [45.8964, 65.8445, 80.486], [25.2209, 35.6856, 43.3296]]","[[-0.0941, -0.34, -0.2677], [0.0827, 0.0727, -0.1859], [-0.1154, 0.0381, 0.2064], [-0.1359, 0.0468, 0.0216], [0.1131, 0.0105, 0.0634]]",53.8532,76.1166,92.9753,36.2169,52.3299,64.8203,53.8228,76.0726,92.9421,,,,GPU,CPU
20260905_011617_champion_xgbrf,2026-09-05T01:16:17,xgbrf,prune,106,vwap_amt_gap_1|vwap_amt_gap_240|log_rv60_rv1440|log_c_ema1440|log_ema60_ema240|hma_slope64_volnorm|bb_pctb_20|mfi60_centered|psar_age_log|log_rv60_med2d|log_range_240|r5_12|vwap_amt_gap_3|vwap_amt_gap_4|vwap_amt_gap_5|vwap_amt_gap_8|vwap_amt_gap_10|ret_4|ret_5|ret_8|log_rv2_rv60|log_rv3_rv60|log_rv4_rv60|log_c_ema3|log_c_ema4|log_ema2_ema5|log_ema2_ema8|rsi1_centered|rsi2_centered|rsi3_centered|rsi4_centered|rsi5_centered|rsi8_centered|rsi10_centered|rsi15_centered|bb_pctb_4|bb_pctb_5|bb_pctb_8|bb_pctb_10|bb_pctb_15|bb_logbw_15|log_atr2_c|log_atr3_c|log_atr5_c|log_atr10_c|log_atr15_c|log_atr5_rv5|log_atr10_rv10|log_atr15_rv15|kcw_2|kcw_3|kcw_10|kcw_15|mfi1_centered|mfi2_centered|mfi4_centered|mfi8_centered|mfi10_centered|ad_vwclv_1|ad_vwclv_3|ad_vwclv_8|ad_vwclv_10|dd_2|dd_3|dd_4|dd_5|dd_8|dd_10|log_range_1|log_range_2|log_range_3|log_range_4|log_range_5|log_range_8|log_range_15|ret_skew_3|ret_skew_4|ret_skew_5|hma_slope1_volnorm|hma_slope2_volnorm|hma_slope3_volnorm|hma_slope4_volnorm|hma_slope5_volnorm|hma_slope8_volnorm|hma_slope15_volnorm|macd_hist_2_5_2_volnorm|macd_hist_2_8_3_volnorm|macd_hist_4_10_4_volnorm|macd_hist_5_15_5_volnorm|psar_dir_5|psar_dir_15|psar_logdist_4|psar_logdist_5|psar_logdist_8|psar_logdist_10|psar_logdist_15|psar_age_log_2|psar_age_log_4|psar_age_log_8|psar_age_log_10|log_rv2_med2d|log_rv3_med2d|log_rv4_med2d|log_rv15_med2d|r5_3|log_c5_ema5_3,,,0.0964,xgb,0.0193,0.5333,-0.1848,-0.2361,0.06187712621061578,giữ,xgb,"[[73.0283, 101.8871, 124.9105], [47.5842, 68.2984, 82.0491], [77.5462, 108.8333, 133.644], [45.909, 65.826, 80.4639], [25.1869, 35.6787, 43.3118]]","[[72.9872, 101.7382, 125.0822], [47.626, 68.2892, 81.8558], [77.3834, 108.8054, 133.957], [45.8964, 65.8445, 80.486], [25.2209, 35.6856, 43.3296]]","[[-0.0563, -0.1463, 0.1373], [0.0877, -0.0136, -0.2361], [-0.2104, -0.0256, 0.2336], [-0.0275, 0.0281, 0.0274], [0.1346, 0.0193, 0.0412]]",53.8509,76.1047,92.8758,36.2324,52.356,64.828,53.8228,76.0726,92.9421,,,,GPU,GPU
20260905_011617_champion_lstm,2026-09-05T01:16:17,lstm,prune,98,vwap_amt_gap_1|vwap_amt_gap_15|ret_60|ret_240|ret_1440|log_rv15_rv240|log_rv60_rv1440|ret_skew_60|dd_240|log_c_ema1440|log_ema60_ema240|macd_hist_60_240_60_volnorm|bb_pctb_20|bb_logbw_20|mfi60_centered|ad_vwclv_60|psar_age_log|dow_cos|log_rv60_med2d|log_range_240|r5_1|r5_12|log_c5_ema5_12|vwap_amt_gap_4|vwap_amt_gap_8|ret_4|ret_5|ret_8|ret_10|log_rv2_rv60|log_rv3_rv60|log_rv4_rv60|log_rv15_rv60|log_c_ema2|log_c_ema3|log_c_ema4|log_c_ema5|log_c_ema8|log_ema2_ema8|rsi1_centered|rsi3_centered|rsi8_centered|bb_pctb_2|bb_pctb_8|bb_pctb_10|bb_pctb_15|bb_logbw_5|bb_logbw_15|log_atr1_c|log_atr3_c|log_atr4_c|log_atr5_c|log_atr8_c|log_atr10_c|log_atr4_rv4|log_atr5_rv5|log_atr10_rv10|log_atr15_rv15|kcw_2|kcw_3|kcw_10|kcw_15|mfi1_centered|mfi2_centered|mfi4_centered|mfi8_centered|ad_vwclv_1|dd_5|dd_8|dd_10|ru_2|ru_3|ru_8|ru_15|log_range_3|log_range_4|log_range_5|log_range_8|log_range_10|ret_skew_3|ret_skew_4|ret_skew_5|ret_skew_15|hma_slope1_volnorm|hma_slope2_volnorm|hma_slope5_volnorm|macd_hist_2_5_2_volnorm|psar_dir_10|psar_logdist_8|psar_logdist_15|psar_age_log_4|psar_age_log_8|psar_age_log_10|log_rv4_med2d|log_rv15_med2d|r5_2|r5_3|log_c5_ema5_3,,,-0.1262,xgb,-0.2891,0.0667,-0.6121,-0.8088,0.06187712621061578,giữ,xgb,"[[73.3133, 102.3809, 125.811], [47.7637, 68.5902, 82.5179], [77.7737, 109.226, 134.2239], [45.9574, 65.9026, 80.5488], [25.2648, 35.6936, 43.3295]]","[[72.9872, 101.7382, 125.0822], [47.626, 68.2892, 81.8558], [77.3834, 108.8054, 133.957], [45.8964, 65.8445, 80.486], [25.2209, 35.6856, 43.3296]]","[[-0.4468, -0.6317, -0.5827], [-0.2891, -0.4408, -0.8088], [-0.5044, -0.3865, -0.1992], [-0.1329, -0.0883, -0.0781], [-0.1741, -0.0226, 0.0002]]",54.0146,76.3587,93.2862,36.3019,52.4614,64.9934,53.8228,76.0726,92.9421,,,,GPU,GPU
20260905_011630_ensemble_inv_mse,2026-09-05T01:16:30,ensemble_inv_mse,,,,cat|xgb|lgbm|xgbrf,inv_mse,0.1383,xgb,0.0283,0.6667,-0.0859,-0.1284,0.06187712621061578,giữ,xgb,"[[72.9698, 101.8688, 125.0884], [47.5828, 68.2699, 81.9338], [77.4389, 108.8024, 133.7057], [45.9164, 65.7985, 80.4557], [25.1845, 35.6598, 43.2741]]","[[72.9872, 101.7382, 125.0822], [47.626, 68.2892, 81.8558], [77.3834, 108.8054, 133.957], [45.8964, 65.8445, 80.486], [25.2209, 35.6856, 43.3296]]","[[0.0238, -0.1284, -0.0049], [0.0907, 0.0283, -0.0953], [-0.0717, 0.0028, 0.1877], [-0.0436, 0.0699, 0.0376], [0.1441, 0.0721, 0.1282]]",53.8185,76.0799,92.8915,,,,53.8228,76.0726,92.9421,,,,,
