order,candidate,columns,group,MedianGain_vs_S,WinRate,P10Gain,WorstGain,MedianGain_vs_base,MedianGain_vs_E0,gain_standalone_E0,decision,eps,size_S_after,rmse_cells,gain_cells_vs_S,exp_id
1,vwap_amt_gap_2,vwap_amt_gap_2,A,-0.0005801663221838,0.4666666666666667,-0.0128854772074937,-0.0561966714198058,-0.0006294159597519666,0.09198882536047837,,KEEP,0.038933617797944874,78,"[[73.1367, 102.0605, 125.2113], [47.6791, 68.2508, 82.0656], [77.6255, 108.9744, 133.7052], [45.9514, 65.8058, 80.493], [25.2257, 35.6955, 43.3524]]","[[-0.0133, -0.0562, -0.0119], [-0.0113, 0.0086, 0.0108], [-0.0006, 0.0243, -0.0066], [0.0003, 0.0143, -0.0122], [-0.0013, 0.0043, 0.0052]]",20260904_204237_loop_cat_vwap_amt_gap_2
2,vwap_amt_gap_3,vwap_amt_gap_3,A,0.0097819626044604,0.6666666666666666,-0.0113379114056177,-0.0423363679057375,0.020094089185107578,0.08818772398850871,,KEEP,0.038933617797944874,79,"[[73.1676, 102.051, 125.1385], [47.6614, 68.2422, 82.0644], [77.6051, 108.9637, 133.7216], [45.9539, 65.7969, 80.501], [25.2203, 35.6982, 43.3434]]","[[-0.0423, 0.0093, 0.0581], [0.0372, 0.0127, 0.0014], [0.0262, 0.0098, -0.0122], [-0.0054, 0.0135, -0.01], [0.0214, -0.0074, 0.0206]]",20260904_204341_loop_cat_vwap_amt_gap_3
3,vwap_amt_gap_4,vwap_amt_gap_4,A,0.004389005288552,0.6,-0.0295928914558363,-0.0542841702961371,0.024620177750456218,0.10164105416236024,,KEEP,0.038933617797944874,80,"[[73.1417, 102.0769, 125.2065], [47.6516, 68.2374, 82.0431], [77.6059, 108.916, 133.6611], [45.952, 65.794, 80.5269], [25.2268, 35.7038, 43.3208]]","[[0.0354, -0.0253, -0.0543], [0.0204, 0.007, 0.0259], [-0.001, 0.0438, 0.0452], [0.0042, 0.0044, -0.0322], [-0.0257, -0.0156, 0.0522]]",20260904_204452_loop_cat_vwap_amt_gap_4
4,vwap_amt_gap_5,vwap_amt_gap_5,A,-0.0118852712424954,0.4,-0.0331036213919944,-0.0835911102214925,0.00225490501211123,0.0894454941623879,,KEEP,0.038933617797944874,81,"[[73.2028, 102.089, 125.2492], [47.6608, 68.2107, 82.011], [77.5953, 108.9304, 133.6934], [45.9568, 65.8148, 80.4812], [25.2248, 35.7011, 43.3293]]","[[-0.0836, -0.0119, -0.0341], [-0.0193, 0.039, 0.0392], [0.0136, -0.0132, -0.0242], [-0.0105, -0.0316, 0.0567], [0.0081, 0.0075, -0.0196]]",20260904_204601_loop_cat_vwap_amt_gap_5
5,vwap_amt_gap_8,vwap_amt_gap_8,A,-0.0002792906949489,0.4666666666666667,-0.0288405071416253,-0.0364337621902466,0.0014766157992451845,0.08097750310079865,,KEEP,0.038933617797944874,82,"[[73.2088, 102.076, 125.1675], [47.6514, 68.2356, 82.0353], [77.5633, 108.9046, 133.6944], [45.9569, 65.8166, 80.5034], [25.2272, 35.6979, 43.3291]]","[[-0.0082, 0.0128, 0.0652], [0.0199, -0.0364, -0.0297], [0.0412, 0.0237, -0.0007], [-0.0003, -0.0027, -0.0276], [-0.0099, 0.0089, 0.0004]]",20260904_204715_loop_cat_vwap_amt_gap_8
6,vwap_amt_gap_10,vwap_amt_gap_10,A,-0.0024808982702184,0.4666666666666667,-0.0273944186447572,-0.038711814429182,-0.0009916635540285768,0.0695914292421218,,KEEP,0.038933617797944874,83,"[[73.2372, 102.0872, 125.1921], [47.6484, 68.2253, 82.0343], [77.556, 108.9001, 133.6977], [45.9547, 65.8241, 80.5119], [25.2355, 35.7018, 43.3261]]","[[-0.0387, -0.0111, -0.0196], [0.0063, 0.0151, 0.0012], [0.0095, 0.0041, -0.0025], [0.0048, -0.0114, -0.0106], [-0.0326, -0.0111, 0.0068]]",20260904_204822_loop_cat_vwap_amt_gap_10
7,ret_1,ret_1,B,-0.007536586035961,0.4,-0.0222836821750505,-0.0433425623727945,0.004917247625024768,0.07050231515082217,,KEEP,0.038933617797944874,84,"[[73.2472, 102.0671, 125.116], [47.6329, 68.2406, 82.0525], [77.5666, 108.9473, 133.6898], [45.9631, 65.8235, 80.5275], [25.2326, 35.7045, 43.3287]]","[[-0.0136, 0.0197, 0.0608], [0.0324, -0.0224, -0.0221], [-0.0138, -0.0433, 0.0059], [-0.0182, 0.001, -0.0193], [0.0114, -0.0075, -0.0059]]",20260904_204931_loop_cat_ret_1
8,ret_2,ret_2,B,-0.0017521097390948,0.4666666666666667,-0.0386037453568821,-0.0681834843726969,0.011157350443702363,0.07980258949594754,,KEEP,0.038933617797944874,85,"[[73.2424, 102.0363, 125.1182], [47.6654, 68.2263, 82.0653], [77.6005, 108.9705, 133.6757], [45.9666, 65.8439, 80.495], [25.2322, 35.7034, 43.3332]]","[[0.0065, 0.0302, -0.0018], [-0.0682, 0.0209, -0.0156], [-0.0437, -0.0213, 0.0106], [-0.0075, -0.031, 0.0403], [0.0016, 0.0031, -0.0104]]",20260904_205045_loop_cat_ret_2
9,ret_3,ret_3,B,-0.0063269365391249,0.3333333333333333,-0.0230330227892316,-0.0293626594606077,0.0028977463359836086,0.0733815012477379,,KEEP,0.038933617797944874,86,"[[73.2227, 102.0398, 125.1208], [47.649, 68.2139, 82.0338], [77.6173, 108.9807, 133.6925], [45.97, 65.8431, 80.5001], [25.2348, 35.7139, 43.3435]]","[[0.027, -0.0034, -0.0021], [0.0345, 0.0183, 0.0383], [-0.0217, -0.0093, -0.0126], [-0.0074, 0.0012, -0.0063], [-0.0104, -0.0294, -0.0239]]",20260904_205150_loop_cat_ret_3
10,ret_4,ret_4,B,0.0083392819869576,0.7333333333333333,-0.0381884338029703,-0.0500008476595592,-0.0029582732047339633,0.08149563030244167,,KEEP,0.038933617797944874,87,"[[73.2143, 102.0866, 125.0721], [47.6472, 68.2082, 82.0748], [77.5946, 109.009, 133.6822], [45.9651, 65.8607, 80.4855], [25.2264, 35.711, 43.3386]]","[[0.0114, -0.0458, 0.0389], [0.0037, 0.0083, -0.05], [0.0292, -0.026, 0.0077], [0.0107, -0.0267, 0.0181], [0.0331, 0.0081, 0.0113]]",20260904_205304_loop_cat_ret_4
