order,candidate,columns,group,MedianGain_vs_S,WinRate,P10Gain,WorstGain,MedianGain_vs_base,MedianGain_vs_E0,gain_standalone_E0,decision,eps,size_S_after,rmse_cells,gain_cells_vs_S,exp_id
1,vwap_amt_gap_2,vwap_amt_gap_2,A,0.004333792076705,0.5333333333333333,-0.0433845374838392,-0.060975015788478,0.004275505867501472,-0.017255342255517725,,KEEP,0.026609510898533906,87,"[[73.1172, 101.9341, 125.4489], [47.7117, 68.3405, 82.1282], [77.8938, 109.0019, 134.1214], [45.9816, 65.8426, 80.4677], [25.2256, 35.6945, 43.3135]]","[[0.0043, 0.0053, -0.061], [-0.0581, 0.0897, 0.0367], [-0.0205, 0.0316, 0.0947], [-0.0048, -0.0041, -0.0213], [0.0101, -0.001, 0.0495]]",20260904_204318_loop_lgbm_vwap_amt_gap_2
2,vwap_amt_gap_3,vwap_amt_gap_3,A,0.0042092492296141,0.5333333333333333,-0.0483366992660094,-0.1031518221785043,-0.0005448456112056022,-0.06694629061572144,,KEEP,0.026609510898533906,88,"[[73.16, 101.9677, 125.4275], [47.697, 68.411, 82.1433], [77.8799, 109.0113, 134.0943], [45.9796, 65.8211, 80.473], [25.2163, 35.6857, 43.3177]]","[[-0.0586, -0.0329, 0.017], [0.031, -0.1032, -0.0184], [0.0177, -0.0086, 0.0202], [0.0042, 0.0327, -0.0065], [0.0371, 0.0247, -0.0099]]",20260904_204428_loop_lgbm_vwap_amt_gap_3
3,vwap_amt_gap_4,vwap_amt_gap_4,A,-0.0133312274178898,0.4,-0.0296741402624567,-0.0337722981037513,0.002466713237225804,-0.08741658041393485,,KEEP,0.026609510898533906,89,"[[73.1805, 101.9644, 125.2347], [47.6817, 68.4233, 82.1686], [77.8879, 109.0336, 134.0074], [45.9857, 65.8158, 80.4905], [25.216, 35.6919, 43.3324]]","[[-0.028, 0.0033, 0.1537], [0.032, -0.018, -0.0308], [-0.0102, -0.0205, 0.0648], [-0.0133, 0.008, -0.0218], [0.0011, -0.0174, -0.0338]]",20260904_204541_loop_lgbm_vwap_amt_gap_4
4,vwap_amt_gap_5,vwap_amt_gap_5,A,0.0206149343567774,0.7333333333333333,-0.1046452225994842,-0.164114000915605,0.025361947688440356,-0.05759254158717031,,KEEP,0.026609510898533906,90,"[[73.1603, 101.9433, 125.4403], [47.696, 68.3946, 82.1372], [77.8349, 109.0167, 134.2144], [45.9667, 65.8056, 80.4867], [25.2215, 35.6822, 43.317]]","[[0.0275, 0.0206, -0.1641], [-0.03, 0.0419, 0.0382], [0.068, 0.0156, -0.1544], [0.0414, 0.0155, 0.0048], [-0.022, 0.0271, 0.0354]]",20260904_204656_loop_lgbm_vwap_amt_gap_5
5,vwap_amt_gap_8,vwap_amt_gap_8,A,-0.0117326156221286,0.3333333333333333,-0.0378117632206143,-0.1299606858712554,0.004864000242299493,0.020528763921168203,,KEEP,0.026609510898533906,91,"[[73.1861, 101.9553, 125.6033], [47.6861, 68.3412, 82.0824], [77.8616, 109.0284, 134.2072], [45.9808, 65.8276, 80.4487], [25.2222, 35.696, 43.3328]]","[[-0.0352, -0.0117, -0.13], [0.0207, 0.0781, 0.0668], [-0.0342, -0.0107, 0.0054], [-0.0306, -0.0334, 0.0472], [-0.0028, -0.0387, -0.0364]]",20260904_204816_loop_lgbm_vwap_amt_gap_8
6,vwap_amt_gap_10,vwap_amt_gap_10,A,-0.0143193384568141,0.3333333333333333,-0.0725854909335765,-0.0931472111581621,-0.002623777672550176,-0.041610864677110726,,KEEP,0.026609510898533906,92,"[[73.1482, 102.0006, 125.5191], [47.6949, 68.4037, 82.1588], [77.8782, 108.9837, 134.1901], [45.976, 65.8543, 80.4837], [25.2255, 35.7011, 43.3348]]","[[0.0518, -0.0444, 0.067], [-0.0183, -0.0914, -0.0931], [-0.0214, 0.0409, 0.0127], [0.0103, -0.0406, -0.0436], [-0.0129, -0.0143, -0.0047]]",20260904_204935_loop_lgbm_vwap_amt_gap_10
7,ret_1,ret_1,B,0.0291514522709701,0.7333333333333333,-0.0297814842279597,-0.0456358836066872,0.017417753363202504,-0.02783130263293021,,KEEP,0.026609510898533906,93,"[[73.0858, 101.8871, 125.4066], [47.6865, 68.3837, 82.188], [77.8811, 109.0068, 134.0451], [45.9476, 65.8324, 80.4341], [25.2238, 35.6935, 43.3546]]","[[0.0853, 0.1113, 0.0897], [0.0176, 0.0292, -0.0355], [-0.0037, -0.0212, 0.1081], [0.0618, 0.0333, 0.0617], [0.0066, 0.0215, -0.0456]]",20260904_205055_loop_lgbm_ret_1
8,ret_2,ret_2,B,0.0087355823278678,0.6,-0.0886473066124082,-0.1836437051764505,0.009610304122009694,-0.024383672017136426,,KEEP,0.026609510898533906,94,"[[73.1475, 101.9744, 125.3557], [47.7003, 68.3719, 82.1467], [77.8719, 108.9973, 134.2912], [45.9892, 65.8117, 80.4726], [25.2216, 35.6907, 43.3111]]","[[-0.0845, -0.0857, 0.0406], [-0.0289, 0.0174, 0.0503], [0.0118, 0.0087, -0.1836], [-0.0906, 0.0314, -0.0479], [0.0088, 0.0077, 0.1002]]",20260904_205212_loop_lgbm_ret_2
9,ret_3,ret_3,B,0.0057415778670466,0.5333333333333333,-0.0313172687506657,-0.1562644973568838,0.03588323686717354,0.006432662685973423,,KEEP,0.026609510898533906,95,"[[73.0925, 101.9915, 125.5516], [47.7004, 68.3293, 82.1288], [77.9038, 108.9776, 134.1589], [45.9575, 65.8038, 80.474], [25.2218, 35.6887, 43.3142]]","[[0.0752, -0.0168, -0.1563], [-0.0002, 0.0622, 0.0218], [-0.041, 0.0181, 0.0986], [0.069, 0.012, -0.0017], [-0.0006, 0.0057, -0.007]]",20260904_205352_loop_lgbm_ret_3
10,ret_4,ret_4,B,-0.0002937950460912,0.4666666666666667,-0.0636797704756508,-0.0820911358412779,0.01710417229681127,-0.01955871039851509,,KEEP,0.026609510898533906,96,"[[73.1202, 101.9918, 125.503], [47.6759, 68.3846, 82.1379], [77.8998, 109.067, 134.0326], [45.9438, 65.808, 80.4917], [25.2153, 35.6886, 43.3244]]","[[-0.0379, -0.0003, 0.0387], [0.0512, -0.0809, -0.011], [0.0052, -0.0821, 0.0941], [0.0297, -0.0063, -0.022], [0.0256, 0.0002, -0.0235]]",20260904_205536_loop_lgbm_ret_4
