order,candidate,columns,group,MedianGain_vs_S,WinRate,P10Gain,WorstGain,MedianGain_vs_base,MedianGain_vs_E0,gain_standalone_E0,decision,eps,size_S_after,rmse_cells,gain_cells_vs_S,exp_id
1,vwap_amt_gap_2,vwap_amt_gap_2,A,0.035861665061176495,0.6,-0.23206560262147846,-0.32861954372855884,0.035861665061176495,-0.07566540258323595,,KEEP,0.10390277810907741,96,"[[73.4735, 102.4884, 125.8114], [47.7117, 68.3227, 82.3019], [77.6499, 109.0208, 133.8699], [46.0551, 65.859, 80.7019], [25.2254, 35.6746, 43.248]]","[[-0.2042, 0.0378, -0.0882], [-0.0057, 0.132, 0.0359], [0.2912, 0.175, 0.1952], [-0.2506, -0.1692, -0.3286], [0.0308, 0.0518, 0.2436]]",20260904_235459_loop_lstm_vwap_amt_gap_2
2,vwap_amt_gap_3,vwap_amt_gap_3,A,-0.037256066351543105,0.4,-0.2537718383107235,-0.29714991432405746,-0.015026490171732299,-0.03320017054972979,,KEEP,0.10390277810907741,97,"[[73.3589, 102.6958, 126.1852], [47.7116, 68.3779, 82.1944], [77.6788, 109.3288, 134.1519], [46.0378, 65.8727, 80.4706], [25.235, 35.666, 43.3373]]","[[0.1559, -0.2023, -0.2971], [0.0004, -0.0809, 0.1306], [-0.0373, -0.2825, -0.2107], [0.0377, -0.0207, 0.2865], [-0.0382, 0.0241, -0.2066]]",20260904_235519_loop_lstm_vwap_amt_gap_3
3,vwap_amt_gap_4,vwap_amt_gap_4,A,0.10550106076596677,0.6666666666666666,-0.0747429598579119,-0.22994929774178274,0.07007458301994118,0.005168709745562161,,KEEP,0.10390277810907741,98,"[[73.4184, 102.5831, 126.0608], [47.659, 68.2788, 82.1928], [77.5817, 108.8255, 133.658], [45.9892, 65.9156, 80.6557], [25.2378, 35.6681, 43.2838]]","[[-0.0811, 0.1097, 0.0986], [0.1101, 0.145, 0.002], [0.125, 0.4604, 0.3681], [0.1055, -0.0652, -0.2299], [-0.0111, -0.0058, 0.1235]]",20260904_235539_loop_lstm_vwap_amt_gap_4
4,vwap_amt_gap_5,vwap_amt_gap_5,A,-0.018922086896910884,0.3333333333333333,-0.28457231192729804,-0.4061997096991732,0.02688173556704143,-0.11409123511325614,,KEEP,0.10390277810907741,99,"[[73.2099, 102.4294, 125.8289], [47.7211, 68.4283, 82.2961], [77.7526, 109.2675, 134.0957], [46.0016, 65.9281, 80.659], [25.2246, 35.6653, 43.2872]]","[[0.284, 0.1498, 0.1839], [-0.1303, -0.219, -0.1257], [-0.2203, -0.4062, -0.3274], [-0.0269, -0.0189, -0.0042], [0.0522, 0.0077, -0.0078]]",20260904_235559_loop_lstm_vwap_amt_gap_5
5,vwap_amt_gap_8,vwap_amt_gap_8,A,-0.044581294983614406,0.4666666666666667,-0.16358375534215597,-0.1763045701436594,0.004648996604017519,-0.18630502491183698,,KEEP,0.10390277810907741,100,"[[73.3203, 102.3609, 125.6667], [47.6747, 68.3674, 82.2927], [77.7143, 109.1413, 134.3321], [46.0221, 66.0007, 80.7785], [25.2436, 35.7257, 43.3543]]","[[-0.1508, 0.0669, 0.129], [0.0972, 0.089, 0.0042], [0.0492, 0.1155, -0.1763], [-0.0446, -0.1102, -0.1481], [-0.0752, -0.1692, -0.1551]]",20260904_235619_loop_lstm_vwap_amt_gap_8
6,vwap_amt_gap_10,vwap_amt_gap_10,A,-0.1332374586100027,0.2,-0.18670003519372091,-0.24342131717616233,-0.10775615921796433,-0.3194795214690682,,DROP,0.10390277810907741,100,"[[73.4028, 102.5353, 125.9726], [47.7538, 68.4988, 82.4368], [77.7865, 109.208, 134.5111], [46.1042, 66.0979, 80.8245], [25.2288, 35.6693, 43.275]]","[[-0.1124, -0.1704, -0.2434], [-0.1658, -0.1922, -0.1751], [-0.0929, -0.0611, -0.1332], [-0.1784, -0.1472, -0.057], [0.0588, 0.1579, 0.1829]]",20260904_235639_loop_lstm_vwap_amt_gap_10
7,ret_1,ret_1,B,-0.08977947715924639,0.2,-0.20555386416642119,-0.2168092763519036,-0.05601163255142261,-0.29425963374700714,,KEEP,0.10390277810907741,101,"[[73.3209, 102.3791, 125.9245], [47.7429, 68.4513, 82.3913], [77.7841, 109.1635, 134.4113], [46.1219, 66.1365, 80.8671], [25.2307, 35.6707, 43.2849]]","[[-0.0008, -0.0178, -0.2052], [-0.143, -0.1227, -0.1199], [-0.0898, -0.0203, -0.059], [-0.2168, -0.2058, -0.1097], [0.0513, 0.1538, 0.1601]]",20260904_235700_loop_lstm_ret_1
8,ret_2,ret_2,B,0.06911201834068903,0.6666666666666666,-0.14160379668539225,-0.23648092661199271,-0.07466246421337086,-0.07130548014304683,,KEEP,0.10390277810907741,102,"[[73.3939, 102.5028, 125.7944], [47.7312, 68.404, 82.2895], [77.617, 109.0925, 133.9834], [46.0136, 65.9069, 80.5776], [25.2637, 35.7238, 43.3873]]","[[-0.0996, -0.1208, 0.1033], [0.0245, 0.0691, 0.1236], [0.2148, 0.0651, 0.3184], [0.2348, 0.3472, 0.358], [-0.131, -0.1487, -0.2365]]",20260904_235720_loop_lstm_ret_2
9,ret_3,ret_3,B,0.09853415058682646,0.7333333333333333,-0.10379282569548563,-0.17069106247200594,0.062139832936736195,-0.08351091781921838,,KEEP,0.10390277810907741,103,"[[73.2624, 102.2907, 125.4028], [47.6829, 68.4123, 82.2703], [77.7495, 109.2459, 134.0483], [46.0022, 65.7996, 80.4982], [25.2439, 35.6709, 43.3263]]","[[0.1793, 0.2069, 0.3113], [0.1012, -0.0122, 0.0234], [-0.1707, -0.1407, -0.0485], [0.0247, 0.1628, 0.0985], [0.0783, 0.148, 0.1406]]",20260904_235741_loop_lstm_ret_3
10,ret_4,ret_4,B,-0.03348907842402049,0.3333333333333333,-0.2555492851144381,-0.4632529967551591,-0.017690375661727487,0.008148784137573806,,KEEP,0.10390277810907741,104,"[[73.3234, 102.6579, 125.9838], [47.6996, 68.2687, 82.1527], [77.6835, 109.3311, 134.183], [45.9818, 65.8191, 80.4463], [25.2524, 35.6994, 43.3349]]","[[-0.0833, -0.359, -0.4633], [-0.035, 0.21, 0.1429], [0.0848, -0.0779, -0.1004], [0.0444, -0.0296, 0.0644], [-0.0335, -0.0799, -0.02]]",20260904_235801_loop_lstm_ret_4
