order,candidate,columns,group,MedianGain_vs_S,WinRate,P10Gain,WorstGain,MedianGain_vs_base,MedianGain_vs_E0,gain_standalone_E0,decision,eps,size_S_after,rmse_cells,gain_cells_vs_S,exp_id
1,vwap_amt_gap_2,vwap_amt_gap_2,A,0.0642166162752477,0.7333333333333333,-0.0087485685848287,-0.1285925896347572,0.06413075232138965,0.08689648967067365,,KEEP,0.06187712621061578,84,"[[73.0612, 101.8446, 124.6697], [47.6702, 68.3381, 82.0609], [77.4957, 108.8247, 134.1862], [45.8949, 65.7872, 80.5092], [25.2269, 35.6794, 43.3346]]","[[0.2018, -0.1286, -0.0003], [0.0642, 0.1169, 0.0695], [0.1376, 0.1697, 0.0813], [0.0919, -0.0015, 0.0], [-0.0136, 0.0177, 0.0416]]",20260904_204305_loop_xgb_vwap_amt_gap_2
2,vwap_amt_gap_3,vwap_amt_gap_3,A,0.0068276736736816,0.5333333333333333,-0.0379176374986922,-0.0635651349013333,0.0956782667165812,0.10708956581667595,,KEEP,0.06187712621061578,85,"[[72.8547, 101.8376, 124.6703], [47.6891, 68.3214, 82.0366], [77.5168, 108.8938, 134.0897], [45.8799, 65.7994, 80.5374], [25.1993, 35.6838, 43.322]]","[[0.2826, 0.0068, -0.0005], [-0.0398, 0.0244, 0.0297], [-0.0272, -0.0636, 0.0719], [0.0327, -0.0186, -0.0351], [0.1092, -0.0124, 0.0291]]",20260904_204413_loop_xgb_vwap_amt_gap_3
3,vwap_amt_gap_4,vwap_amt_gap_4,A,-0.0112798467367669,0.4,-0.122119101192033,-0.185621455317575,0.05549457808105007,0.0915837115435969,,KEEP,0.06187712621061578,86,"[[72.9694, 101.7674, 124.6703], [47.7777, 68.3322, 82.0458], [77.5081, 108.8386, 134.0506], [45.9116, 65.8088, 80.5359], [25.2157, 35.6934, 43.3167]]","[[-0.1574, 0.0689, 0.0], [-0.1856, -0.0158, -0.0113], [0.0112, 0.0508, 0.0291], [-0.0692, -0.0142, 0.0019], [-0.0648, -0.0269, 0.0121]]",20260904_204526_loop_xgb_vwap_amt_gap_4
4,vwap_amt_gap_5,vwap_amt_gap_5,A,0.0023177276299635,0.5333333333333333,-0.1533957834052834,-0.2334863857697655,0.021628071284141015,0.08064110294520033,,KEEP,0.06187712621061578,87,"[[73.1035, 101.8139, 124.6649], [47.665, 68.285, 82.0805], [77.3848, 109.0927, 133.8802], [45.9343, 65.8072, 80.5564], [25.184, 35.678, 43.3634]]","[[-0.1839, -0.0457, 0.0044], [0.2357, 0.0691, -0.0422], [0.1591, -0.2335, 0.1271], [-0.0493, 0.0023, -0.0254], [0.1257, 0.0432, -0.1077]]",20260904_204638_loop_xgb_vwap_amt_gap_5
5,vwap_amt_gap_8,vwap_amt_gap_8,A,0.0,0.4666666666666667,-0.0993955580297489,-0.2181781769351465,0.009968164264240187,0.042472950861704994,,KEEP,0.06187712621061578,88,"[[72.9281, 101.7954, 124.6649], [47.6369, 68.3262, 82.1221], [77.386, 109.3307, 134.0482], [45.9341, 65.7627, 80.5544], [25.1883, 35.6866, 43.3483]]","[[0.2399, 0.0182, 0.0], [0.059, -0.0603, -0.0507], [-0.0015, -0.2182, -0.1254], [0.0004, 0.0677, 0.0025], [-0.0171, -0.0241, 0.0348]]",20260904_204802_loop_xgb_vwap_amt_gap_8
6,vwap_amt_gap_10,vwap_amt_gap_10,A,-0.0077714599403977,0.4,-0.1065598038838411,-0.1812268903085279,0.017270372370015163,0.04060309414619656,,KEEP,0.06187712621061578,89,"[[73.0274, 101.759, 124.6649], [47.7233, 68.3316, 82.1136], [77.2822, 108.9334, 134.086], [45.9549, 65.7748, 80.5344], [25.2039, 35.7023, 43.3413]]","[[-0.1362, 0.0358, 0.0], [-0.1812, -0.0078, 0.0103], [0.1341, 0.3634, -0.0282], [-0.0453, -0.0184, 0.0248], [-0.0622, -0.0439, 0.0161]]",20260904_204915_loop_xgb_vwap_amt_gap_10
7,ret_1,ret_1,B,0.0286879287807351,0.7333333333333333,-0.0533111116423068,-0.1607335315228608,0.037183374889548926,0.08333762701321357,,KEEP,0.06187712621061578,90,"[[72.934, 101.7137, 124.6649], [47.7586, 68.2993, 82.0062], [77.4064, 108.9574, 133.9354], [45.9417, 65.7617, 80.5045], [25.1778, 35.6998, 43.3406]]","[[0.1279, 0.0445, 0.0], [-0.0741, 0.0473, 0.1308], [-0.1607, -0.0221, 0.1123], [0.0287, 0.0199, 0.0372], [0.1038, 0.0068, 0.0018]]",20260904_205029_loop_xgb_ret_1
8,ret_2,ret_2,B,0.0,0.4666666666666667,-0.052534907087014,-0.1190692004455762,0.043111673349560675,0.07771501113429391,,KEEP,0.06187712621061578,91,"[[72.9534, 101.744, 124.6649], [47.6725, 68.3207, 81.9892], [77.3559, 109.0871, 133.9415], [45.929, 65.7578, 80.5045], [25.1906, 35.6922, 43.3637]]","[[-0.0266, -0.0298, 0.0], [0.1803, -0.0313, 0.0208], [0.0652, -0.1191, -0.0046], [0.0276, 0.006, 0.0], [-0.0512, 0.0214, -0.0534]]",20260904_205139_loop_xgb_ret_2
9,ret_3,ret_3,B,-0.0077448963966109,0.4666666666666667,-0.1248508949786986,-0.1472878215948547,0.03535928305570257,0.09279954795942125,,KEEP,0.06187712621061578,92,"[[73.0533, 101.7689, 124.6647], [47.6592, 68.2529, 82.0479], [77.3693, 109.2036, 133.8707], [45.9184, 65.7629, 80.4966], [25.2277, 35.6808, 43.3689]]","[[-0.1369, -0.0244, 0.0001], [0.0279, 0.0992, -0.0716], [-0.0173, -0.1067, 0.0529], [0.0231, -0.0077, 0.0098], [-0.1473, 0.0319, -0.012]]",20260904_205304_loop_xgb_ret_3
10,ret_4,ret_4,B,0.0046841240142758,0.6,-0.0471872205104872,-0.2217960621964554,0.04548088383077298,0.1171583570437118,,KEEP,0.06187712621061578,93,"[[73.0033, 101.7623, 124.6647], [47.6374, 68.2889, 81.9693], [77.5409, 109.1588, 133.9202], [45.9162, 65.7616, 80.5007], [25.2071, 35.6946, 43.3493]]","[[0.0684, 0.0065, 0.0], [0.0458, -0.0528, 0.0958], [-0.2218, 0.041, -0.037], [0.0047, 0.0019, -0.0051], [0.082, -0.0388, 0.0453]]",20260904_205430_loop_xgb_ret_4
