order,candidate,columns,group,MedianGain_vs_S,WinRate,P10Gain,WorstGain,MedianGain_vs_base,MedianGain_vs_E0,gain_standalone_E0,decision,eps,size_S_after,rmse_cells,gain_cells_vs_S,exp_id
1,vwap_amt_gap_2,vwap_amt_gap_2,A,-0.004533259709305,0.4666666666666667,-0.0165557642769176,-0.0268142131024662,-0.004445044991618907,0.048531846452271044,,KEEP,0.006993252662272473,85,"[[73.1018, 101.9396, 124.9453], [47.6986, 68.3518, 82.12], [77.641, 108.8855, 133.7349], [45.9069, 65.8214, 80.4973], [25.2162, 35.7156, 43.3863]]","[[-0.0046, -0.0268, 0.0051], [-0.0105, -0.0149, 0.0074], [-0.0176, 0.0019, -0.0076], [0.0065, 0.0061, 0.0139], [-0.0074, 0.014, -0.0045]]",20260904_204401_loop_xgbrf_vwap_amt_gap_2
2,vwap_amt_gap_3,vwap_amt_gap_3,A,0.0121636890757392,0.8,-0.0144894240010007,-0.0266202335456711,0.007169982304577882,0.034828217366988934,,KEEP,0.006993252662272473,86,"[[73.0951, 101.9297, 124.9786], [47.6928, 68.3377, 82.121], [77.6165, 108.9109, 133.6918], [45.9066, 65.811, 80.4887], [25.2109, 35.705, 43.3806]]","[[0.0091, 0.0097, -0.0266], [0.0122, 0.0208, -0.0012], [0.0314, -0.0234, 0.0322], [0.0007, 0.0158, 0.0106], [0.0213, 0.0297, 0.0133]]",20260904_204528_loop_xgbrf_vwap_amt_gap_3
3,vwap_amt_gap_4,vwap_amt_gap_4,A,-0.0029846572334513,0.2666666666666666,-0.0100732178686113,-0.0257266299509506,0.005568445765269381,0.053396982592646136,,KEEP,0.006993252662272473,87,"[[73.0978, 101.9328, 124.9705], [47.6935, 68.3396, 82.1215], [77.6197, 108.8802, 133.7262], [45.9048, 65.8176, 80.4955], [25.2134, 35.7065, 43.3703]]","[[-0.0036, -0.003, 0.0065], [-0.0014, -0.0028, -0.0007], [-0.004, 0.0282, -0.0257], [0.0038, -0.0101, -0.0085], [-0.0101, -0.0042, 0.0236]]",20260904_204644_loop_xgbrf_vwap_amt_gap_4
4,vwap_amt_gap_5,vwap_amt_gap_5,A,-0.0021822452125119,0.3333333333333333,-0.0120733859056265,-0.013112949656846,0.006474771854714234,0.05312159752810519,,KEEP,0.006993252662272473,88,"[[73.088, 101.9358, 124.9869], [47.6918, 68.3282, 82.1218], [77.6082, 108.8805, 133.7307], [45.9088, 65.8247, 80.4973], [25.2113, 35.7079, 43.3759]]","[[0.0134, -0.003, -0.0131], [0.0036, 0.0167, -0.0003], [0.0148, -0.0003, -0.0034], [-0.0085, -0.0108, -0.0022], [0.0083, -0.0039, -0.0129]]",20260904_204810_loop_xgbrf_vwap_amt_gap_5
5,vwap_amt_gap_8,vwap_amt_gap_8,A,0.0099592348902666,0.8,-0.0031879972305537,-0.0121733227584464,0.015187802563154662,0.05663621807636687,,KEEP,0.006993252662272473,89,"[[73.0776, 101.9242, 124.9834], [47.6865, 68.3365, 82.1136], [77.6057, 108.8677, 133.7047], [45.9088, 65.8282, 80.4947], [25.2099, 35.703, 43.3601]]","[[0.0142, 0.0114, 0.0028], [0.0111, -0.0122, 0.01], [0.0033, 0.0118, 0.0194], [-0.0, -0.0053, 0.0032], [0.0054, 0.0137, 0.0364]]",20260904_204933_loop_xgbrf_vwap_amt_gap_8
6,vwap_amt_gap_10,vwap_amt_gap_10,A,-0.0022643019708556,0.3333333333333333,-0.0181029277906707,-0.0247327371385885,0.011199631407454724,0.05800123981526406,,KEEP,0.006993252662272473,90,"[[73.0582, 101.9447, 124.9859], [47.6758, 68.3366, 82.1174], [77.6141, 108.8611, 133.7378], [45.9098, 65.818, 80.503], [25.2076, 35.7048, 43.3667]]","[[0.0266, -0.0201, -0.0019], [0.0224, -0.0002, -0.0046], [-0.0109, 0.0061, -0.0247], [-0.0023, 0.0155, -0.0103], [0.0092, -0.005, -0.0151]]",20260904_205056_loop_xgbrf_vwap_amt_gap_10
7,ret_1,ret_1,B,-0.0016835526975844,0.3333333333333333,-0.0113176204498977,-0.0177775567100857,0.01027268080444621,0.05380612073301316,,KEEP,0.006993252662272473,91,"[[73.0711, 101.9244, 124.9672], [47.6822, 68.3377, 82.1231], [77.6193, 108.8629, 133.7332], [45.9101, 65.8222, 80.4949], [25.2097, 35.7013, 43.3699]]","[[-0.0178, 0.0199, 0.015], [-0.0134, -0.0016, -0.0069], [-0.0067, -0.0017, 0.0034], [-0.0006, -0.0063, 0.0101], [-0.0082, 0.0099, -0.0073]]",20260904_205244_loop_xgbrf_ret_1
8,ret_2,ret_2,B,-0.0024696394226753,0.4666666666666667,-0.0092924584204023,-0.0139033309884073,0.01332647088170269,0.054061418547757256,,KEEP,0.006993252662272473,92,"[[73.0647, 101.9296, 124.9786], [47.6835, 68.336, 82.1052], [77.6212, 108.8676, 133.7178], [45.9123, 65.8166, 80.4906], [25.212, 35.7063, 43.3649]]","[[0.0088, -0.0051, -0.0092], [-0.0028, 0.0026, 0.0217], [-0.0025, -0.0043, 0.0115], [-0.0048, 0.0085, 0.0052], [-0.0094, -0.0139, 0.0113]]",20260904_205447_loop_xgbrf_ret_2
9,ret_3,ret_3,B,0.0060017473451301,0.8,-0.010527653903547,-0.0280143664612708,0.01789725639744777,0.05304366856752063,,KEEP,0.006993252662272473,93,"[[73.0612, 101.9203, 124.9776], [47.6789, 68.3294, 82.1113], [77.6179, 108.858, 133.716], [45.9095, 65.835, 80.5008], [25.2088, 35.7004, 43.3591]]","[[0.0047, 0.0092, 0.0008], [0.0097, 0.0096, -0.0074], [0.0043, 0.0088, 0.0013], [0.006, -0.028, -0.0126], [0.013, 0.0165, 0.0135]]",20260904_205624_loop_xgbrf_ret_3
10,ret_4,ret_4,B,-0.0013682384310653,0.4,-0.0136235061906209,-0.0178936192052558,0.01967659206658645,0.057348104825472035,,KEEP,0.006993252662272473,94,"[[73.0743, 101.9384, 124.9819], [47.6795, 68.3302, 82.1025], [77.612, 108.856, 133.7018], [45.9122, 65.8202, 80.4917], [25.2106, 35.702, 43.3609]]","[[-0.0179, -0.0178, -0.0034], [-0.0014, -0.0012, 0.0108], [0.0077, 0.0018, 0.0106], [-0.0059, 0.0225, 0.0113], [-0.0074, -0.0046, -0.0043]]",20260904_205754_loop_xgbrf_ret_4
