exp_id,timestamp,step,model,dataset_label,config_hash,seed,colset,n_cols,rounds,base,MedianGain,WinRate,P10Gain,WorstGain,rmse_cells,mae_cells,e0_cells,gain_cells,train_device,decision,note
20260904_204127_calibrate_cat_base,2026-09-04T20:41:27,calibrate,cat,btc_1min_2y_2024-09-03_2026-09-03,c026e25696f8,8587,S0,77,"{""fold1_2025-01-07"": [431, 258, 261], ""fold2_2025-05-30"": [281, 523, 343], ""fold3_2025-10-19"": [288, 215, 54], ""fold4_2026-03-11"": [151, 165, 150], ""fold5_2026-08-01"": [83, 86, 84]}",E0,0.0831,0.6,-0.1435,-0.4198,"[[73.127, 102.003, 125.196], [47.674, 68.257, 82.074], [77.625, 109.001, 133.696], [45.952, 65.815, 80.483], [25.225, 35.697, 43.355]]","[[51.157, 72.694, 90.775], [31.878, 46.502, 57.16], [50.71, 74.398, 92.642], [31.429, 44.654, 54.613], [15.952, 23.486, 28.896]]","[[73.089, 101.799, 124.673], [47.703, 68.355, 82.15], [77.712, 108.938, 133.665], [45.935, 65.87, 80.567], [25.257, 35.74, 43.414]]","[[-0.052, -0.201, -0.4198], [0.0624, 0.1442, 0.0915], [0.1121, -0.0574, -0.0235], [-0.0364, 0.0831, 0.1043], [0.1251, 0.1205, 0.136]]",GPU,eps=0.0389,S0: locked_b0=72 locked_ext=5
20260904_204148_calibrate_xgb_base,2026-09-04T20:41:48,calibrate,xgb,btc_1min_2y_2024-09-03_2026-09-03,c026e25696f8,8587,S0,83,"{""fold1_2025-01-07"": [105, 19, 1], ""fold2_2025-05-30"": [127, 90, 112], ""fold3_2025-10-19"": [67, 113, 49], ""fold4_2026-03-11"": [22, 22, 7], ""fold5_2026-08-01"": [80, 30, 34]}",E0,0.0385,0.6667,-0.1353,-0.4716,"[[73.209, 101.714, 124.669], [47.701, 68.418, 82.118], [77.602, 109.01, 134.295], [45.937, 65.786, 80.509], [25.223, 35.686, 43.353]]","[[51.239, 72.549, 90.472], [31.895, 46.585, 57.21], [50.78, 74.403, 92.91], [31.475, 44.744, 54.823], [15.94, 23.502, 28.899]]","[[73.089, 101.799, 124.673], [47.703, 68.355, 82.15], [77.712, 108.938, 133.665], [45.935, 65.87, 80.567], [25.257, 35.74, 43.414]]","[[-0.1642, 0.0833, 0.003], [0.0056, -0.0919, 0.0385], [0.1411, -0.0655, -0.4716], [-0.005, 0.1272, 0.0719], [0.1327, 0.1522, 0.1406]]",GPU,eps=0.0619,S0: locked_b0=72 locked_ext=11
20260904_204200_calibrate_lgbm_base,2026-09-04T20:42:00,calibrate,lgbm,btc_1min_2y_2024-09-03_2026-09-03,c026e25696f8,8587,S0,86,"{""fold1_2025-01-07"": [159, 108, 318], ""fold2_2025-05-30"": [186, 321, 172], ""fold3_2025-10-19"": [552, 109, 206], ""fold4_2026-03-11"": [264, 129, 74], ""fold5_2026-08-01"": [38, 38, 95]}",E0,-0.043,0.4,-0.3472,-0.5609,"[[73.12, 101.94, 125.372], [47.684, 68.402, 82.158], [77.878, 109.036, 134.248], [45.979, 65.84, 80.451], [25.228, 35.694, 43.335]]","[[51.133, 72.639, 90.859], [31.868, 46.564, 57.17], [50.845, 74.396, 92.86], [31.44, 44.699, 54.664], [15.958, 23.501, 28.88]]","[[73.089, 101.799, 124.673], [47.703, 68.355, 82.15], [77.712, 108.938, 133.665], [45.935, 65.87, 80.567], [25.257, 35.74, 43.414]]","[[-0.043, -0.1385, -0.5609], [0.0407, -0.0683, -0.0106], [-0.2131, -0.0899, -0.4365], [-0.0969, 0.0456, 0.1447], [0.1139, 0.1287, 0.1814]]",GPU,eps=0.0266,S0: locked_b0=72 locked_ext=14
20260904_204233_calibrate_xgbrf_base,2026-09-04T20:42:33,calibrate,xgbrf,btc_1min_2y_2024-09-03_2026-09-03,c026e25696f8,8587,S0,84,null,E0,0.0466,0.7333,-0.0849,-0.2235,"[[73.098, 101.912, 124.952], [47.694, 68.342, 82.126], [77.627, 108.888, 133.725], [45.91, 65.825, 80.509], [25.214, 35.721, 43.384]]","[[51.101, 72.595, 90.605], [31.911, 46.544, 57.186], [50.74, 74.329, 92.691], [31.49, 44.785, 54.81], [16.025, 23.561, 28.989]]","[[73.089, 101.799, 124.673], [47.703, 68.355, 82.15], [77.712, 108.938, 133.665], [45.935, 65.87, 80.567], [25.257, 35.74, 43.414]]","[[-0.013, -0.1118, -0.2235], [0.0206, 0.0199, 0.0287], [0.1092, 0.0466, -0.0447], [0.0543, 0.0677, 0.0727], [0.1685, 0.0545, 0.0675]]",GPU,eps=0.0070,S0: locked_b0=72 locked_ext=12
20260904_204237_loop_cat_vwap_amt_gap_2,2026-09-04T20:42:37,loop,cat,btc_1min_2y_2024-09-03_2026-09-03,c026e25696f8,8587,vwap_amt_gap_2,78,"{""fold1_2025-01-07"": [431, 258, 261], ""fold2_2025-05-30"": [281, 523, 343], ""fold3_2025-10-19"": [288, 215, 54], ""fold4_2026-03-11"": [151, 165, 150], ""fold5_2026-08-01"": [83, 86, 84]}",S_m,-0.0005801663221838282,0.4666666666666667,-0.012885477207493778,-0.05619667141980589,"[[73.1367, 102.0605, 125.2113], [47.6791, 68.2508, 82.0656], [77.6255, 108.9744, 133.7052], [45.9514, 65.8058, 80.493], [25.2257, 35.6955, 43.3524]]","[[51.1628, 72.7209, 90.7847], [31.8789, 46.5088, 57.174], [50.7421, 74.3787, 92.6449], [31.4298, 44.6508, 54.6237], [15.9471, 23.4828, 28.8939]]","[[73.0889, 101.7985, 124.6731], [47.7035, 68.3552, 82.1496], [77.7122, 108.9384, 133.6649], [45.9348, 65.8699, 80.5671], [25.257, 35.7401, 43.4137]]","[[-0.0133, -0.0562, -0.0119], [-0.0113, 0.0086, 0.0108], [-0.0006, 0.0243, -0.0066], [0.0003, 0.0143, -0.0122], [-0.0013, 0.0043, 0.0052]]",GPU,KEEP,
20260904_204305_loop_xgb_vwap_amt_gap_2,2026-09-04T20:43:05,loop,xgb,btc_1min_2y_2024-09-03_2026-09-03,c026e25696f8,8587,vwap_amt_gap_2,84,"{""fold1_2025-01-07"": [105, 19, 1], ""fold2_2025-05-30"": [127, 90, 112], ""fold3_2025-10-19"": [67, 113, 49], ""fold4_2026-03-11"": [22, 22, 7], ""fold5_2026-08-01"": [80, 30, 34]}",S_m,0.06421661627524777,0.7333333333333333,-0.008748568584828751,-0.12859258963475728,"[[73.0612, 101.8446, 124.6697], [47.6702, 68.3381, 82.0609], [77.4957, 108.8247, 134.1862], [45.8949, 65.7872, 80.5092], [25.2269, 35.6794, 43.3346]]","[[51.1517, 72.5988, 90.4718], [31.8703, 46.5531, 57.207], [50.7488, 74.3655, 92.8462], [31.4562, 44.739, 54.8228], [15.9479, 23.4961, 28.8912]]","[[73.0889, 101.7985, 124.6731], [47.7035, 68.3552, 82.1496], [77.7122, 108.9384, 133.6649], [45.9348, 65.8699, 80.5671], [25.257, 35.7401, 43.4137]]","[[0.2018, -0.1286, -0.0003], [0.0642, 0.1169, 0.0695], [0.1376, 0.1697, 0.0813], [0.0919, -0.0015, 0.0], [-0.0136, 0.0177, 0.0416]]",GPU,KEEP,
20260904_204318_loop_lgbm_vwap_amt_gap_2,2026-09-04T20:43:18,loop,lgbm,btc_1min_2y_2024-09-03_2026-09-03,c026e25696f8,8587,vwap_amt_gap_2,87,"{""fold1_2025-01-07"": [159, 108, 318], ""fold2_2025-05-30"": [186, 321, 172], ""fold3_2025-10-19"": [552, 109, 206], ""fold4_2026-03-11"": [264, 129, 74], ""fold5_2026-08-01"": [38, 38, 95]}",S_m,0.004333792076705034,0.5333333333333333,-0.043384537483839296,-0.06097501578847808,"[[73.1172, 101.9341, 125.4489], [47.7117, 68.3405, 82.1282], [77.8938, 109.0019, 134.1214], [45.9816, 65.8426, 80.4677], [25.2256, 35.6945, 43.3135]]","[[51.1348, 72.6074, 90.8588], [31.8676, 46.5265, 57.1511], [50.8977, 74.3795, 92.8269], [31.4244, 44.6912, 54.6549], [15.9616, 23.5016, 28.876]]","[[73.0889, 101.7985, 124.6731], [47.7035, 68.3552, 82.1496], [77.7122, 108.9384, 133.6649], [45.9348, 65.8699, 80.5671], [25.257, 35.7401, 43.4137]]","[[0.0043, 0.0053, -0.061], [-0.0581, 0.0897, 0.0367], [-0.0205, 0.0316, 0.0947], [-0.0048, -0.0041, -0.0213], [0.0101, -0.001, 0.0495]]",GPU,KEEP,
20260904_204341_loop_cat_vwap_amt_gap_3,2026-09-04T20:43:41,loop,cat,btc_1min_2y_2024-09-03_2026-09-03,c026e25696f8,8587,vwap_amt_gap_3,79,"{""fold1_2025-01-07"": [431, 258, 261], ""fold2_2025-05-30"": [281, 523, 343], ""fold3_2025-10-19"": [288, 215, 54], ""fold4_2026-03-11"": [151, 165, 150], ""fold5_2026-08-01"": [83, 86, 84]}",S_m,0.009781962604460404,0.6666666666666666,-0.011337911405617795,-0.04233636790573758,"[[73.1676, 102.051, 125.1385], [47.6614, 68.2422, 82.0644], [77.6051, 108.9637, 133.7216], [45.9539, 65.7969, 80.501], [25.2203, 35.6982, 43.3434]]","[[51.175, 72.7199, 90.7764], [31.8652, 46.508, 57.1734], [50.7236, 74.3757, 92.6572], [31.4336, 44.6478, 54.6099], [15.9471, 23.4855, 28.8921]]","[[73.0889, 101.7985, 124.6731], [47.7035, 68.3552, 82.1496], [77.7122, 108.9384, 133.6649], [45.9348, 65.8699, 80.5671], [25.257, 35.7401, 43.4137]]","[[-0.0423, 0.0093, 0.0581], [0.0372, 0.0127, 0.0014], [0.0262, 0.0098, -0.0122], [-0.0054, 0.0135, -0.01], [0.0214, -0.0074, 0.0206]]",GPU,KEEP,
20260904_204401_loop_xgbrf_vwap_amt_gap_2,2026-09-04T20:44:01,loop,xgbrf,btc_1min_2y_2024-09-03_2026-09-03,c026e25696f8,8587,vwap_amt_gap_2,85,null,S_m,-0.004533259709305071,0.4666666666666667,-0.01655576427691763,-0.026814213102466233,"[[73.1018, 101.9396, 124.9453], [47.6986, 68.3518, 82.12], [77.641, 108.8855, 133.7349], [45.9069, 65.8214, 80.4973], [25.2162, 35.7156, 43.3863]]","[[51.0964, 72.6078, 90.6084], [31.905, 46.55, 57.1803], [50.7426, 74.3274, 92.6869], [31.4885, 44.7784, 54.7975], [16.0263, 23.5606, 28.9887]]","[[73.0889, 101.7985, 124.6731], [47.7035, 68.3552, 82.1496], [77.7122, 108.9384, 133.6649], [45.9348, 65.8699, 80.5671], [25.257, 35.7401, 43.4137]]","[[-0.0046, -0.0268, 0.0051], [-0.0105, -0.0149, 0.0074], [-0.0176, 0.0019, -0.0076], [0.0065, 0.0061, 0.0139], [-0.0074, 0.014, -0.0045]]",GPU,KEEP,
20260904_204413_loop_xgb_vwap_amt_gap_3,2026-09-04T20:44:13,loop,xgb,btc_1min_2y_2024-09-03_2026-09-03,c026e25696f8,8587,vwap_amt_gap_3,85,"{""fold1_2025-01-07"": [105, 19, 1], ""fold2_2025-05-30"": [127, 90, 112], ""fold3_2025-10-19"": [67, 113, 49], ""fold4_2026-03-11"": [22, 22, 7], ""fold5_2026-08-01"": [80, 30, 34]}",S_m,0.006827673673681645,0.5333333333333333,-0.03791763749869226,-0.06356513490133331,"[[72.8547, 101.8376, 124.6703], [47.6891, 68.3214, 82.0366], [77.5168, 108.8938, 134.0897], [45.8799, 65.7994, 80.5374], [25.1993, 35.6838, 43.322]]","[[51.0065, 72.5959, 90.4733], [31.884, 46.5595, 57.1819], [50.7032, 74.5186, 92.8797], [31.4541, 44.7481, 54.8321], [15.9476, 23.4959, 28.8913]]","[[73.0889, 101.7985, 124.6731], [47.7035, 68.3552, 82.1496], [77.7122, 108.9384, 133.6649], [45.9348, 65.8699, 80.5671], [25.257, 35.7401, 43.4137]]","[[0.2826, 0.0068, -0.0005], [-0.0398, 0.0244, 0.0297], [-0.0272, -0.0636, 0.0719], [0.0327, -0.0186, -0.0351], [0.1092, -0.0124, 0.0291]]",GPU,KEEP,
