# HF tag search (re-run 2026-09-10T19:14:38Z); same query as round 3 (~18:54 UTC)
3ltrashpanda/crypto-market-datasets | 2026-07-02 | gated False | crypto,binance
AdamAtractor/24_crypto_orderbook_30lvl | 2026-09-02 | gated False | crypto,orderbook,level-2
AdamAtractor/Crypto-L2-Orderbook-Depth-24-Instruments | 2026-04-06 | gated False | crypto,orderbook,level-2
AdamAtractor/btc-l2-orderbook | 2026-04-06 | gated False | crypto,orderbook,level-2
Alezanello/polymarket-arena-capture | 2026-06-29 | gated False | crypto,order-book
Barthel/variouscryptodata | 2026-09-10 | gated False | order-book,crypto
BrockMisner/polymarket-btc-updown | 2026-04-10 | gated False | crypto,orderbook
Coyevans/mlb-polymarket-kalshi-matched-book-sample | 2026-07-09 | gated False | order-book
Coyevans/polymarket-kalshi-scoresync-orderbook-sample | 2026-07-06 | gated False | order-book
Dennishk/btcusdt_perp_metrics_5m_09_2020_to_04_2026 | 2026-08-31 | gated False | crypto,binance,futures
DineshKumar8399/polymarket-orderbook-dataset | 2026-09-10 | gated False | order-book
Dummy9898/gpy-trade-dataset | 2026-07-04 | gated False | cryptocurrency,binance
Dummy9898/gpy-trade-dataset-mentah | 2026-07-04 | gated False | cryptocurrency,binance
Goooddy/crypto-lob-stream | 2026-09-01 | gated False | cryptocurrency,order-book
Houroux/polymarket-l2-history | 2026-09-10 | gated False | order-book
Joseph3222/polymarket-orderbook | 2026-09-02 | gated False | orderbook,limit-order-book
Juan4561/pmq-tier1-l2-nba-moneyline | 2026-05-07 | gated False | order-book
KEDevO/crypto-market-datasets | 2026-06-23 | gated False | crypto,binance
Lazy108/binance-polymarket-orderflow | 2026-08-29 | gated manual | orderbook,binance
MaximumLeverage/crypto-lob-stream | 2026-08-13 | gated False | cryptocurrency,order-book
Mindbyte-89/btcusdt-microbar-v2 | 2026-04-30 | gated False | cryptocurrency,binance,futures
Mindbyte-89/btcusdt_perp_bookticker_features_1m_05_2023_to_03_2024 | 2026-04-30 | gated False | crypto,binance,futures,order-book
Mindbyte-89/btcusdt_perp_metrics_5m_09_2020_to_04_2026 | 2026-04-30 | gated False | crypto,binance,futures
Mindbyte-89/polymarket-btc-updown | 2026-04-30 | gated False | crypto,orderbook
Mindbyte-89/polymarket-btc-updown2 | 2026-04-30 | gated False | crypto,orderbook
Mindbyte-89/xrpusdt_spot_1m_05_2021_to_03_2026 | 2026-04-27 | gated False | cryptocurrency,binance
Pltrr/btc15m-market-microstructure | 2026-08-30 | gated False | binance,order-book
PolyData/polymarket_trade_capture_5Mar2026 | 2026-04-06 | gated False | orderbook
ResearchRL/diffquant-data | 2026-04-15 | gated False | cryptocurrency,binance,futures
Rrr5544/klines-binance | 2026-09-03 | gated False | crypto,cryptocurrency,binance,futures
SavantCapital/binance-futures-ohlcv-2018-2026 | 2026-02-20 | gated False | cryptocurrency,binance,futures
THULab/solusdt_enhanced_180 | 2026-08-21 | gated False | crypto,binance
Torch-Trade/adausdt_spot_1m_05_2021_to_03_2026 | 2026-03-11 | gated False | cryptocurrency,binance
Torch-Trade/bnbusdt_perp_1m_10_2021_to_02_2026 | 2026-03-02 | gated False | cryptocurrency,perpetual-futures,binance
Torch-Trade/bnbusdt_perp_basis_1m_10_2021_to_02_2026 | 2026-03-02 | gated False | cryptocurrency,binance
Torch-Trade/bnbusdt_perp_funding_8h_10_2021_to_02_2026 | 2026-03-02 | gated False | cryptocurrency,binance
Torch-Trade/bnbusdt_spot_1m_10_2021_to_03_2026 | 2026-03-02 | gated False | cryptocurrency,binance
Torch-Trade/btcusdt_perp_1m_05_2021_to_02_2026 | 2026-03-02 | gated False | cryptocurrency,perpetual-futures,binance
Torch-Trade/btcusdt_perp_basis_1m_05_2021_to_02_2026 | 2026-03-02 | gated False | cryptocurrency,binance
Torch-Trade/btcusdt_perp_bookticker_features_1m_05_2023_to_03_2024 | 2026-04-24 | gated False | crypto,binance,futures,order-book
Torch-Trade/btcusdt_perp_funding_8h_05_2021_to_02_2026 | 2026-03-02 | gated False | cryptocurrency,binance
Torch-Trade/btcusdt_perp_metrics_5m_09_2020_to_04_2026 | 2026-04-24 | gated False | crypto,binance,futures
Torch-Trade/btcusdt_spot_1m_03_2023_to_03_2026 | 2026-03-02 | gated False | cryptocurrency,binance
Torch-Trade/btcusdt_spot_1m_05_2021_to_03_2026 | 2026-03-02 | gated False | cryptocurrency,binance
Torch-Trade/ethusdt_perp_1m_05_2021_to_02_2026 | 2026-03-02 | gated False | cryptocurrency,perpetual-futures,binance
Torch-Trade/ethusdt_perp_basis_1m_05_2021_to_02_2026 | 2026-03-02 | gated False | cryptocurrency,binance
Torch-Trade/ethusdt_perp_funding_8h_05_2021_to_02_2026 | 2026-03-02 | gated False | cryptocurrency,binance
Torch-Trade/ethusdt_spot_1m_05_2021_to_03_2026 | 2026-03-02 | gated False | cryptocurrency,binance
Torch-Trade/solusdt_spot_1m_05_2021_to_03_2026 | 2026-03-11 | gated False | cryptocurrency,binance
