run,t0,t1,msgs,f0,l1,hours,anchored
1.0,1775801471414,1775801482214,109,91748689176,91748694935,0.003,True
2.0,1775801486714,1775801506514,199,91748695629,91748708991,0.0055,True
3.0,1775801553614,1775808670714,71172,91748720158,91752563825,1.9769722222222221,True
4.0,1775808707114,1775812319514,36125,91752589021,91754341415,1.0034444444444444,True
5.0,1775812359214,1775820147914,77888,91754353571,91758415101,2.163527777777778,True
6.0,1775820217614,1775820451114,2336,91758459936,91758586068,0.0648611111111111,True
7.0,1775820524815,1775820637914,1132,91758613180,91758676928,0.03141638888888889,True
8.0,1775820693014,1775820745814,529,91758711814,91758745984,0.014666666666666666,True
9.0,1775820814914,1775821141814,3270,91758784451,91758980614,0.09080555555555556,True
10.0,1775821189039,1775821263725,748,91759011364,91759049792,0.02074611111111111,True
11.0,1775821360514,1775821568514,2081,91759088751,91759209597,0.057777777777777775,True
12.0,1775821637314,1775821727814,906,91759262737,91759330460,0.025138888888888888,True
13.0,1775821812814,1775822021814,2091,91759366679,91759458552,0.058055555555555555,True
14.0,1775822093114,1775822178414,854,91759486748,91759518844,0.023694444444444445,True
15.0,1775822275614,1775822585014,3095,91759554155,91759722847,0.08594444444444445,True
16.0,1775822657115,1775822770014,1130,91759754422,91759811105,0.03136083333333333,True
17.0,1775822841815,1775823036914,1952,91759852267,91759938253,0.05419416666666667,True
18.0,1775823112914,1775823215314,1025,91759967836,91760015513,0.028444444444444446,True
19.0,1775823303614,1775823524114,2206,91760043654,91760130452,0.06125,True
20.0,1775823597514,1775823686415,890,91760176649,91760231321,0.024694722222222222,True
21.0,1775823734814,1775823817814,831,91760271514,91760344268,0.023055555555555555,True
22.0,1775823897114,1775823989814,928,91760436116,91760521405,0.02575,True
23.0,1775824069514,1775824188114,1187,91760589165,91760699593,0.03294444444444444,True
24.0,1775824241314,1775824331514,903,91760903759,91761142866,0.025055555555555557,True
25.0,1775824394014,1775824479614,857,91761227557,91761314319,0.023777777777777776,True
26.0,1775824558414,1775824675014,1167,91761400336,91761489847,0.03238888888888889,True
27.0,1775824746514,1775824844414,980,91761569172,91761675706,0.027194444444444445,True
28.0,1775824933514,1775825041516,1081,91761797518,91761885225,0.030000555555555555,True
29.0,1775825106614,1775825187014,805,91761921259,91761964246,0.022333333333333334,True
30.0,1775825291114,1775825389314,983,91762051053,91762107131,0.02727777777777778,True
31.0,1775825489714,1775825613414,1238,91762182634,91762251685,0.03436111111111111,True
32.0,1775825687214,1775825908315,2212,91762291230,91762406286,0.06141694444444445,True
33.0,1775825972614,1775826028514,560,91762431917,91762467827,0.015527777777777777,True
34.0,1775826124314,1775826254615,1304,91762536719,91762614375,0.036194722222222225,True
35.0,1775826311314,1775826393214,820,91762636289,91762691643,0.02275,True
36.0,1775826461814,1775826571114,1094,91762728002,91762785745,0.03036111111111111,True
37.0,1775826644014,1775826733015,891,91762823821,91762871917,0.0247225,True
38.0,1775826801814,1775826888414,867,91762901548,91762941074,0.024055555555555556,True
39.0,1775827016514,1775827142914,1265,91763018707,91763086443,0.035111111111111114,True
40.0,1775827198314,1775827564914,3667,91763123913,91763345613,0.10183333333333333,True
41.0,1775827691614,1775827801114,1096,91763421125,91763475918,0.030416666666666668,True
42.0,1775827882114,1775827990514,1085,91763656129,91763838211,0.030111111111111113,True
43.0,1775828064614,1775828176914,1124,91763943079,91764133864,0.031194444444444445,True
