file,n,bad_json,bad_top10,first,last,med_ms,gt6s,gt10s,max_gap_s,ts_nonmono,nonce_nonincr,bridge_s,levels,first_utc,last_utc
BTCUSDT_10-01.json,68823,1,0,1696118402706,1696204799167,1236.0,0,0,5.455,1,1,,"[(100, 99), (100, 100), (100, 101)]",2023-10-01 00:00:02.706,2023-10-01 23:59:59.167
BTCUSDT_10-02.json,69011,0,0,1696204800401,1696291199498,1236.0,0,0,3.811,0,0,1.234,"[(100, 100)]",2023-10-02 00:00:00.401,2023-10-02 23:59:59.498
BTCUSDT_10-03.json,68848,0,0,1696291200736,1696377599539,1236.0,1,0,6.221,0,0,1.238,"[(100, 100)]",2023-10-03 00:00:00.736,2023-10-03 23:59:59.539
BTCUSDT_10-04.json,68968,0,0,1696377600781,1696463999772,1235.0,0,0,5.118,0,0,1.242,"[(100, 100)]",2023-10-04 00:00:00.781,2023-10-04 23:59:59.772
BTCUSDT_10-05.json,68997,0,0,1696464001457,1696550399852,1234.0,0,0,5.386,0,0,1.685,"[(100, 100)]",2023-10-05 00:00:01.457,2023-10-05 23:59:59.852
BTCUSDT_10-06.json,69048,0,0,1696550401095,1696636799525,1234.0,0,0,3.605,0,0,1.243,"[(100, 100)]",2023-10-06 00:00:01.095,2023-10-06 23:59:59.525
BTCUSDT_10-07.json,69094,0,0,1696636800763,1696723199872,1234.0,0,0,3.124,0,0,1.238,"[(100, 100)]",2023-10-07 00:00:00.763,2023-10-07 23:59:59.872
BTCUSDT_10-08.json,69000,0,0,1696723201106,1696809599565,1235.0,0,0,3.429,0,0,1.234,"[(100, 100)]",2023-10-08 00:00:01.106,2023-10-08 23:59:59.565
BTCUSDT_10-09.json,67322,0,0,1696809600800,1696895999147,1265.0,0,0,4.013,0,0,1.235,"[(100, 100)]",2023-10-09 00:00:00.800,2023-10-09 23:59:59.147
BTCUSDT_10-10.json,67103,0,0,1696896000416,1696982400019,1267.0,0,0,3.692,0,0,1.269,"[(100, 100)]",2023-10-10 00:00:00.416,2023-10-11 00:00:00.019
BTCUSDT_10-11.json,66926,0,0,1696982401288,1697068800068,1267.0,0,0,5.743,0,0,1.269,"[(100, 100)]",2023-10-11 00:00:01.288,2023-10-12 00:00:00.068
BTCUSDT_10-12.json,68632,0,0,1697068801338,1697155199558,1237.0,0,0,4.716,0,0,1.27,"[(100, 100)]",2023-10-12 00:00:01.338,2023-10-12 23:59:59.558
BTCUSDT_10-13.json,67609,0,0,1697155200796,1697241599817,1265.0,0,0,5.09,0,0,1.238,"[(100, 100)]",2023-10-13 00:00:00.796,2023-10-13 23:59:59.817
BTCUSDT_10-14.json,67822,0,0,1697241601084,1697327999372,1242.0,1,0,6.687,0,0,1.267,"[(100, 100)]",2023-10-14 00:00:01.084,2023-10-14 23:59:59.372
BTCUSDT_10-15.json,68693,0,0,1697328000606,1697414399136,1237.0,0,0,3.938,0,0,1.234,"[(100, 100)]",2023-10-15 00:00:00.606,2023-10-15 23:59:59.136
BTCUSDT_10-16.json,68690,0,0,1697414400377,1697500799345,1236.0,0,0,5.04,0,0,1.241,"[(100, 100)]",2023-10-16 00:00:00.377,2023-10-16 23:59:59.345
BTCUSDT_10-17.json,69222,0,0,1697500800572,1697587199966,1228.0,0,0,3.628,0,0,1.227,"[(100, 100)]",2023-10-17 00:00:00.572,2023-10-17 23:59:59.966
BTCUSDT_10-18.json,68987,0,0,1697587201193,1697673599875,1230.0,0,0,3.435,0,0,1.227,"[(100, 100)]",2023-10-18 00:00:01.193,2023-10-18 23:59:59.875
BTCUSDT_10-19.json,68987,0,0,1697673601102,1697760000091,1231.0,1,0,6.26,0,0,1.227,"[(100, 100)]",2023-10-19 00:00:01.102,2023-10-20 00:00:00.091
BTCUSDT_10-20.json,68645,0,0,1697760001317,1697846399655,1238.0,0,0,4.367,0,0,1.226,"[(100, 100)]",2023-10-20 00:00:01.317,2023-10-20 23:59:59.655
BTCUSDT_10-21.json,68732,0,0,1697846400894,1697932799893,1237.0,0,0,3.708,0,0,1.239,"[(100, 100)]",2023-10-21 00:00:00.894,2023-10-21 23:59:59.893
