                  file      n  bad_json  bad_top10               first_utc                last_utc  med_ms  gt6s  gt10s  max_gap_s  ts_nonmono  nonce_nonincr  bridge_s                               levels
0   BTCUSDT_10-01.json  68823         1          0 2023-10-01 00:00:02.706 2023-10-01 23:59:59.167  1236.0     0      0      5.455           1              1       NaN  [(100, 99), (100, 100), (100, 101)]
1   BTCUSDT_10-02.json  69011         0          0 2023-10-02 00:00:00.401 2023-10-02 23:59:59.498  1236.0     0      0      3.811           0              0     1.234                         [(100, 100)]
2   BTCUSDT_10-03.json  68848         0          0 2023-10-03 00:00:00.736 2023-10-03 23:59:59.539  1236.0     1      0      6.221           0              0     1.238                         [(100, 100)]
3   BTCUSDT_10-04.json  68968         0          0 2023-10-04 00:00:00.781 2023-10-04 23:59:59.772  1235.0     0      0      5.118           0              0     1.242                         [(100, 100)]
4   BTCUSDT_10-05.json  68997         0          0 2023-10-05 00:00:01.457 2023-10-05 23:59:59.852  1234.0     0      0      5.386           0              0     1.685                         [(100, 100)]
5   BTCUSDT_10-06.json  69048         0          0 2023-10-06 00:00:01.095 2023-10-06 23:59:59.525  1234.0     0      0      3.605           0              0     1.243                         [(100, 100)]
6   BTCUSDT_10-07.json  69094         0          0 2023-10-07 00:00:00.763 2023-10-07 23:59:59.872  1234.0     0      0      3.124           0              0     1.238                         [(100, 100)]
7   BTCUSDT_10-08.json  69000         0          0 2023-10-08 00:00:01.106 2023-10-08 23:59:59.565  1235.0     0      0      3.429           0              0     1.234                         [(100, 100)]
8   BTCUSDT_10-09.json  67322         0          0 2023-10-09 00:00:00.800 2023-10-09 23:59:59.147  1265.0     0      0      4.013           0              0     1.235                         [(100, 100)]
9   BTCUSDT_10-10.json  67103         0          0 2023-10-10 00:00:00.416 2023-10-11 00:00:00.019  1267.0     0      0      3.692           0              0     1.269                         [(100, 100)]
10  BTCUSDT_10-11.json  66926         0          0 2023-10-11 00:00:01.288 2023-10-12 00:00:00.068  1267.0     0      0      5.743           0              0     1.269                         [(100, 100)]
11  BTCUSDT_10-12.json  68632         0          0 2023-10-12 00:00:01.338 2023-10-12 23:59:59.558  1237.0     0      0      4.716           0              0     1.270                         [(100, 100)]
12  BTCUSDT_10-13.json  67609         0          0 2023-10-13 00:00:00.796 2023-10-13 23:59:59.817  1265.0     0      0      5.090           0              0     1.238                         [(100, 100)]
13  BTCUSDT_10-14.json  67822         0          0 2023-10-14 00:00:01.084 2023-10-14 23:59:59.372  1242.0     1      0      6.687           0              0     1.267                         [(100, 100)]
14  BTCUSDT_10-15.json  68693         0          0 2023-10-15 00:00:00.606 2023-10-15 23:59:59.136  1237.0     0      0      3.938           0              0     1.234                         [(100, 100)]
15  BTCUSDT_10-16.json  68690         0          0 2023-10-16 00:00:00.377 2023-10-16 23:59:59.345  1236.0     0      0      5.040           0              0     1.241                         [(100, 100)]
16  BTCUSDT_10-17.json  69222         0          0 2023-10-17 00:00:00.572 2023-10-17 23:59:59.966  1228.0     0      0      3.628           0              0     1.227                         [(100, 100)]
17  BTCUSDT_10-18.json  68987         0          0 2023-10-18 00:00:01.193 2023-10-18 23:59:59.875  1230.0     0      0      3.435           0              0     1.227                         [(100, 100)]
18  BTCUSDT_10-19.json  68987         0          0 2023-10-19 00:00:01.102 2023-10-20 00:00:00.091  1231.0     1      0      6.260           0              0     1.227                         [(100, 100)]
19  BTCUSDT_10-20.json  68645         0          0 2023-10-20 00:00:01.317 2023-10-20 23:59:59.655  1238.0     0      0      4.367           0              0     1.226                         [(100, 100)]
20  BTCUSDT_10-21.json  68732         0          0 2023-10-21 00:00:00.894 2023-10-21 23:59:59.893  1237.0     0      0      3.708           0              0     1.239                         [(100, 100)]
TOTAL snapshots 1439159 | bad_json 1 | bad in top10 0 | gaps>10s 0 | max gap s 6.687 | max bridge s 1.685
