start_position,origin_id,n_predictions,single_origin_sample,duration_ms
0,142305,1,1,12.441066966857761
1,142306,6,0,2.067086985334754
7,142312,1,1,1.891842985060066
8,142313,6,0,1.9475260050967336
14,142319,1,1,1.8815349903889
15,142320,7,0,1.9694060320034623
22,142327,1,1,1.86487304745242
23,142328,6,0,1.9119110074825585
29,142334,1,1,1.8619580077938735
30,142335,7,0,1.9293230143375695
37,142342,1,1,1.8703740206547081
38,142343,6,0,1.9274289952591062
44,142349,1,1,1.8572189728729427
45,142350,7,0,1.9382290192879736
52,142357,1,1,1.8737800419330597
53,142358,6,0,1.9320670398883522
59,142364,1,1,1.8597040325403214
60,142365,7,0,1.9277899991720915
67,142372,1,1,1.8598340102471411
68,142373,6,0,1.8947480130009353
74,142379,1,1,1.848311978392303
75,142380,6,0,1.9105380051769316
81,142386,1,1,1.861126977019012
82,142387,7,0,1.9347930210642517
89,142394,1,1,1.8683600355871022
90,142395,6,0,1.9354029791429639
96,142401,1,1,1.863531011622399
97,142402,7,0,1.9320279825478792
104,142409,1,1,1.8778970115818083
105,142410,6,0,1.931715989485383
111,142416,1,1,1.8814739887602627
112,142417,7,0,1.9428670057095587
119,142424,1,1,2.0590220228768885
120,142425,6,0,1.920836977660656
126,142431,1,1,1.8662360380403697
127,142432,7,0,1.9247540039941669
134,142439,1,1,1.8643719959072769
135,142440,6,0,1.9222599803470075
141,142446,1,1,1.8677779589779675
142,142447,6,0,1.9256059895269573
148,142453,1,1,1.8760230159386992
149,142454,7,0,1.9513839506544173
156,142461,1,1,1.871845975983888
157,142462,6,0,1.9345919718034565
163,142468,1,1,1.879821007605642
164,142469,7,0,1.9581460510380566
171,142476,1,1,1.8795799696817994
172,142477,6,0,1.943890005350113
178,142483,1,1,1.8762139952741563
179,142484,7,0,1.929513004142791
186,142491,1,1,1.8684800015762448
187,142492,6,0,1.9294829689897597
193,142498,1,1,1.8674079910852015
194,142499,7,0,1.9273090292699635
201,142506,1,1,1.8588620005175471
202,142507,6,0,1.9263969734311104
208,142513,1,1,1.8815640360116959
209,142514,7,0,1.9396419520489872
216,142521,1,1,1.8586419755592942
217,142522,6,0,1.9265880109742284
223,142528,1,1,1.8619080074131489
224,142529,6,0,1.9308360060676932
230,142535,1,1,1.867147977463901
231,142536,7,0,1.9472159910947084
238,142543,1,1,1.866636041086167
239,142544,6,0,1.9132720190100372
245,142550,1,1,1.8707640119828284
246,142551,7,0,1.9289819756522775
253,142558,1,1,1.8767150468192995
254,142559,6,0,1.9292120123282075
260,142565,1,1,1.8826359882950783
261,142566,7,0,1.9394310074858367
268,142573,1,1,1.8712750170379877
269,142574,6,0,1.9400629680603743
275,142580,1,1,2.0330040133558214
276,142581,7,0,1.9541090005077422
283,142588,1,1,1.8763350090011954
284,142589,6,0,1.9390200031921268
290,142595,1,1,1.8827859894372523
291,142596,6,0,1.920175040140748
297,142602,1,1,1.872226013801992
298,142603,7,0,1.929101999849081
305,142610,1,1,1.8555360147729516
306,142611,6,0,1.9112690351903439
