start_position,origin_id,n_predictions,single_origin_sample,duration_ms
0,142305,1,1,17.909444984979928
1,142306,6,0,3.4746340243145823
7,142312,1,1,2.941206970717758
8,142313,6,0,3.1033660052344203
14,142319,1,1,2.9285220080055296
15,142320,7,0,3.131098987068981
22,142327,1,1,2.9172219801694155
23,142328,6,0,2.9690280207432806
29,142334,1,1,2.915830002166331
30,142335,7,0,3.0761859961785376
37,142342,1,1,2.9059710213914514
38,142343,6,0,3.0827089794911444
44,142349,1,1,2.918303944170475
45,142350,7,0,3.0774989863857627
52,142357,1,1,2.910530020017177
53,142358,6,0,3.072570019867271
59,142364,1,1,2.918845973908901
60,142365,7,0,3.1090679694898427
67,142372,1,1,2.8825579793192446
68,142373,6,0,2.9545609722845256
74,142379,1,1,2.900752006098628
75,142380,6,0,3.191600029822439
81,142386,1,1,2.9190750210545957
82,142387,7,0,2.99572799121961
89,142394,1,1,2.9243049793876708
90,142395,6,0,3.0867959721945226
96,142401,1,1,2.908686001319438
97,142402,7,0,2.9828129918314517
104,142409,1,1,2.928011992480606
105,142410,6,0,2.9747679946012795
111,142416,1,1,2.9233230161480606
112,142417,7,0,3.082908981014043
119,142424,1,1,2.907644957304001
120,142425,6,0,3.1436909921467304
126,142431,1,1,2.9168910114094615
127,142432,7,0,3.071737999562174
134,142439,1,1,2.9146880260668695
135,142440,6,0,3.081075963564217
141,142446,1,1,2.911362040322274
142,142447,6,0,3.0692439759150147
148,142453,1,1,2.9258379945531487
149,142454,7,0,3.082077018916607
156,142461,1,1,2.9041380039416254
157,142462,6,0,2.9660919681191444
163,142468,1,1,2.908857015427202
164,142469,7,0,3.080954949837178
171,142476,1,1,2.9198169941082597
172,142477,6,0,3.063943993765861
178,142483,1,1,2.911361982114613
179,142484,7,0,2.9671440133824944
186,142491,1,1,2.9055700288154185
187,142492,6,0,3.0712769948877394
193,142498,1,1,2.9134450014680624
194,142499,7,0,3.0807750299572945
201,142506,1,1,2.90972797665745
202,142507,6,0,3.0700250063091516
208,142513,1,1,2.91781296255067
209,142514,7,0,3.079211979638785
216,142521,1,1,2.9166709864512086
217,142522,6,0,3.058814036194235
223,142528,1,1,2.9028350254520774
224,142529,6,0,3.0563489999622107
230,142535,1,1,2.8962829965166748
231,142536,7,0,3.0773889739066362
238,142543,1,1,2.9120929539203644
239,142544,6,0,2.953329007141292
245,142550,1,1,2.921740000601858
246,142551,7,0,2.973305992782116
253,142558,1,1,2.9239439754746854
254,142559,6,0,2.9699099832214415
260,142565,1,1,2.9191459761932492
261,142566,7,0,3.0737920315004885
268,142573,1,1,2.9241839656606317
269,142574,6,0,3.0711680301465094
275,142580,1,1,3.7007529754191637
276,142581,7,0,3.1314489897340536
283,142588,1,1,2.9183339793235064
284,142589,6,0,3.0711469589732587
290,142595,1,1,2.910309995058924
291,142596,6,0,2.958419034257531
297,142602,1,1,2.904658962506801
298,142603,7,0,2.976260962896049
305,142610,1,1,2.9071529861539602
306,142611,6,0,3.056891029700637
312,142617,1,1,2.888838993385434
313,142618,7,0,3.071778977755457
320,142625,1,1,2.8954509762115777
321,142626,6,0,3.0681619537062943
327,142632,1,1,2.904056978877634
328,142633,7,0,3.0540849547833204
335,142640,1,1,2.892585995141417
336,142641,6,0,3.046430996619165
342,142647,1,1,2.896783989854157
343,142648,7,0,3.074233012739569
350,142655,1,1,2.900981984566897
351,142656,6,0,3.0607180087827146
357,142662,1,1,2.9059009975753725
358,142663,6,0,2.9815510497428477
364,142669,1,1,2.9000499635003507
365,142670,7,0,3.055597946513444
372,142677,1,1,2.8915840084664524
373,142678,6,0,2.945315034594387
379,142684,1,1,2.8947899700142443
380,142685,7,0,3.0630120309069753
387,142692,1,1,2.9008720302954316
388,142693,6,0,3.0540250008925796
394,142699,1,1,2.89208599133417
395,142700,7,0,3.049838007427752
402,142707,1,1,2.896734979003668
403,142708,6,0,3.049106046091765
409,142714,1,1,2.887908020056784
410,142715,7,0,3.1089370022527874
417,142722,1,1,2.867560018785298
418,142723,6,0,3.050689003430307
424,142729,1,1,2.9046889976598322
425,142730,7,0,3.0693240114487708
432,142737,1,1,3.0613389681093395
433,142738,6,0,3.0405910219997168
439,142744,1,1,2.8731109923683107
440,142745,6,0,3.041232004761696
446,142751,1,1,2.9079350060783327
447,142752,7,0,3.0522519955411553
454,142759,1,1,2.8926769737154245
455,142760,6,0,2.925958950072527
461,142766,1,1,2.919635968282819
462,142767,7,0,3.070626000408083
469,142774,1,1,2.895682002417743
470,142775,6,0,3.0296199838630855
476,142781,1,1,2.9163400176912546
477,142782,7,0,2.965071005746722
484,142789,1,1,2.9319299501366913
485,142790,6,0,3.065306053031236
491,142796,1,1,2.8978160116821527
492,142797,7,0,3.060396993532777
499,142804,1,1,2.894620003644377
500,142805,6,0,2.971332985907793
506,142811,1,1,2.899229002650827
507,142812,6,0,3.056260000448674
513,142818,1,1,2.917252015322447
514,142819,7,0,3.074473002925515
521,142826,1,1,2.913756005000323
522,142827,6,0,2.9665729962289333
528,142833,1,1,2.923513005953282
529,142834,7,0,3.06229101261124
536,142841,1,1,2.9328810051083565
537,142842,6,0,3.06563702179119
543,142848,1,1,2.8960329946130514
544,142849,7,0,3.0582339968532324
551,142856,1,1,2.925878041423857
552,142857,6,0,3.053624997846782
558,142863,1,1,2.908596012275666
559,142864,7,0,3.071348008234054
566,142871,1,1,2.8855240088887513
567,142872,6,0,3.0583839979954064
573,142878,1,1,2.898045990150422
574,142879,6,0,3.0469729681499302
580,142885,1,1,2.888058021198958
581,142886,7,0,2.944343024864793
588,142893,1,1,3.041032003238797
589,142894,6,0,3.055808017961681
595,142900,1,1,2.892796997912228
596,142901,7,0,3.061869996599853
603,142908,1,1,2.8820880106650293
604,142909,6,0,3.047333040740341
610,142915,1,1,2.886275004129857
611,142916,7,0,3.0162459588609636
618,142923,1,1,2.8899210155941546
619,142924,6,0,2.9495119815692306
625,142930,1,1,2.8812449891120195
626,142931,7,0,2.9687380301766098
633,142938,1,1,2.901271975133568
634,142939,6,0,2.903766988310963
640,142945,1,1,2.8513299766927958
641,142946,7,0,3.059145004954189
648,142953,1,1,2.8579329955391586
649,142954,6,0,3.0707059777341783
655,142960,1,1,2.8142009978182614
656,142961,6,0,3.032124019227922
662,142967,1,1,2.809122030157596
663,142968,7,0,3.065365948714316
670,142975,1,1,2.8889100067317486
671,142976,6,0,3.0546759953722358
677,142982,1,1,2.885643974877894
678,142983,7,0,2.964409999549389
685,142990,1,1,2.9102389817126095
686,142991,6,0,3.049737017136067
692,142997,1,1,2.900811959989369
693,142998,7,0,2.9956570360809565
700,143005,1,1,2.9078939696773887
701,143006,6,0,3.0633530113846064
707,143012,1,1,2.9082560213282704
708,143013,7,0,3.0749739962629974
715,143020,1,1,2.91253300383687
716,143021,6,0,2.9808200197294354
722,143027,1,1,2.8998299967497587
723,143028,6,0,2.9495920171029866
729,143034,1,1,2.9012520099058747
730,143035,7,0,3.0626009684056044
737,143042,1,1,2.8995790053159
738,143043,6,0,2.945203974377364
744,143049,1,1,3.048995975404978
745,143050,7,0,2.9640989960171282
752,143057,1,1,2.898717997595668
753,143058,6,0,3.0560390441678464
759,143064,1,1,2.9170119669288397
