start_position,origin_id,n_predictions,single_origin_sample,duration_ms
0,149936,1,1,1.2502670288085938
1,149937,29,0,1.5909679932519794
30,149966,1,1,0.8562059956602752
31,149967,29,0,1.1534179793670774
60,149996,1,1,0.8335050079040229
61,149997,30,0,1.1703289928846061
91,150027,1,1,0.836459978017956
92,150028,29,0,1.1635670089162886
121,150057,1,1,0.829616968985647
122,150058,30,0,1.1489290045574307
152,150088,1,1,0.8320310153067112
153,150089,29,0,1.1351630091667175
182,150118,1,1,0.8360589854419231
183,150119,30,0,1.1456129723228514
213,150149,1,1,0.8273730054497719
214,150150,29,0,1.1583269806578755
243,150179,1,1,0.8255100110545754
244,150180,30,0,1.140534004662186
274,150210,1,1,0.828655029181391
275,150211,29,0,1.1299030156806111
304,150240,1,1,0.8239870076067746
305,150241,30,0,1.1443200055509806
335,150271,1,1,0.8291059639304876
336,150272,29,0,1.1508120223879814
365,150301,1,1,0.8344359812326729
366,150302,29,0,1.1323079816065729
395,150331,1,1,0.8586509502492845
396,150332,30,0,1.1324789957143366
426,150362,1,1,0.8171849767677486
427,150363,29,0,1.1157770059071481
456,150392,1,1,0.8180660079233348
457,150393,30,0,1.1157480184920132
487,150423,1,1,0.8216720307245851
488,150424,29,0,1.1005789856426418
517,150453,1,1,0.8155510295182467
518,150454,30,0,1.1170600191690028
548,150484,1,1,0.8160619763657451
549,150485,29,0,1.1258369777351618
578,150514,1,1,0.8120450074784458
579,150515,30,0,1.1157969711348414
609,150545,1,1,0.8110830094665289
610,150546,29,0,1.0944480309262872
639,150575,1,1,0.8098399848677218
640,150576,30,0,1.099738001357764
670,150606,1,1,0.8096199599094689
671,150607,29,0,1.1019720113836229
700,150636,1,1,0.8162729791365564
701,150637,30,0,1.0960110230371356
731,150667,1,1,0.8137780241668224
732,150668,29,0,1.0872150305658579
761,150697,1,1,0.8147300104610622
762,150698,29,0,1.0925849783234298
791,150727,1,1,0.8117940160445869
792,150728,30,0,1.0872139828279614
822,150758,1,1,0.8144789608195424
823,150759,29,0,1.080162008292973
852,150788,1,1,0.8141990401782095
853,150789,30,0,1.093016006052494
883,150819,1,1,0.8120449492707849
884,150820,29,0,1.089347992092371
913,150849,1,1,0.8136979886330664
914,150850,30,0,1.0914529557339847
944,150880,1,1,0.8164129685610533
945,150881,29,0,1.0796610149554908
974,150910,1,1,0.8137580007314682
975,150911,30,0,1.111128949560225
1005,150941,1,1,0.816062034573406
1006,150942,29,0,1.1017819633707404
1035,150971,1,1,0.817254011053592
1036,150972,30,0,1.0958310449495912
1066,151002,1,1,0.8121750433929265
1067,151003,29,0,1.0836980072781444
1096,151032,1,1,0.8119340054690838
1097,151033,29,0,1.0900500346906483
1126,151062,1,1,0.8157609845511615
1127,151063,30,0,1.0875450097955763
1157,151093,1,1,0.8129259804263711
1158,151094,29,0,1.0752920061349869
1187,151123,1,1,0.8147899643518031
1188,151124,30,0,1.0912020225077868
1218,151154,1,1,0.8104619919322431
1219,151155,29,0,1.0950189898721874
1248,151184,1,1,0.811612990219146
1249,151185,30,0,1.095288957003504
1279,151215,1,1,0.8124149753712118
1280,151216,29,0,1.0865029762499034
1309,151245,1,1,0.8075060322880745
1310,151246,30,0,1.1625739862211049
1340,151276,1,1,0.8121649734675884
1341,151277,29,0,1.1047570151276886
1370,151306,1,1,0.8163320017047226
1371,151307,30,0,1.1003389954566956
1401,151337,1,1,0.8126160246320069
1402,151338,29,0,1.0790390078909695
1431,151367,1,1,0.8169439970515668
1432,151368,30,0,1.0852410341612995
1462,151398,1,1,0.8124549640342593
1463,151399,29,0,1.1003889958374202
1492,151428,1,1,0.8110529743134975
1493,151429,29,0,1.0808529914356768
1522,151458,1,1,0.8121650316752493
1523,151459,30,0,1.100177993066609
1553,151489,1,1,0.8176249684765935
1554,151490,29,0,1.106239971704781
1583,151519,1,1,0.8162219892255962
1584,151520,30,0,1.097093045245856
1614,151550,1,1,0.8137179538607597
1615,151551,29,0,1.09122198773548
1644,151580,1,1,0.80884899944067
1645,151581,30,0,1.0958299972116947
1675,151611,1,1,0.8088289760053158
1676,151612,29,0,1.1077129747718573
1705,151641,1,1,0.8056429796852171
1706,151642,30,0,1.1140049900859594
1736,151672,1,1,0.8067250018939376
1737,151673,29,0,1.1010699672624469
1766,151702,1,1,0.812204962130636
1767,151703,30,0,1.1173009988851845
1797,151733,1,1,0.8080870029516518
1798,151734,29,0,2.0122380228713155
1827,151763,1,1,0.8205199846997857
1828,151764,30,0,1.1079430114477873
1858,151794,1,1,0.829286000225693
1859,151795,29,0,1.09917699592188
