start_position,origin_id,n_predictions,single_origin_sample,duration_ms
0,181104,1,1,3.757390019018203
1,181105,1,0,2.7844549622386694
2,181106,1,0,2.732087974436581
3,181107,1,0,2.730053965933621
4,181108,1,0,2.715478010941297
5,181109,1,0,2.691403031349182
6,181110,1,0,2.7130130329169333
7,181111,1,0,2.7107379864901304
8,181112,1,0,2.693696995265782
9,181113,1,0,2.696923038456589
10,181114,1,0,2.705257968045771
11,181115,1,0,2.698355005122721
12,181116,1,0,2.6913320180028677
13,181117,1,0,2.693926973734051
14,181118,1,0,2.6916940114460886
15,181119,1,0,2.7000189875252545
16,181120,1,0,2.6905100094154477
17,181121,1,0,2.692734997253865
18,181122,1,0,2.695038972888142
19,181123,1,0,2.6870849542319775
20,181124,1,0,2.697623975109309
21,181125,1,0,2.6857329648919404
22,181126,1,0,2.687414991669357
23,181127,1,0,2.688808017410338
24,181128,1,1,2.688657958060503
25,181129,1,0,2.6940270327031612
26,181130,1,0,2.675633004400879
27,181131,1,0,2.681082987692207
28,181132,1,0,2.68387800315395
29,181133,1,0,2.687947009690106
30,181134,1,0,2.6735090068541467
31,181135,1,0,2.6846700347959995
32,181136,1,0,2.6850109570659697
33,181137,1,0,2.677566953934729
34,181138,1,0,2.679469995200634
35,181139,1,0,2.6809829869307578
36,181140,1,0,2.6797110331244767
37,181141,1,0,2.6722170296125114
38,181142,1,0,2.682184975128621
39,181143,1,0,2.6873850147239864
40,181144,1,0,2.671005029696971
41,181145,1,0,2.6733289705589414
42,181146,1,0,2.6775269652716815
43,181147,1,0,2.6824959786608815
44,181148,1,0,2.670644025783986
45,181149,1,0,2.690010005608201
46,181150,1,0,2.6825859677046537
47,181151,1,0,2.6678189751692116
48,181152,1,0,2.677996992133558
49,181153,1,1,2.680622972548008
50,181154,1,0,2.678810036741197
51,181155,1,0,2.7087339549325407
52,181156,1,0,2.676155010703951
53,181157,1,0,2.673709997907281
54,181158,1,0,2.6654640096239746
55,181159,1,0,2.669762005098164
56,181160,1,0,2.6789699913933873
57,181161,1,0,2.680131990928203
58,181162,1,0,2.6677490095607936
59,181163,1,0,2.671977039426565
60,181164,1,0,2.672887989319861
61,181165,1,0,2.6732789701782167
62,181166,1,0,2.6724470080807805
63,181167,1,0,2.6720069581642747
64,181168,1,0,2.657809993252158
65,181169,1,0,2.670144021976739
66,181170,1,0,2.6780180050991476
67,181171,1,0,2.6949389721266925
68,181172,1,0,2.6608159532770514
69,181173,1,0,2.6671980158425868
70,181174,1,0,2.673228969797492
71,181175,1,0,2.6636309921741486
72,181176,1,0,2.6599440025165677
73,181177,1,1,2.816335007082671
74,181178,1,0,2.680362027604133
75,181179,1,0,2.6666970225051045
76,181180,1,0,2.6786489761434495
77,181181,1,0,2.668229048140347
78,181182,1,0,2.659612975548953
79,181183,1,0,2.664722967892885
80,181184,1,0,2.6628990308381617
81,181185,1,0,2.6546549634076655
82,181186,1,0,2.6549550238996744
83,181187,1,0,2.6758440071716905
84,181188,1,0,2.666086016688496
85,181189,1,0,2.662739949300885
86,181190,1,0,2.837413048837334
87,181191,1,0,2.6879659853875637
88,181192,1,0,2.681013022083789
89,181193,1,0,2.6730679674074054
90,181194,1,0,2.6831779978238046
91,181195,1,0,2.6723979972302914
92,181196,1,0,2.733460976742208
93,181197,1,0,2.690271008759737
94,181198,1,0,2.6676279958337545
95,181199,1,0,2.672127040568739
96,181200,1,0,2.659093006514013
97,181201,1,0,2.673709997907281
98,181202,1,1,2.670685003977269
99,181203,1,0,2.6621189899742603
100,181204,1,0,2.667288004886359
101,181205,1,0,2.667938999366015
102,181206,1,0,2.654654032085091
103,181207,1,0,2.6763040223158896
104,181208,1,0,2.663711959030479
105,181209,1,0,2.6692409883253276
106,181210,1,0,2.6601949939504266
107,181211,1,0,2.677096053957939
108,181212,1,0,2.668159024324268
109,181213,1,0,2.6587830507196486
110,181214,1,0,2.67015298595652
111,181215,1,0,2.6695120031945407
112,181216,1,0,2.666797023266554
113,181217,1,0,2.6722270413301885
114,181218,1,0,2.680692996364087
115,181219,1,0,2.6608859770931304
116,181220,1,0,2.644977008458227
117,181221,1,0,2.6610360364429653
118,181222,1,0,2.670653979294002
119,181223,1,0,2.6669380022212863
120,181224,1,0,2.661416947375983
121,181225,1,0,2.6690710219554603
122,181226,1,1,2.654873998835683
123,181227,1,0,2.6823049993254244
124,181228,1,0,2.6646030019037426
125,181229,1,0,2.663601015228778
126,181230,1,0,2.654924988746643
127,181231,1,0,2.6668270002119243
128,181232,1,0,2.663862018380314
129,181233,1,0,2.6604150189086795
130,181234,1,0,2.6686210185289383
131,181235,1,0,2.6668370119296014
132,181236,1,0,2.6524400454945862
133,181237,1,0,2.671786001883447
134,181238,1,0,2.674901974387467
135,181239,1,0,2.6518789818510413
136,181240,1,0,2.681274025235325
137,181241,1,0,2.6821749634109437
138,181242,1,0,2.6688100188039243
139,181243,1,0,2.6731290272437036
140,181244,1,0,2.699888951610774
141,181245,1,0,2.6672380045056343
142,181246,1,0,2.6690810336731374
143,181247,1,0,2.6878860080614686
144,181248,1,0,2.7277100016362965
145,181249,1,0,2.654845011420548
146,181250,1,0,2.6322019984945655
147,181251,1,1,2.66113702673465
148,181252,1,0,2.696501964237541
149,181253,1,0,2.6612469810061157
150,181254,1,0,2.6319019962102175
151,181255,1,0,2.6485429843887687
152,181256,1,0,2.6344869984313846
153,181257,1,0,2.6388050173409283
154,181258,1,0,2.657841017935425
155,181259,1,0,2.627784968353808
156,181260,1,0,2.6297480217181146
157,181261,1,0,2.636270015500486
158,181262,1,0,2.6247090427204967
159,181263,1,0,2.637722995132208
160,181264,1,0,2.6351879932917655
161,181265,1,0,2.6209119823761284
162,181266,1,0,2.6345570222474635
163,181267,1,0,2.637822995893657
164,181268,1,0,2.6238869759254158
165,181269,1,0,2.625491004437208
166,181270,1,0,2.634798001963645
167,181271,1,0,2.630178991239518
168,181272,1,0,2.6605649618431926
169,181273,1,0,2.6360999909229577
170,181274,1,0,2.6247890200465918
171,181275,1,1,2.6440139627084136
172,181276,1,0,2.6363710057921708
173,181277,1,0,2.625991008244455
174,181278,1,0,2.634007018059492
175,181279,1,0,2.6397869805805385
176,181280,1,0,2.6223240420222282
177,181281,1,0,2.642852021381259
178,181282,1,0,2.6414600433781743
179,181283,1,0,2.6253300020471215
180,181284,1,0,2.640137041453272
181,181285,1,0,2.664441999513656
182,181286,1,0,2.6461289962753654
183,181287,1,0,2.6606559986248612
184,181288,1,0,2.670724003110081
185,181289,1,0,2.663520979695022
186,181290,1,0,2.659562975168228
187,181291,1,0,2.6671570376493037
188,181292,1,0,2.6638819836080074
189,181293,1,0,2.652371011208743
190,181294,1,0,2.664222032763064
191,181295,1,0,2.722991048358381
192,181296,1,0,2.6562580023892224
193,181297,1,0,2.6589030167087913
194,181298,1,0,2.6735090068541467
195,181299,1,0,2.6719169691205025
196,181300,1,1,2.6597040123306215
197,181301,1,0,2.681003010366112
198,181302,1,0,2.6770959957502782
199,181303,1,0,2.659915015101433
200,181304,1,0,2.657158998772502
201,181305,1,0,2.6585309533402324
202,181306,1,0,2.651479037012905
203,181307,1,0,2.6709140511229634
204,181308,1,0,2.6800319901667535
205,181309,1,0,2.6709350058808923
206,181310,1,0,2.6866840198636055
207,181311,1,0,2.6638319832272828
208,181312,1,0,2.6596239767968655
209,181313,1,0,2.6666169869713485
210,181314,1,0,2.7384699787944555
211,181315,1,0,2.6610660133883357
212,181316,1,0,2.6444050017744303
213,181317,1,0,2.671625989023596
214,181318,1,0,2.6616670074872673
215,181319,1,0,2.6537730009295046
216,181320,1,0,2.659804013092071
217,181321,1,0,2.6579410186968744
218,181322,1,0,2.6498149964027107
219,181323,1,0,2.6493240147829056
220,181324,1,0,2.6559659745544195
221,181325,1,1,2.6570989866741
222,181326,1,0,2.651788992807269
223,181327,1,0,2.6633410016074777
224,181328,1,0,2.657079021446407
225,181329,1,0,2.650106034707278
226,181330,1,0,2.6626589824445546
227,181331,1,0,2.6612269575707614
228,181332,1,0,2.6526209549047053
229,181333,1,0,2.6571989874355495
230,181334,1,0,2.663821040187031
231,181335,1,0,2.6556369848549366
232,181336,1,0,2.782411000225693
233,181337,1,0,2.6698330184444785
234,181338,1,0,2.654373995028436
235,181339,1,0,2.6486439746804535
236,181340,1,0,2.6581010315567255
237,181341,1,0,2.6570589980110526
238,181342,1,0,2.65016604680568
239,181343,1,0,2.928492962382734
240,181344,1,0,2.669522014912218
241,181345,1,0,2.6714359992183745
242,181346,1,0,2.6590529596433043
243,181347,1,0,2.6622790028341115
244,181348,1,0,2.660044003278017
245,181349,1,1,2.6622280129231513
246,181350,1,0,2.6606859755702317
247,181351,1,0,2.6790089905261993
248,181352,1,0,2.6523900451138616
249,181353,1,0,2.6539029786363244
250,181354,1,0,2.6701129972934723
251,181355,1,0,2.6650839718058705
252,181356,1,0,2.655635995324701
253,181357,1,0,2.6640419964678586
254,181358,1,0,2.6730679674074054
255,181359,1,0,2.679009980056435
256,181360,1,0,2.662029000930488
257,181361,1,0,2.6773560093715787
258,181362,1,0,2.6706649805419147
259,181363,1,0,2.6484429836273193
260,181364,1,0,2.6676979614421725
261,181365,1,0,2.6701230090111494
262,181366,1,0,2.655736985616386
263,181367,1,0,2.679540019016713
264,181368,1,0,2.6717259897850454
265,181369,1,0,2.675633004400879
266,181370,1,0,2.660305006429553
267,181371,1,0,2.6767549570649862
268,181372,1,0,2.6726069627329707
269,181373,1,0,2.655304968357086
270,181374,1,1,2.6655340334400535
271,181375,1,0,2.6684909826144576
272,181376,1,0,2.660365018527955
273,181377,1,0,2.667358028702438
274,181378,1,0,2.6673480169847608
275,181379,1,0,2.6654039975255728
276,181380,1,0,2.6528710150159895
277,181381,1,0,2.670713991392404
278,181382,1,0,2.664141997229308
279,181383,1,0,2.647781977429986
280,181384,1,0,2.6619280106388032
281,181385,1,0,2.667849010322243
282,181386,1,0,2.6670370134525
283,181387,1,0,2.664632978849113
284,181388,1,0,2.662368002347648
285,181389,1,0,2.658532001078129
286,181390,1,0,2.66165699576959
287,181391,1,0,2.6629699859768152
288,181392,1,0,2.6642130105756223
289,181393,1,0,2.6539730024524033
290,181394,1,0,2.665273961611092
291,181395,1,0,2.650236012414098
292,181396,1,0,2.647730987519026
293,181397,1,0,2.656416967511177
294,181398,1,1,2.6678789872676134
295,181399,1,0,2.6597739779390395
296,181400,1,0,2.665525011252612
297,181401,1,0,2.658532001078129
298,181402,1,0,2.6531119947321713
299,181403,1,0,2.654503972735256
300,181404,1,0,2.66920099966228
301,181405,1,0,2.656377968378365
302,181406,1,0,2.6557259843684733
303,181407,1,0,2.678278018720448
304,181408,1,0,2.6650839718058705
305,181409,1,0,2.650176000315696
306,181410,1,0,2.6633800007402897
