start_position,origin_id,n_predictions,single_origin_sample,duration_ms
0,206256,1,1,0.8498249808326364
1,206257,29,0,1.396968960762024
30,206286,1,1,0.6148500251583755
31,206287,30,0,1.073920982889831
61,206317,1,1,0.5888920277357101
62,206318,30,0,1.3058310141786933
92,206348,1,1,0.6702119717374444
93,206349,29,0,0.9527660440653563
122,206378,1,1,0.5981589783914387
123,206379,30,0,0.9519149898551404
153,206409,1,1,0.5978679982945323
154,206410,30,0,0.9975390275940299
184,206440,1,1,0.619187019765377
185,206441,29,0,0.9148960234597325
214,206470,1,1,0.6085179629735649
215,206471,30,0,0.9903760510496795
245,206501,1,1,0.5890419706702232
246,206502,30,0,0.9155470179393888
276,206532,1,1,0.5984089802950621
277,206533,29,0,0.9045069455169141
306,206562,1,1,0.5953439977020025
307,206563,30,0,0.8936959784477949
337,206593,1,1,0.6282650283537805
338,206594,30,0,0.9254349861294031
368,206624,1,1,0.6066339556127787
369,206625,29,0,0.9060600423254073
398,206654,1,1,0.5836320342496037
399,206655,30,0,0.9144750074483454
429,206685,1,1,0.5953940562903881
430,206686,30,0,0.9103579795919359
460,206716,1,1,0.580697029363364
461,206717,29,0,0.9116799919866025
490,206746,1,1,0.5912159685976803
491,206747,30,0,0.9105679928325117
521,206777,1,1,0.5951829953119159
522,206778,30,0,0.9298640070483088
552,206808,1,1,0.5842429818585515
553,206809,29,0,0.8952899952419102
582,206838,1,1,0.5951840430498123
583,206839,30,0,0.9051070082932711
613,206869,1,1,0.5792040028609335
614,206870,30,0,0.926477019675076
644,206900,1,1,0.589512987062335
645,206901,29,0,0.8849300211295485
674,206930,1,1,0.5752859869971871
675,206931,30,0,0.8994170348159969
705,206961,1,1,0.5993210361339152
706,206962,30,0,0.8935370133258402
736,206992,1,1,0.5712389829568565
737,206993,30,0,0.8848200086504221
767,207023,1,1,0.5823899991810322
768,207024,29,0,0.8733489667065442
797,207053,1,1,0.5746760289184749
798,207054,30,0,0.8968619513325393
828,207084,1,1,0.5906849983148277
829,207085,30,0,0.8605860057286918
859,207115,1,1,0.5728410324081779
860,207116,29,0,0.8886769646778703
889,207145,1,1,0.5929890321567655
890,207146,30,0,0.9025229956023395
920,207176,1,1,0.586868030950427
921,207177,30,0,0.8839190122671425
951,207207,1,1,0.5863669794052839
952,207208,29,0,0.8433939656242728
981,207237,1,1,0.5836920463480055
982,207238,30,0,0.8724870276637375
1012,207268,1,1,0.5855749477632344
1013,207269,30,0,0.8699130266904831
1043,207299,1,1,0.5828600260429084
1044,207300,29,0,0.8476119837723672
1073,207329,1,1,0.5832909955643117
1074,207330,30,0,0.8716260199435055
1104,207360,1,1,0.5793540040031075
1105,207361,30,0,0.8793299784883857
1135,207391,1,1,0.5758079933002591
1136,207392,29,0,0.8424809784628451
1165,207421,1,1,0.5861370009370148
1166,207422,30,0,0.8620680309832096
1196,207452,1,1,0.5743739893659949
1197,207453,30,0,0.8598429849371314
1227,207483,1,1,0.5830610170960426
1228,207484,29,0,0.8414000039920211
1257,207513,1,1,0.5849640001542866
1258,207514,30,0,0.8665370405651629
1288,207544,1,1,0.5806069821119308
1289,207545,30,0,0.8700820035301149
1319,207575,1,1,0.5747249815613031
1320,207576,29,0,0.86011498933658
1349,207605,1,1,0.5869079614058137
1350,207606,30,0,0.8706640219315886
1380,207636,1,1,0.5735529703088105
1381,207637,30,0,0.9182420326396823
1411,207667,1,1,0.6159920012578368
1412,207668,30,0,0.9196550236083567
1442,207698,1,1,0.5735030281357467
1443,207699,29,0,0.8311509736813605
1472,207728,1,1,0.5757969920523465
1473,207729,30,0,0.8654039702378213
1503,207759,1,1,0.5665199714712799
1504,207760,30,0,0.8676779689267278
1534,207790,1,1,0.5805160035379231
1535,207791,29,0,0.8631499949842691
1564,207820,1,1,0.5729119875468314
1565,207821,30,0,0.8640119922347367
1595,207851,1,1,0.5738829495385289
1596,207852,30,0,0.873599958140403
1626,207882,1,1,0.5658689769916236
1627,207883,29,0,0.8579000132158399
1656,207912,1,1,0.5744639784097672
1657,207913,30,0,0.8756140014156699
1687,207943,1,1,0.5687940283678472
1688,207944,30,0,0.8625990012660623
1718,207974,1,1,0.5782209918834269
1719,207975,29,0,0.8626889903098345
1748,208004,1,1,0.5687850061804056
1749,208005,30,0,0.8681999752297997
1779,208035,1,1,0.5801459774374962
1780,208036,30,0,0.8826359990052879
1810,208066,1,1,0.5677930312231183
1811,208067,29,0,0.8470900356769562
1840,208096,1,1,0.5782220396213233
1841,208097,30,0,0.86747802561149
1871,208127,1,1,0.5693149869330227
1872,208128,30,0,0.8852810133248568
1902,208158,1,1,0.5777010228484869
1903,208159,29,0,0.9025530307553709
1932,208188,1,1,0.5801549996249378
1933,208189,30,0,0.8688310044817626
1963,208219,1,1,0.578822975512594
1964,208220,30,0,0.8622379973530769
1994,208250,1,1,0.5763689987361431
1995,208251,29,0,0.871694996021688
2024,208280,1,1,0.5804160027764738
2025,208281,30,0,0.874872028362006
2055,208311,1,1,0.5728719988837838
2056,208312,30,0,0.8627400384284556
2086,208342,1,1,0.585404981393367
2087,208343,30,0,0.8751419954933226
2117,208373,1,1,0.5751160206273198
2118,208374,29,0,0.854024023283273
2147,208403,1,1,0.5828710272908211
2148,208404,30,0,0.8699530153535306
2178,208434,1,1,0.5727620446123183
2179,208435,30,0,0.8699930040165782
2209,208465,1,1,0.5836309865117073
2210,208466,29,0,0.8688100497238338
2239,208495,1,1,0.5733929574489594
2240,208496,30,0,0.867028022184968
2270,208526,1,1,0.5860870005562901
2271,208527,30,0,0.8760539931245148
2301,208557,1,1,0.5695860018022358
2302,208558,29,0,0.8580699795857072
2331,208587,1,1,0.582750013563782
2332,208588,30,0,0.89997798204422
2362,208618,1,1,0.5762779619544744
2363,208619,30,0,0.887876027263701
2393,208649,1,1,0.5841529928147793
2394,208650,29,0,0.8551450446248055
2423,208679,1,1,0.5694659776054323
2424,208680,30,0,0.8709949906915426
2454,208710,1,1,0.5817789933644235
2455,208711,30,0,0.8917829836718738
2485,208741,1,1,0.5701069603674114
2486,208742,29,0,0.8538829861208797
2515,208771,1,1,0.5784829845651984
2516,208772,30,0,0.8604750037193298
