start_position,origin_id,n_predictions,single_origin_sample,duration_ms
0,206256,1,1,0.43604796519503
1,206257,29,0,0.5875490023754537
30,206286,1,1,0.3326869918964803
31,206287,30,0,0.5414130282588303
61,206317,1,1,0.33902801806107163
62,206318,30,0,0.5313450237736106
92,206348,1,1,0.33608300145715475
93,206349,29,0,0.5286899977363646
122,206378,1,1,0.33609301317483187
123,206379,30,0,0.5314450245350599
153,206409,1,1,0.3368949983268976
154,206410,30,0,0.5315960152074695
184,206440,1,1,0.3368940087966621
185,206441,29,0,0.5243519553914666
214,206470,1,1,0.3314050263725221
215,206471,30,0,0.539849977940321
245,206501,1,1,0.32781698973849416
246,206502,30,0,0.5403210525400937
276,206532,1,1,0.32564299181103706
277,206533,29,0,0.5315260495990515
306,206562,1,1,0.34094200236722827
307,206563,30,0,0.5691950209438801
337,206593,1,1,0.3277169889770448
338,206594,30,0,0.541943998541683
368,206624,1,1,0.3266549902036786
369,206625,29,0,0.5324769881553948
398,206654,1,1,0.3262439859099686
399,206655,30,0,0.5396499764174223
429,206685,1,1,0.3266959683969617
430,206686,30,0,0.539399974513799
460,206716,1,1,0.32907002605497837
461,206717,29,0,0.5217469879426062
490,206746,1,1,0.3376060049049556
491,206747,30,0,0.5290510016493499
521,206777,1,1,0.33994996920228004
522,206778,30,0,0.5547479959204793
552,206808,1,1,0.33729500137269497
553,206809,29,0,0.5192719982005656
582,206838,1,1,0.3556489828042686
583,206839,30,0,0.5276279989629984
613,206869,1,1,0.3334680222906172
614,206870,30,0,0.5271980189718306
644,206900,1,1,0.3314439672976732
645,206901,29,0,0.5338190239854157
674,206930,1,1,0.3284689737483859
675,206931,30,0,0.5407420103438199
705,206961,1,1,0.33277698094025254
706,206962,30,0,0.537155952770263
736,206992,1,1,0.3247320419177413
737,206993,30,0,0.5324070225469768
767,207023,1,1,0.32499199733138084
768,207024,29,0,0.5298720207065344
797,207053,1,1,0.3231790033169091
798,207054,30,0,0.5341600044630468
828,207084,1,1,0.32444100361317396
829,207085,30,0,0.5341400392353535
859,207115,1,1,0.32601499697193503
860,207116,29,0,0.517659995239228
889,207145,1,1,0.33352896571159363
890,207146,30,0,0.5249130190350115
920,207176,1,1,0.3479750012047589
921,207177,30,0,0.5356229958124459
951,207207,1,1,0.3349909675307572
952,207208,29,0,0.5188619834370911
981,207237,1,1,0.332775991410017
982,207238,30,0,0.5251330439932644
1012,207268,1,1,0.32449199352413416
1013,207269,30,0,0.5265960353426635
1043,207299,1,1,0.32471196027472615
1044,207300,29,0,0.5289799883030355
1073,207329,1,1,0.3245120169594884
1074,207330,30,0,0.5345710087567568
1104,207360,1,1,0.3232790040783584
1105,207361,30,0,0.534591032192111
1135,207391,1,1,0.3244510153308511
1136,207392,29,0,0.5290909903123975
1165,207421,1,1,0.32423099037259817
1166,207422,30,0,0.5341200157999992
1196,207452,1,1,0.3248720313422382
1197,207453,30,0,0.5383180105127394
1227,207483,1,1,0.3243919927626848
1228,207484,29,0,0.5167879862710834
1257,207513,1,1,0.33364800037816167
1258,207514,30,0,0.5313250003382564
1288,207544,1,1,0.33600302413105965
1289,207545,30,0,0.5237709847278893
1319,207575,1,1,0.33415999496355653
1320,207576,29,0,0.5172889796085656
1349,207605,1,1,0.33208495005965233
1350,207606,30,0,0.5262549966573715
1380,207636,1,1,0.32831798307597637
1381,207637,30,0,0.538427964784205
1411,207667,1,1,0.32468204153701663
1412,207668,30,0,0.534961000084877
1442,207698,1,1,0.32478198409080505
1443,207699,29,0,0.5259549943730235
1472,207728,1,1,0.32278901198878884
1473,207729,30,0,0.5345310200937092
1503,207759,1,1,0.323618995025754
1504,207760,30,0,0.5337600014172494
1534,207790,1,1,0.3252130118198693
1535,207791,29,0,0.5270669935271144
1564,207820,1,1,0.32477197237312794
1565,207821,30,0,0.5275680450722575
1595,207851,1,1,0.32688595820218325
1596,207852,30,0,0.5262659979052842
1626,207882,1,1,0.33020199043676257
1627,207883,29,0,0.51612698007375
1656,207912,1,1,0.33912796061486006
1657,207913,30,0,0.5300419870764017
1687,207943,1,1,0.33638300374150276
1688,207944,30,0,0.5257049924694002
1718,207974,1,1,0.33345900010317564
1719,207975,29,0,0.5183909670449793
1748,208004,1,1,0.3651370061561465
1749,208005,30,0,0.5288299871608615
1779,208035,1,1,0.32556301448494196
1780,208036,30,0,0.5358330090530217
1810,208066,1,1,0.33206597436219454
1811,208067,29,0,0.529061013367027
1840,208096,1,1,0.3271160530857742
1841,208097,30,0,0.5276580341160297
1871,208127,1,1,0.3267560387030244
1872,208128,30,0,0.5370349972508848
1902,208158,1,1,0.32654497772455215
1903,208159,29,0,0.5284099606797099
1932,208188,1,1,0.3268360160291195
1933,208189,30,0,0.5364249809645116
1963,208219,1,1,0.3252329770475626
1964,208220,30,0,0.526406045537442
1994,208250,1,1,0.3370149643160403
1995,208251,29,0,0.5225189961493015
2024,208280,1,1,0.3343190182931721
2025,208281,30,0,0.5276679876260459
2055,208311,1,1,0.33369800075888634
2056,208312,30,0,0.5279090255498886
2086,208342,1,1,0.3386070020496845
2087,208343,30,0,0.526776013430208
2117,208373,1,1,0.333709002006799
2118,208374,29,0,0.5205649649724364
2147,208403,1,1,0.3260640078224242
2148,208404,30,0,0.5376769695430994
2178,208434,1,1,0.3258739598095417
2179,208435,30,0,0.5368550191633403
2209,208465,1,1,0.3271870082244277
2210,208466,29,0,0.5221570027060807
2239,208495,1,1,0.3258039942011237
2240,208496,30,0,0.5348720005713403
2270,208526,1,1,0.32556301448494196
2271,208527,30,0,0.5367549601942301
2301,208557,1,1,0.32525300048291683
2302,208558,29,0,0.5339600029401481
2331,208587,1,1,0.32816798193380237
2332,208588,30,0,0.5271880072541535
2362,208618,1,1,0.32778800232335925
2363,208619,30,0,0.5271270056255162
2393,208649,1,1,0.334789976477623
2394,208650,29,0,0.5192229873500764
2423,208679,1,1,0.3340990515425801
2424,208680,30,0,0.5381270311772823
2454,208710,1,1,0.3400510177016258
2455,208711,30,0,0.5282390047796071
2485,208741,1,1,0.3352109924890101
2486,208742,29,0,0.5452309851534665
2515,208771,1,1,0.3252929891459644
2516,208772,30,0,0.5374960019253194
2546,208802,1,1,0.3494380507618189
2547,208803,30,0,0.5532850045710802
2577,208833,1,1,0.3267660504207015
2578,208834,29,0,0.5274070426821709
2607,208863,1,1,0.32673595706000924
2608,208864,30,0,0.7247630273923278
2638,208894,1,1,0.3255839692428708
2639,208895,30,0,0.5367749836295843
2669,208925,1,1,0.32750697573646903
2670,208926,29,0,0.5326569662429392
2699,208955,1,1,0.32483204267919064
2700,208956,30,0,0.571129028685391
2730,208986,1,1,0.3249419969506562
2731,208987,30,0,0.5344100063666701
2761,209017,1,1,0.3236799966543913
2762,209018,30,0,0.5427059950307012
2792,209048,1,1,0.3339590039104223
2793,209049,29,0,0.5274980212561786
2822,209078,1,1,0.32443105010315776
2823,209079,30,0,0.5319060292094946
2853,209109,1,1,0.32422097865492105
2854,209110,30,0,0.5470640026032925
2884,209140,1,1,0.335761986207217
2885,209141,29,0,0.5174889811314642
2914,209170,1,1,0.3337989910505712
2915,209171,30,0,0.5264360224828124
2945,209201,1,1,0.3367850440554321
2946,209202,30,0,0.5261650076135993
2976,209232,1,1,0.33432903001084924
2977,209233,29,0,0.5192030221223831
3006,209262,1,1,0.3241710364818573
3007,209263,30,0,0.5361840012483299
3037,209293,1,1,0.32436102628707886
3038,209294,30,0,0.5353920278139412
3068,209324,1,1,0.32392097637057304
3069,209325,29,0,0.5262249615043402
3098,209354,1,1,0.3216559998691082
3099,209355,30,0,0.5369060090743005
3129,209385,1,1,0.32492296304553747
3130,209386,30,0,0.5362540250644088
3160,209416,1,1,0.3231790033169091
3161,209417,29,0,0.5296120070852339
3190,209446,1,1,0.3239700454287231
3191,209447,30,0,0.5252730334177613
3221,209477,1,1,0.3257740172557533
3222,209478,30,0,0.5242320476099849
3252,209508,1,1,0.3342200070619583
3253,209509,29,0,0.5160770379006863
3282,209538,1,1,0.3351910272613168
3283,209539,30,0,0.5254839779809117
3313,209569,1,1,0.334761047270149
3314,209570,30,0,0.525173032656312
3344,209600,1,1,0.3342899726703763
3345,209601,29,0,0.5177799612283707
3374,209630,1,1,0.3245419939048588
3375,209631,30,0,0.5344310193322599
3405,209661,1,1,0.32229797216132283
3406,209662,30,0,0.5352820153348148
3436,209692,1,1,0.3467229544185102
3437,209693,29,0,0.5289500113576651
