start_position,origin_id,n_predictions,single_origin_sample,duration_ms
0,206256,1,1,84.79804900707677
1,206257,29,0,82.46737596346065
30,206286,1,1,82.28006900753826
31,206287,30,0,82.44634699076414
61,206317,1,1,82.24991301540285
62,206318,30,0,82.17596600297838
92,206348,1,1,82.29135000146925
93,206349,29,0,82.14898605365306
122,206378,1,1,82.54280703840777
123,206379,30,0,81.97343000210822
153,206409,1,1,82.27640198310837
154,206410,30,0,82.36694999504834
184,206440,1,1,82.28969702031463
185,206441,29,0,82.00768299866468
214,206470,1,1,82.36147998832166
215,206471,30,0,82.11098500760272
245,206501,1,1,82.220307958778
246,206502,30,0,82.3968859622255
276,206532,1,1,82.19203498447314
277,206533,29,0,82.07325602415949
306,206562,1,1,82.12294697295874
307,206563,30,0,81.95619797334075
337,206593,1,1,82.21355499699712
338,206594,30,0,82.10563502507284
368,206624,1,1,82.30812096735463
369,206625,29,0,82.03710796078667
398,206654,1,1,82.20104197971523
399,206655,30,0,81.89765899442136
429,206685,1,1,82.16649800306186
430,206686,30,0,81.96168800350279
460,206716,1,1,82.73053402081132
461,206717,29,0,82.18388998648152
490,206746,1,1,82.26334798382595
491,206747,30,0,82.69511797698215
521,206777,1,1,82.33920799102634
522,206778,30,0,81.98139403248206
552,206808,1,1,82.239702984225
553,206809,29,0,82.08388497587293
582,206838,1,1,82.65577495330945
583,206839,30,0,82.04705599928275
613,206869,1,1,82.64518599025905
614,206870,30,0,82.33861700864509
644,206900,1,1,82.72382098948583
645,206901,29,0,82.00331596890464
674,206930,1,1,82.61748496443033
675,206931,30,0,82.03954302007332
705,206961,1,1,82.18446100363508
706,206962,30,0,81.95328299188986
736,206992,1,1,82.20294496277347
737,206993,30,0,82.4584299698472
767,207023,1,1,82.31789903948084
768,207024,29,0,82.1136690210551
797,207053,1,1,82.11877901339903
798,207054,30,0,82.04109501093626
828,207084,1,1,82.605172006879
829,207085,30,0,81.93392702378333
859,207115,1,1,82.16344204265624
860,207116,29,0,82.0757289766334
889,207145,1,1,82.38063502358273
890,207146,30,0,82.58186798775569
920,207176,1,1,82.20002998132259
921,207177,30,0,81.95218001492321
951,207207,1,1,82.14553899597377
952,207208,29,0,81.92623197101057
981,207237,1,1,82.26116403238848
982,207238,30,0,82.23842096049339
1012,207268,1,1,82.69498700974509
1013,207269,30,0,82.25040300749242
1043,207299,1,1,82.28708105161786
1044,207300,29,0,82.04808796290308
1073,207329,1,1,82.27134204935282
1074,207330,30,0,82.00456702616066
1104,207360,1,1,82.30657695094123
1105,207361,30,0,82.02247996814549
1135,207391,1,1,82.2935129981488
1136,207392,29,0,82.59050402557477
1165,207421,1,1,82.35497697023675
1166,207422,30,0,82.05374801764265
1196,207452,1,1,82.79918105108663
1197,207453,30,0,82.1239780052565
1227,207483,1,1,82.69129099790007
1228,207484,29,0,82.17819902347401
1257,207513,1,1,82.2326400084421
1258,207514,30,0,82.20592100406066
1288,207544,1,1,82.35653000883758
1289,207545,30,0,82.49541703844443
1319,207575,1,1,82.3641030001454
1320,207576,29,0,82.4703109683469
1349,207605,1,1,82.30084704700857
1350,207606,30,0,82.01165997888893
1380,207636,1,1,82.42435602005571
1381,207637,30,0,82.13043096475303
1411,207667,1,1,82.35300297383219
1412,207668,30,0,82.0638170116581
1442,207698,1,1,82.41969702066854
1443,207699,29,0,81.95584698114544
1472,207728,1,1,82.24221703130752
1473,207729,30,0,82.24192698253319
1503,207759,1,1,82.3693239944987
1504,207760,30,0,81.93472801940516
1534,207790,1,1,82.09709799848497
1535,207791,29,0,81.79905597353354
1564,207820,1,1,82.34041999094188
1565,207821,30,0,82.46427995618433
1595,207851,1,1,82.1716469945386
1596,207852,30,0,82.29438500711694
1626,207882,1,1,82.10833999328315
1627,207883,29,0,82.51924096839502
1656,207912,1,1,82.1325849974528
1657,207913,30,0,81.90448099048808
1687,207943,1,1,82.29556703008711
1688,207944,30,0,82.14529795804992
1718,207974,1,1,82.63535698642954
1719,207975,29,0,82.05062296474352
1748,208004,1,1,82.73615298094228
1749,208005,30,0,82.01422495767474
1779,208035,1,1,82.73805695353076
1780,208036,30,0,82.17820897698402
1810,208066,1,1,82.31338998302817
1811,208067,29,0,82.20961701590568
1840,208096,1,1,82.83465600106865
1841,208097,30,0,82.16595597332343
1871,208127,1,1,82.2870500269346
1872,208128,30,0,86.13357495050877
1902,208158,1,1,83.07923999382183
1903,208159,29,0,82.69799198023975
1932,208188,1,1,81.37863600859419
1933,208189,30,0,81.34453202364966
1963,208219,1,1,81.35869901161641
1964,208220,30,0,80.77131898608059
1994,208250,1,1,80.9319069958292
1995,208251,29,0,80.92096698237583
2024,208280,1,1,81.14276797277853
2025,208281,30,0,80.69324400275946
2055,208311,1,1,80.84556699031964
2056,208312,30,0,80.66936995601282
2086,208342,1,1,80.84171998780221
2087,208343,30,0,80.60097403358668
2117,208373,1,1,80.98749001510441
2118,208374,29,0,80.89002902852371
2147,208403,1,1,81.0221639694646
2148,208404,30,0,80.69729199633002
2178,208434,1,1,81.09959802823141
2179,208435,30,0,80.79042396275327
2209,208465,1,1,81.15755498874933
2210,208466,29,0,80.86543303215876
2239,208495,1,1,80.97409503534436
2240,208496,30,0,81.15742495283484
2270,208526,1,1,81.50545001262799
2271,208527,30,0,80.65448299748823
2301,208557,1,1,81.06826897710562
2302,208558,29,0,80.78521495917812
2331,208587,1,1,81.58551895758137
2332,208588,30,0,80.7178289978765
2362,208618,1,1,81.05031703598797
2363,208619,30,0,80.68430703133345
2393,208649,1,1,81.0664159944281
2394,208650,29,0,80.79621498472989
2423,208679,1,1,80.83257300313562
2424,208680,30,0,80.7277180138044
2454,208710,1,1,81.35076402686536
2455,208711,30,0,80.91547596268356
2485,208741,1,1,80.97365399589762
2486,208742,29,0,80.91070700902492
2515,208771,1,1,81.09514904208481
2516,208772,30,0,80.86922101210803
2546,208802,1,1,80.98488498944789
2547,208803,30,0,80.80510201398283
2577,208833,1,1,80.97161998739466
2578,208834,29,0,80.93271794496104
