model,horizon_seconds,n_folds,n_predictions,aggregation,RMSE,RMSE_min,RMSE_max,RMSE_defined_folds,MAE,MAE_min,MAE_max,MAE_defined_folds,R2,R2_min,R2_max,R2_defined_folds,rmse_gain_vs_e0,rmse_gain_vs_e0_min,rmse_gain_vs_e0_max,rmse_gain_vs_e0_defined_folds,r2_os_vs_e0,r2_os_vs_e0_min,r2_os_vs_e0_max,r2_os_vs_e0_defined_folds,pooled_RMSE,pooled_E0_RMSE,pooled_rmse_gain_vs_e0,pooled_r2_os_vs_e0,pooled_e0_gain_status,inference_n_predictions,inference_n_calls,inference_single_n,inference_mean_ms,inference_p50_ms,inference_p95_ms,inference_p99_ms,inference_upper_bound_ms,inference_upper_bound_kind,inference_batch_p95_ms,inference_batch_p99_ms,inference_batch_max_ms,inference_total_seconds,inference_amortized_ms_per_prediction,inference_scope,inference_warmup_calls
autots,60,5,112747,equal_weight_fold_mean,25.08951016460076,10.012804500291871,54.408393576850756,5,13.8183525286036,6.17939814206837,23.31808125226702,5,0.9854974188163135,0.9759413896302668,0.994549211247749,5,-0.00802792020881018,-0.03224275517088793,0.0005190594053583464,5,-0.016270419978953555,-0.06552510560278568,0.0010378493880504047,5,33.63620436825368,33.51682231992753,-0.0035618546169626786,-0.007136396042237703,defined,112747,112747,5120,2.6017849366780865,2.568489027908072,2.7302705275360495,2.7947327768197283,5.457595048937947,observed_max_not_hard_bound,2.73294496582821,2.8056962240953,5.831298010889441,293.58994356094627,2.6039712237216626,prepared input/context + scaling + transfers + predict + host log-return output,0
autots,120,5,112747,equal_weight_fold_mean,37.63095912345655,12.577269087877676,84.3448089430056,5,19.8531900747954,8.246733275663994,33.990529625566545,5,0.969726884606741,0.9445109651418576,0.9899971801516597,5,-0.0694039178989396,-0.3336217619476025,0.0007935420944022997,5,-0.1610921883348165,-0.7785470039402278,0.0015864544797490332,5,52.18832066749445,49.99627044686895,-0.04384427480355746,-0.08961087004016477,defined,112747,112747,5120,2.625964299795669,2.5821195158641785,2.7441815414931625,2.851994241354987,5.569321976508945,observed_max_not_hard_bound,2.744846267160028,2.856937511824072,112.36058099893852,297.1485581623856,2.6355340555614393,prepared input/context + scaling + transfers + predict + host log-return output,0
autots,180,5,112747,equal_weight_fold_mean,45.264797725495264,15.388441712556345,110.76507228035094,5,24.25388241026594,10.254866980404714,42.79768922409971,5,0.9557469958709707,0.9040650041134751,0.9850712618592404,5,-0.023569063820079707,-0.10953813863223871,0.0035451070725542877,5,-0.04955518124342848,-0.23107488107949292,0.00707764636095265,5,65.33611212293421,64.41485763152984,-0.014301894396385961,-0.028808332976097306,defined,112747,112747,5120,2.632744143841137,2.584998495876789,2.7815890556667,2.880304399877787,5.621954041998833,observed_max_not_hard_bound,2.7854562969878316,2.8811032010708004,112.23923100624232,298.20087734411936,2.6448675117219915,prepared input/context + scaling + transfers + predict + host log-return output,0
cat,60,5,112747,equal_weight_fold_mean,25.395752603788324,9.270441504719082,54.83790306358988,5,13.997349525531519,5.9408233445999805,23.512915379234897,5,0.9852949103332629,0.9755135661085501,0.9945470178184467,5,-0.01042689440208935,-0.05214779477451459,0.04428913196069761,5,-0.02192714451955524,-0.10701498204887416,0.08661673671156311,5,34.15271310389844,33.51682231992753,-0.018972287345774053,-0.03830452237867865,defined,112747,10235,5120,0.5988275440017787,0.5779349885415286,0.7531085255322978,0.768050592741929,4.461491014808416,observed_max_not_hard_bound,0.9311657282523811,1.0732291755266485,6.092950003221631,7.391681821201928,0.06555989801238106,prepared input/context + scaling + transfers + predict + host log-return output,0
cat,120,5,112747,equal_weight_fold_mean,36.47366076511798,12.603655053445982,84.85534903032713,5,19.796018050307417,8.28185661126395,34.42873828786261,5,0.9699930404395868,0.943837180564536,0.9899551661161686,5,-0.03399331235705052,-0.09200883297917774,-0.0020460514946238906,5,-0.07024826489728438,-0.19248329130454578,-0.004096289315966395,5,50.94191842420106,49.99627044686895,-0.0189143703896284,-0.03818649418649289,defined,112747,10235,5120,0.6021175453383876,0.5778929917141795,0.7553700124844909,0.7653572130948306,3.783381951507181,observed_max_not_hard_bound,0.9392820298671721,1.0742368816863745,4.5874950010329485,7.428552276222035,0.06588691740110189,prepared input/context + scaling + transfers + predict + host log-return output,0
cat,180,5,112747,equal_weight_fold_mean,46.42958747301119,15.803723660444012,111.73739462114528,5,24.61966437978533,10.502580589274974,43.25254169145671,5,0.9532092462015044,0.9023733308488411,0.984254637387611,5,-0.0592638959660476,-0.1177135720085376,-0.011195552921855922,5,-0.12427291844133617,-0.24928362905208434,-0.022516446248938005,5,66.29618349924193,64.41485763152984,-0.029206396426019854,-0.059265806444233515,defined,112747,10235,5120,0.6093727567645146,0.5779765197075903,0.7607799110701308,0.7689305988606066,3.7402960006147614,observed_max_not_hard_bound,0.9079253301024437,1.0062347538769245,4.701967991422862,7.46813669212861,0.06623800803683122,prepared input/context + scaling + transfers + predict + host log-return output,0
lgbm,60,5,112747,equal_weight_fold_mean,25.684236513205825,9.388238881206803,54.72101550963505,5,14.116372135309481,6.002781691161339,23.493390746280102,5,0.9851549149953038,0.9757975532112527,0.9944075577781133,5,-0.023905525201459256,-0.10310152894485469,0.03214513289889209,5,-0.050374983064680176,-0.21683298316047606,0.06325695622869676,5,34.41135696264654,33.51682231992753,-0.02668912446951066,-0.05409055830397036,defined,112747,10235,5120,0.7525271386953136,0.7074559980537742,0.8106734923785552,0.9231436031404906,6.59889803500846,observed_max_not_hard_bound,1.0759663127828385,1.238375863758842,6.79713801946491,8.763560746971052,0.077727662349961,prepared input/context + scaling + transfers + predict + host log-return output,0
lgbm,120,5,112747,equal_weight_fold_mean,37.752502094927436,12.70791830499413,85.89326971735846,5,20.227813074569806,8.382450071892341,34.61299180911209,5,0.9688071462764904,0.9424548502867518,0.9897882877080979,5,-0.07165984600781687,-0.2352685485789412,-0.010335438905400895,5,-0.155560455369501,-0.525888387108324,-0.020777699108168957,5,52.42235664900596,49.99627044686895,-0.048525343599683524,-0.09940539617083433,defined,112747,10235,5120,0.761189308923349,0.715210975613445,0.8031104691326618,0.907590275164695,6.61562301684171,observed_max_not_hard_bound,1.0226946964394301,1.1513927730265985,6.672716001048684,8.854179775051307,0.07853140017074785,prepared input/context + scaling + transfers + predict + host log-return output,0
lgbm,180,5,112747,equal_weight_fold_mean,48.842391413393024,15.8875692546049,111.45685062926954,5,25.3415607753919,10.561697091649796,43.44843092764533,5,0.9510631867813771,0.9028629465718374,0.9840871222660861,5,-0.12123608705494578,-0.41368106431485563,-0.00865669976579686,5,-0.28045007394615606,-0.9984941516023831,-0.017388337982428892,5,68.71036506816968,64.41485763152984,-0.06668504122467023,-0.13781697717247643,defined,112747,10235,5120,0.7470949641174229,0.7145565177779645,0.7846764492569491,0.8369544323068118,6.602225999813527,observed_max_not_hard_bound,1.0025449970271438,1.1648539558518676,6.890372023917735,8.741644155525137,0.07753327499201874,prepared input/context + scaling + transfers + predict + host log-return output,0
lstm,60,5,112747,equal_weight_fold_mean,28.85367337535761,11.992530136297875,57.80251395125993,5,16.671804360872386,7.590383644012545,27.273727368863057,5,0.9807804505188138,0.9683093470385834,0.9914343333951285,5,-0.18842375463785999,-0.2540282872119619,-0.06716896402459493,5,-0.4172739903702092,-0.5725869451277668,-0.1388495977773272,5,37.42729969718049,33.51682231992753,-0.11667208006553696,-0.246956534397893,defined,112747,10235,5120,0.32676510819555915,0.3245520056225359,0.33552343666087836,0.34806843614205735,0.9455769904889166,observed_max_not_hard_bound,0.5328480037860572,0.5381504341494292,1.1729620164260268,4.105668606527615,0.03641488116338009,prepared input/context + scaling + transfers + predict + host log-return output,0
