model,fold,horizon_seconds,price,RMSE,MAE,R2,n,price_unit,rmse_gain_vs_e0,r2_os_vs_e0,e0_gain_status,inference_n_predictions,inference_n_calls,inference_single_n,inference_mean_ms,inference_p50_ms,inference_p95_ms,inference_p99_ms,inference_upper_bound_ms,inference_upper_bound_kind,inference_first_call_ms,inference_batch_p95_ms,inference_batch_p99_ms,inference_batch_max_ms,inference_total_seconds,inference_amortized_ms_per_prediction,inference_scope,inference_warmup_calls,inference_configured_batch_size,train_end,val_start,gap_days,duration_seconds,E0_RMSE,E0_MAE,E0_R2
autots,fold1,60,L2 mid,498.9077947759612,489.2008285674113,-24.94398455537625,17447,USDT,-31.95506018935881,-1085.035992084262,defined,17447,17447,1024,2.722385098138602,2.717434021178633,2.788565357332118,2.857513144845143,6.21979299467057,observed_max_not_hard_bound,6.21979299467057,2.7921027271077037,2.863722416805104,111.90643301233649,47.5570982885547,2.7258037650343727,prepared input/context + scaling + transfers + predict + host log-return output,0,1,2023-10-10T23:59:59.893001+00:00,2023-10-11T23:59:59.893001+00:00,1,182.3044593334198,15.13903454914819,9.914673582851,0.9761113031755182
autots,fold1,120,L2 mid,514.2084370521412,504.6854032480512,-26.51458711117577,17447,USDT,-23.63522068564281,-605.8940982303236,defined,17447,17447,1024,2.7024573440144195,2.692348003620282,2.7663105545798317,2.8258853685110807,5.812309042084962,observed_max_not_hard_bound,5.812309042084962,2.767043001949787,2.8274117002729326,11.012243980076164,47.11812739772722,2.7006435145140837,prepared input/context + scaling + transfers + predict + host log-return output,0,1,2023-10-10T23:59:59.893001+00:00,2023-10-11T23:59:59.893001+00:00,1,129.51233053207397,20.872897532101966,13.71167335358523,0.9546632811368456
autots,fold1,180,L2 mid,517.542959922545,508.1828270574812,-26.974226139080884,17447,USDT,-20.486720435082947,-460.6791550554111,defined,17447,17447,1024,2.7264778460107664,2.721032011322677,2.8078375791665167,2.937386067351326,5.584547994658351,observed_max_not_hard_bound,5.584547994658351,2.804026968078688,2.873730941209942,5.584547994658351,47.4878192495089,2.721832936866447,prepared input/context + scaling + transfers + predict + host log-return output,0,1,2023-10-10T23:59:59.893001+00:00,2023-10-11T23:59:59.893001+00:00,1,114.26629447937012,24.086642793449045,16.034201868516128,0.9394076474262231
cat,fold1,60,L2 mid,15.327266938124316,9.887778474348817,0.9755135661085501,17447,USDT,-0.012433579457463928,-0.025021752813052967,defined,17447,2047,1024,0.6407806557717777,0.5754219891969115,0.7571864989586174,0.7666966400574893,3.4888790105469525,observed_max_not_hard_bound,3.4888790105469525,0.9742426918819547,1.0553772130515418,4.6147669781930745,1.5131853056955151,0.08673040096839085,prepared input/context + scaling + transfers + predict + host log-return output,0,32,2023-10-10T23:59:59.893001+00:00,2023-10-11T23:59:59.893001+00:00,1,2.974484920501709,15.13903454914819,9.914673582851,0.9761113031755182
cat,fold1,120,L2 mid,21.348531421875172,13.92262635476274,0.9525735504383943,17447,USDT,-0.022787152049287496,-0.04609355839709228,defined,17447,2047,1024,0.675647088542064,0.7417854794766754,0.7617643481353298,0.7687274902127683,3.622738004196435,observed_max_not_hard_bound,0.8697829907760024,0.9693640400655568,1.003675548126921,3.622738004196435,1.5807050136500038,0.09060039053418947,prepared input/context + scaling + transfers + predict + host log-return output,0,32,2023-10-10T23:59:59.893001+00:00,2023-10-11T23:59:59.893001+00:00,1,2.990673542022705,20.872897532101966,13.71167335358523,0.9546632811368456
cat,fold1,180,L2 mid,24.649176811565873,16.4164097600112,0.9365443772116302,17447,USDT,-0.02335460458066918,-0.04725464671645785,defined,17447,2047,1024,0.6081158654183128,0.5746210226789117,0.7611900160554796,0.7737205183366314,2.594541001599282,observed_max_not_hard_bound,0.8487239829264581,0.9790404001250862,1.026138614397496,4.613053984940052,1.459615815547295,0.08365998828149795,prepared input/context + scaling + transfers + predict + host log-return output,0,32,2023-10-10T23:59:59.893001+00:00,2023-10-11T23:59:59.893001+00:00,1,2.7454142570495605,24.086642793449045,16.034201868516128,0.9394076474262231
lgbm,fold1,60,L2 mid,15.2381269603546,9.894995214055443,0.9757975532112527,17447,USDT,-0.006545490789700681,-0.013133825029079338,defined,17447,2047,1024,0.7113444937658642,0.6639359926339239,0.7971320184879005,0.8800929738208645,6.556478037964553,observed_max_not_hard_bound,1.4178300043568015,0.9807777008973061,1.0059780662413687,6.745729013346136,1.6481111510656774,0.09446387064055009,prepared input/context + scaling + transfers + predict + host log-return output,0,32,2023-10-10T23:59:59.893001+00:00,2023-10-11T23:59:59.893001+00:00,1,6.37498140335083,15.13903454914819,9.914673582851,0.9761113031755182
lgbm,fold1,120,L2 mid,21.420286141041498,13.984651128189178,0.9522542038241023,17447,USDT,-0.026224850100359243,-0.053137442963504755,defined,17447,2047,1024,0.7709571002010307,0.7304295140784234,0.8089008508250117,0.9074484347365795,6.487480015493929,observed_max_not_hard_bound,1.092105987481773,1.008020038716495,1.0688736953306925,6.487480015493929,1.7850226268637925,0.10231114958811215,prepared input/context + scaling + transfers + predict + host log-return output,0,32,2023-10-10T23:59:59.893001+00:00,2023-10-11T23:59:59.893001+00:00,1,5.294477462768555,20.872897532101966,13.71167335358523,0.9546632811368456
lgbm,fold1,180,L2 mid,24.54424450997423,16.51344534938725,0.9370834923135049,17447,USDT,-0.01899815264623106,-0.03835723509643163,defined,17447,2047,1024,0.7388506864458577,0.6767349841538817,0.7900994882220402,1.0417574498569555,5.989225988741964,observed_max_not_hard_bound,1.1560939601622522,1.0093247110489756,1.160990144126117,5.989225988741964,1.7095383722917177,0.0979846605314219,prepared input/context + scaling + transfers + predict + host log-return output,0,32,2023-10-10T23:59:59.893001+00:00,2023-10-11T23:59:59.893001+00:00,1,5.198120832443237,24.086642793449045,16.034201868516128,0.9394076474262231
lstm,fold1,60,L2 mid,17.436830444568734,11.687828882745583,0.9683093470385834,17447,USDT,-0.1517795529140813,-0.32659613851096103,defined,17447,2047,1024,0.32234449798806963,0.31942996429279447,0.32913651084527373,0.33328138291835785,0.9455769904889166,observed_max_not_hard_bound,0.9455769904889166,0.45045900042168796,0.45634779846295714,0.9455769904889166,0.7851049828459509,0.044999425852350027,prepared input/context + scaling + transfers + predict + host log-return output,0,32,2023-10-10T23:59:59.893001+00:00,2023-10-11T23:59:59.893001+00:00,1,20.46728801727295,15.13903454914819,9.914673582851,0.9761113031755182
