order,candidate,columns,group,MedianGain_vs_S,WinRate,P10Gain,WorstGain,MedianGain_vs_base,MedianGain_vs_E0,gain_standalone_E0,decision,eps,size_S_after,rmse_cells,gain_cells_vs_S,exp_id
1,vwap_amt_gap_2,vwap_amt_gap_2,A,-0.23917617526278967,0.26666666666666666,-0.771653860497441,-0.9612124514019493,-0.23917617526278967,-0.7618374264910965,,DROP,0.005,80,"[[73.8872, 104.797, 129.3099], [47.8015, 68.876, 83.1144], [77.9918, 109.1756, 134.8546], [45.9767, 66.1939, 80.988], [25.3983, 36.0456, 43.8187]]","[[-0.6421, -0.9612, -0.858], [0.2945, -0.2679, -0.3022], [0.0046, 0.7315, 1.2528], [-0.2273, -0.3262, -0.1761], [-0.1749, -0.2392, -0.2703]]",20260913_161715_loop_autots_mr_vwap_amt_gap_2
2,vwap_amt_gap_3,vwap_amt_gap_3,A,-0.2004643187531796,0.3333333333333333,-0.5159199093494538,-0.6802311446605591,-0.2004643187531796,-0.649718371514818,,DROP,0.005,80,"[[73.354, 104.2755, 129.0819], [47.978, 69.0111, 83.3198], [77.9283, 109.1808, 135.1528], [45.847, 66.1109, 81.0906], [25.3996, 36.0491, 43.8916]]","[[0.0843, -0.4588, -0.6802], [-0.0736, -0.4647, -0.5501], [0.086, 0.7267, 1.0344], [0.0553, -0.2005, -0.303], [-0.1802, -0.2488, -0.4372]]",20260913_161734_loop_autots_mr_vwap_amt_gap_3
3,vwap_amt_gap_4,vwap_amt_gap_4,A,-0.13066519563524892,0.2,-0.4353903197240738,-0.5531299416758007,-0.13066519563524892,-0.6238949232043156,,DROP,0.005,80,"[[73.7161, 104.3734, 128.7008], [47.9711, 68.7817, 83.0504], [77.7728, 109.3274, 135.1528], [45.9202, 66.045, 80.9619], [25.3816, 36.0779, 43.8985]]","[[-0.409, -0.5531, -0.3829], [-0.0591, -0.1307, -0.2249], [0.2854, 0.5934, 1.0344], [-0.1041, -0.1005, -0.1439], [-0.1093, -0.329, -0.453]]",20260913_161753_loop_autots_mr_vwap_amt_gap_4
4,vwap_amt_gap_5,vwap_amt_gap_5,A,0.044402781513508405,0.6666666666666666,-0.18191463657390106,-0.29967863630084857,0.044402781513508405,-0.4336025034903823,,KEEP,0.005,81,"[[73.3976, 103.5942, 127.7745], [47.8606, 68.4674, 82.6694], [78.0302, 109.9223, 136.282], [45.9251, 65.9745, 80.8097], [25.3665, 36.0411, 43.8315]]","[[0.0248, 0.1976, 0.3395], [0.1714, 0.3269, 0.2349], [-0.0446, 0.0525, 0.2076], [-0.1148, 0.0062, 0.0444], [-0.0494, -0.2267, -0.2997]]",20260913_161812_loop_autots_mr_vwap_amt_gap_5
5,vwap_amt_gap_8,vwap_amt_gap_8,A,0.23911710610858838,0.7333333333333333,-0.05948832360650246,-0.0853779195937987,0.30502718022697994,-0.44324379552724835,,KEEP,0.005,82,"[[73.0324, 103.1029, 127.4014], [47.7924, 68.4824, 82.5252], [77.8436, 109.4694, 135.7187], [45.8135, 65.8039, 80.7214], [25.3689, 36.0719, 43.8686]]","[[0.4975, 0.4742, 0.292], [0.1423, -0.022, 0.1744], [0.2391, 0.412, 0.4134], [0.2429, 0.2587, 0.1093], [-0.0096, -0.0854, -0.0845]]",20260913_161831_loop_autots_mr_vwap_amt_gap_8
6,vwap_amt_gap_10,vwap_amt_gap_10,A,-0.028876295773438976,0.3333333333333333,-0.35628479905890575,-0.7755860911741186,0.21881276929204274,-0.354945585488875,,DROP,0.005,82,"[[73.2757, 103.396, 127.7629], [47.7978, 68.4408, 82.5672], [77.8247, 109.8763, 136.7713], [45.8267, 65.7689, 80.5157], [25.3466, 36.0742, 43.8969]]","[[-0.3331, -0.2843, -0.2837], [-0.0113, 0.0608, -0.0508], [0.0243, -0.3718, -0.7756], [-0.0289, 0.0532, 0.2548], [0.0879, -0.0064, -0.0647]]",20260913_161851_loop_autots_mr_vwap_amt_gap_10
7,ret_1,ret_1,B,0.0,0.0,-0.02784020585279822,-0.05268412255197141,0.30502718022697994,-0.44324379552724835,,KEEP,0.005,83,"[[73.0324, 103.1029, 127.4014], [47.7924, 68.4824, 82.5252], [77.847, 109.517, 135.7902], [45.8135, 65.8039, 80.7214], [25.3689, 36.0719, 43.8686]]","[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [-0.0043, -0.0435, -0.0527], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]",20260913_161910_loop_autots_mr_ret_1
8,ret_2,ret_2,B,0.06613035077773777,0.6666666666666666,-0.2823118917030243,-0.36280881092634054,0.3122689400160139,-0.39082511277774845,,KEEP,0.005,84,"[[72.8495, 102.9478, 127.4399], [47.793, 68.3943, 82.4707], [77.8159, 109.4988, 135.6614], [45.9424, 65.9901, 81.0142], [25.3298, 35.9652, 43.7624]]","[[0.2505, 0.1505, -0.0302], [-0.0012, 0.1287, 0.0661], [0.0399, 0.0166, 0.0948], [-0.2814, -0.2829, -0.3628], [0.154, 0.2957, 0.2421]]",20260913_161929_loop_autots_mr_ret_2
9,ret_3,ret_3,B,0.014299744465917641,0.5333333333333333,-0.5424673763640175,-0.6770588446526782,0.2757911440254279,-0.30917392706895086,,KEEP,0.005,85,"[[73.1851, 103.6448, 128.2006], [47.7359, 68.1176, 82.2178], [77.7803, 109.2752, 135.2958], [45.9842, 66.0974, 81.0603], [25.2819, 35.9674, 43.7561]]","[[-0.4607, -0.6771, -0.5969], [0.1195, 0.4045, 0.3066], [0.0458, 0.2042, 0.2695], [-0.091, -0.1626, -0.0569], [0.1894, -0.006, 0.0143]]",20260913_161949_loop_autots_mr_ret_3
10,ret_4,ret_4,B,0.02057573503521093,0.5333333333333333,-0.3001535252719689,-0.44728954552928357,0.30793361568550726,-0.38352684149962624,,KEEP,0.005,86,"[[73.3692, 103.8549, 128.6269], [47.6587, 68.2401, 82.5856], [77.7643, 109.4358, 135.4221], [45.9531, 65.766, 80.5905], [25.2759, 35.9089, 43.6877]]","[[-0.2516, -0.2027, -0.3325], [0.1617, -0.1798, -0.4473], [0.0206, -0.147, -0.0934], [0.0677, 0.5013, 0.5795], [0.0237, 0.1626, 0.1564]]",20260913_162010_loop_autots_mr_ret_4
