order,candidate,columns,group,MedianGain_vs_S,WinRate,P10Gain,WorstGain,MedianGain_vs_base,MedianGain_vs_E0,gain_standalone_E0,decision,eps,size_S_after,rmse_cells,gain_cells_vs_S,exp_id
1,vwap_amt_gap_2,vwap_amt_gap_2,A,0.00901635828088887,0.5333333333333333,-0.1272111466267667,-0.14544506546196878,0.00901635828088887,-0.3069355653752659,,KEEP,0.16903812887090555,94,"[[73.3574, 102.336, 125.725], [47.71, 68.3321, 82.1138], [78.1486, 109.5217, 134.8996], [45.9983, 66.0078, 80.8144], [25.3057, 35.8022, 43.5645]]","[[0.1677, 0.009, -0.1454], [0.033, -0.0105, -0.0783], [0.3859, 0.3878, 0.3302], [-0.1004, -0.0748, -0.1451], [0.1527, -0.0401, 0.0266]]",20260913_040847_loop_autots_wr_vwap_amt_gap_2
2,vwap_amt_gap_3,vwap_amt_gap_3,A,0.0235388190558794,0.5333333333333333,-0.3500020033671891,-0.3841684250397437,0.01037642596007915,-0.20770163599985736,,KEEP,0.16903812887090555,95,"[[73.5493, 102.3836, 125.7269], [47.6987, 68.3014, 82.074], [78.4488, 109.9366, 135.3133], [45.9746, 65.9128, 80.7345], [25.3192, 35.7488, 43.4513]]","[[-0.2615, -0.0466, -0.0015], [0.0235, 0.0449, 0.0485], [-0.3842, -0.3789, -0.3066], [0.0514, 0.144, 0.0989], [-0.0534, 0.1491, 0.2598]]",20260913_041120_loop_autots_wr_vwap_amt_gap_3
3,vwap_amt_gap_4,vwap_amt_gap_4,A,-0.05066068126278189,0.3333333333333333,-0.2178191476073632,-0.28770693146518145,-0.0804356396084227,-0.3529225733626351,,KEEP,0.16903812887090555,96,"[[73.5756, 102.2834, 125.7882], [47.6382, 68.2842, 82.1156], [78.1559, 109.8696, 135.4876], [46.0321, 66.1024, 80.8673], [25.3363, 35.8334, 43.5338]]","[[-0.0358, 0.0979, -0.0488], [0.127, 0.0252, -0.0507], [0.3733, 0.061, -0.1288], [-0.1249, -0.2877, -0.1645], [-0.0676, -0.2366, -0.1897]]",20260913_041355_loop_autots_wr_vwap_amt_gap_4
4,vwap_amt_gap_5,vwap_amt_gap_5,A,-0.03000507142736364,0.4,-0.30335100803709825,-0.32885044351653736,-0.04883707638694279,-0.4024095318219567,,KEEP,0.16903812887090555,97,"[[73.571, 102.6091, 125.896], [47.7263, 68.2804, 82.0516], [78.413, 110.0017, 135.8679], [45.9605, 66.0278, 80.8913], [25.38, 35.7904, 43.5468]]","[[0.0062, -0.3185, -0.0857], [-0.1851, 0.0056, 0.078], [-0.3289, -0.1203, -0.2807], [0.1555, 0.1129, -0.0297], [-0.1722, 0.12, -0.03]]",20260913_041633_loop_autots_wr_vwap_amt_gap_5
5,vwap_amt_gap_8,vwap_amt_gap_8,A,0.05163580104019516,0.6666666666666666,-0.07600563647904846,-0.1434980614932524,-0.028783259689202367,-0.2714007577752753,,KEEP,0.16903812887090555,98,"[[73.2978, 102.1466, 125.5185], [47.6634, 68.3784, 82.1227], [78.3607, 109.9797, 135.8529], [45.9881, 66.0598, 80.7858], [25.306, 35.8031, 43.5243]]","[[0.3713, 0.4508, 0.2999], [0.132, -0.1435, -0.0867], [0.0667, 0.02, 0.011], [-0.06, -0.0484, 0.1305], [0.2913, -0.0356, 0.0516]]",20260913_041908_loop_autots_wr_vwap_amt_gap_8
6,vwap_amt_gap_10,vwap_amt_gap_10,A,2.9428921632934646e-05,0.5333333333333333,-0.11808984225853525,-0.14418507296518612,0.033891706398814225,-0.32071597366951643,,KEEP,0.16903812887090555,99,"[[73.3679, 102.0659, 125.5305], [47.6633, 68.2431, 82.1028], [78.3564, 110.0086, 135.9807], [45.9808, 65.9362, 80.6697], [25.3397, 35.8548, 43.5544]]","[[-0.0956, 0.079, -0.0096], [0.0, 0.1978, 0.0242], [0.0055, -0.0263, -0.0941], [0.0158, 0.1871, 0.1437], [-0.1331, -0.1442, -0.0691]]",20260913_042142_loop_autots_wr_vwap_amt_gap_10
7,ret_1,ret_1,B,-0.00804089075097103,0.4,-0.09451515368280372,-0.18551293584541106,-0.00686812680465998,-0.3759545486451854,,KEEP,0.16903812887090555,100,"[[73.3637, 101.9638, 125.6048], [47.6676, 68.2101, 82.1974], [78.2481, 109.7509, 135.8544], [45.9845, 65.978, 80.6749], [25.3867, 35.8772, 43.5791]]","[[0.0057, 0.1, -0.0591], [-0.009, 0.0484, -0.1152], [0.1382, 0.2343, 0.0929], [-0.008, -0.0634, -0.0065], [-0.1855, -0.0627, -0.0566]]",20260913_042416_loop_autots_wr_ret_1
8,ret_2,ret_2,B,-0.018369843115184636,0.4666666666666667,-0.13856345489267952,-0.15553890745396703,-0.0055515808529360555,-0.30968898945546997,,KEEP,0.16903812887090555,101,"[[73.259, 102.1138, 125.5376], [47.7418, 68.2852, 82.0051], [78.0634, 109.8889, 135.8278], [46.03, 65.9906, 80.7509], [25.3914, 35.8731, 43.5785]]","[[0.1428, -0.1471, 0.0535], [-0.1555, -0.1102, 0.234], [0.2361, -0.1257, 0.0196], [-0.0989, -0.0191, -0.0942], [-0.0184, 0.0117, 0.0013]]",20260913_042653_loop_autots_wr_ret_2
9,ret_3,ret_3,B,-0.04935312002116721,0.4,-0.20068289157146868,-0.2943734435941092,0.0022751626280848036,-0.23140992875294586,,KEEP,0.16903812887090555,102,"[[73.3193, 102.2441, 125.9071], [47.8092, 68.355, 82.2007], [78.074, 109.8555, 136.0234], [46.0277, 65.957, 80.7907], [25.3154, 35.7552, 43.4237]]","[[-0.0824, -0.1276, -0.2944], [-0.1412, -0.1021, -0.2385], [-0.0137, 0.0303, -0.144], [0.005, 0.0509, -0.0494], [0.2992, 0.3284, 0.3552]]",20260913_042930_loop_autots_wr_ret_3
10,ret_4,ret_4,B,0.000539433592228189,0.5333333333333333,-0.09539829895575558,-0.13067160991955262,-0.016068068708818828,-0.27952783729865427,,KEEP,0.16903812887090555,103,"[[73.3787, 102.2435, 125.9137], [47.8594, 68.2902, 82.1372], [77.7479, 109.4741, 135.7128], [45.9688, 65.995, 80.7923], [25.3485, 35.7575, 43.4024]]","[[-0.081, 0.0005, -0.0052], [-0.105, 0.0948, 0.0773], [0.4178, 0.3472, 0.2284], [0.1279, -0.0576, -0.0019], [-0.1307, -0.0063, 0.049]]",20260913_043208_loop_autots_wr_ret_4
