order,candidate,columns,group,MedianGain_vs_S,WinRate,P10Gain,WorstGain,MedianGain_vs_base,MedianGain_vs_E0,gain_standalone_E0,decision,eps,size_S_after,rmse_cells,gain_cells_vs_S,exp_id
1,vwap_amt_gap_2,vwap_amt_gap_2,A,0.2569620507249959,1.0,0.07826261265501122,0.016259817819530564,0.2569620507249959,-0.08835638128275036,,KEEP,0.35905329429797056,1,"[[73.1659, 101.8414, 124.8322], [47.7051, 68.3837, 82.1074], [77.6955, 109.2156, 133.9012], [45.9677, 66.0326, 80.7607], [25.2641, 35.7717, 43.4829]]","[[0.0163, 0.1544, 0.257], [0.1556, 0.1568, 0.4144], [0.5016, 0.3749, 0.5705], [0.2582, 0.2924, 0.498], [0.065, 0.0982, 0.1645]]",20260912_055819_loop_tfm_vwap_amt_gap_2
2,vwap_amt_gap_3,vwap_amt_gap_3,A,-0.0161610286394831,0.26666666666666666,-0.1752086144532239,-0.24685373297397284,0.1952045054428142,-0.12148369654723101,,KEEP,0.35905329429797056,2,"[[73.1777, 102.0195, 125.0511], [47.6669, 68.3574, 82.1352], [77.6925, 109.4853, 133.9137], [45.9748, 66.0758, 80.8066], [25.2757, 35.7762, 43.4802]]","[[-0.0162, -0.1749, -0.1754], [0.0799, 0.0385, -0.0338], [0.0038, -0.2469, -0.0093], [-0.0154, -0.0654, -0.0568], [-0.046, -0.0125, 0.0063]]",20260912_055819_loop_tfm_vwap_amt_gap_3
3,vwap_amt_gap_4,vwap_amt_gap_4,A,-0.05531270283896106,0.2,-0.11496403248763887,-0.5646531944125455,0.14939482763743905,-0.2414843249333165,,KEEP,0.35905329429797056,3,"[[73.2755, 102.1082, 125.1257], [47.6881, 68.4157, 82.181], [78.1312, 109.4493, 133.9877], [46.0041, 66.0653, 80.7923], [25.2788, 35.7905, 43.4895]]","[[-0.1336, -0.087, -0.0596], [-0.0444, -0.0853, -0.0558], [-0.5647, 0.0329, -0.0553], [-0.0637, 0.0158, 0.0177], [-0.0123, -0.0402, -0.0215]]",20260912_055819_loop_tfm_vwap_amt_gap_4
4,vwap_amt_gap_5,vwap_amt_gap_5,A,-0.005735939048445715,0.4,-0.12573551462292887,-0.6468670577257196,0.13560721899029682,-0.24420936536082571,,KEEP,0.35905329429797056,4,"[[73.2674, 102.0943, 125.0729], [47.7146, 68.4353, 82.2059], [78.6366, 109.4556, 134.2189], [45.997, 66.0582, 80.7879], [25.2882, 35.7937, 43.4914]]","[[0.011, 0.0137, 0.0422], [-0.0556, -0.0286, -0.0304], [-0.6469, -0.0057, -0.1725], [0.0154, 0.0109, 0.0054], [-0.0371, -0.0088, -0.0044]]",20260912_055819_loop_tfm_vwap_amt_gap_5
5,vwap_amt_gap_8,vwap_amt_gap_8,A,-0.007378731383855808,0.3333333333333333,-0.04084467959182714,-0.18222979958999463,0.111401439196257,-0.23505280043663035,,KEEP,0.35905329429797056,5,"[[73.2607, 102.0608, 125.0494], [47.7151, 68.4343, 82.1999], [78.7799, 109.5045, 134.2659], [46.0004, 66.0685, 80.7969], [25.2889, 35.7971, 43.5007]]","[[0.0091, 0.0328, 0.0188], [-0.001, 0.0014, 0.0073], [-0.1822, -0.0447, -0.0351], [-0.0074, -0.0157, -0.0111], [-0.0026, -0.0095, -0.0213]]",20260912_055819_loop_tfm_vwap_amt_gap_8
6,vwap_amt_gap_10,vwap_amt_gap_10,A,-0.018957560151200425,0.26666666666666666,-0.07356512128005477,-0.10810150935316454,0.06312516681976632,-0.23696940141524347,,KEEP,0.35905329429797056,6,"[[73.2746, 102.095, 125.0521], [47.7156, 68.4486, 82.2654], [78.8651, 109.5574, 134.1824], [45.9883, 66.026, 80.7314], [25.2889, 35.8063, 43.5287]]","[[-0.019, -0.0335, -0.0022], [-0.0012, -0.0209, -0.0796], [-0.1081, -0.0483, 0.0622], [0.0263, 0.0643, 0.081], [-0.0003, -0.0259, -0.0645]]",20260912_055820_loop_tfm_vwap_amt_gap_10
7,ret_1,ret_1,B,0.012081524664775412,0.5333333333333333,-0.7551693238340861,-2.5006285692094288,-0.052430243392942444,-0.22711430499549046,,KEEP,0.35905329429797056,7,"[[73.2549, 102.0826, 125.0173], [47.7867, 68.4399, 82.2051], [79.1045, 110.7145, 137.5378], [45.9709, 65.9985, 80.713], [25.3011, 35.8342, 43.5774]]","[[0.0269, 0.0121, 0.0278], [-0.1489, 0.0127, 0.0732], [-0.3037, -1.0562, -2.5006], [0.0378, 0.0417, 0.0229], [-0.0483, -0.0778, -0.1119]]",20260912_055820_loop_tfm_ret_1
8,ret_2,ret_2,B,-0.024653922898165703,0.2,-0.4187108023643304,-1.7597117584568611,-0.0832766456095424,-0.28021395245481084,,KEEP,0.35905329429797056,8,"[[73.2611, 102.0838, 125.0416], [47.8035, 68.4665, 82.2165], [79.0371, 111.4008, 139.9581], [45.9525, 66.0147, 80.688], [25.3307, 35.8646, 43.5969]]","[[-0.0085, -0.0011, -0.0194], [-0.0352, -0.0389, -0.0139], [0.0852, -0.6199, -1.7597], [0.04, -0.0247, 0.031], [-0.117, -0.0848, -0.0447]]",20260912_055820_loop_tfm_ret_2
9,ret_3,ret_3,B,-0.07335967177179992,0.2,-2.467604778070571,-3.645682254282856,-0.09696403146606247,-0.2931675102441744,,KEEP,0.35905329429797056,9,"[[73.2667, 102.0917, 125.0221], [47.8433, 68.5167, 82.2884], [80.246, 115.4621, 144.287], [46.0205, 66.0672, 80.6881], [25.3353, 35.8603, 43.5968]]","[[-0.0076, -0.0077, 0.0156], [-0.0834, -0.0734, -0.0875], [-1.5295, -3.6457, -3.093], [-0.1479, -0.0795, -0.0002], [-0.0179, 0.0119, 0.0002]]",20260912_055820_loop_tfm_ret_3
10,ret_4,ret_4,B,-0.00752822905862871,0.4,-1.5650627840268116,-2.386240743168022,-0.0577287598710452,-0.30071780962450667,,KEEP,0.35905329429797056,10,"[[73.2954, 102.0577, 124.9531], [47.8469, 68.5254, 82.2868], [82.1608, 117.426, 146.2513], [46.0205, 66.1221, 80.6806], [25.3352, 35.8702, 43.5755]]","[[-0.0392, 0.0332, 0.0552], [-0.0075, -0.0126, 0.002], [-2.3862, -1.7008, -1.3614], [-0.0, -0.083, 0.0093], [0.0003, -0.0275, 0.0489]]",20260912_055820_loop_tfm_ret_4
