col,PI_h1,PI_h2,PI_h3,keep
vwap_amt_gap_2,0.317791074993778,0.4895379905635953,0.09656963819528386,True
vwap_amt_gap_3,1.351166422262357,0.552535136439559,0.7596105971496314,True
vwap_amt_gap_4,1.8248120016700209,2.2489212111404364,0.6416658037085767,True
vwap_amt_gap_5,0.9133323406821697,3.203358029499791,2.4206256971619475,True
vwap_amt_gap_8,0.5200778192967318,1.0191333375110883,0.8392819110458684,True
vwap_amt_gap_10,1.116613336126008,2.910027794324795,0.9985900422641691,True
ret_1,inf,inf,inf,True
ret_2,27496.89623310723,66863.83987194166,50768.09730716428,True
ret_3,6337.869894969966,12867.155207354599,10745.994647756223,True
ret_4,1533.8622460524732,2899.485575811472,2276.3173670106476,True
ret_5,241.85244277788024,344.5449806843155,257.2528656961765,True
ret_8,1.248279133669146,1.8475646882338974,0.8967404960086919,True
ret_10,0.5278109453976848,0.7537419819037415,0.2515285849074971,True
ret_15,0.016906624631603268,0.5120130163816062,0.002638520088829921,True
log_rv2_rv60,33.25322302756238,35.69827970335304,193.77829769966704,True
log_rv3_rv60,52.248917858752264,13.410661949245863,14.58780669911628,True
log_rv4_rv60,77588519964.00243,5.0861754211948026e+22,7.462231042446522e+27,True
log_rv5_rv60,1.5177371424637865e+30,4.399537487214384e+40,3.854915470736771e+22,True
log_rv8_rv60,inf,1.9456130869338478e+24,inf,True
log_rv10_rv60,7.19779124242988e+33,inf,inf,True
log_rv15_rv60,3.1541961614988167e+30,inf,inf,True
log_c_ema2,inf,inf,inf,True
log_c_ema3,inf,inf,inf,True
log_c_ema4,inf,inf,inf,True
log_c_ema5,inf,inf,inf,True
log_c_ema8,inf,inf,inf,True
log_c_ema10,inf,inf,inf,True
log_c_ema15,inf,inf,inf,True
log_ema2_ema5,inf,inf,inf,True
log_ema2_ema8,inf,inf,inf,True
log_ema3_ema10,inf,inf,inf,True
log_ema4_ema10,inf,inf,inf,True
log_ema5_ema15,inf,inf,inf,True
rsi1_centered,7.027322031403107,5.997503403318873,22.344158191105198,True
rsi2_centered,1.0276800737368557,6.374533156928382,6.832386578442453,True
rsi3_centered,74.4626559785133,164.86272403763311,124.47858391120123,True
rsi4_centered,234.3253420201962,538.2660623256389,333.44449934883426,True
rsi5_centered,306.263504159712,546.5636704980469,302.4488733031301,True
rsi8_centered,501.80295101352505,971.0108005064898,544.1055769507029,True
rsi10_centered,403.26346035588637,656.0844471049995,704.2253012996485,True
rsi15_centered,16.90547242510657,41.1816858810001,69.73625381197779,True
bb_pctb_2,6.663258662763482,10.25096743116653,25.029673382993963,True
bb_pctb_3,0.09690871662592097,0.05062962412542523,0.11534658524567476,True
bb_pctb_4,0.03337608876244502,0.26122734308800943,0.6173909531515278,True
bb_pctb_5,0.0852218778685921,0.09158000520690734,0.2503726544360063,True
bb_pctb_8,0.552438471001557,1.356922113262134,0.1840369035274231,True
bb_pctb_10,0.4691303584317919,1.2688725548762723,0.5584152249265012,True
bb_pctb_15,0.08769447384302372,0.3551680735957632,1.0976598365148742,True
bb_logbw_3,0.07943921689669746,0.0952611315225435,0.029884408814898695,True
bb_logbw_4,0.42418227833926636,0.004506212543854342,0.06409026581415607,True
bb_logbw_5,0.3707786274143435,0.15943831190873206,0.13493179640294053,True
bb_logbw_8,0.0710978476971486,0.22915209879318374,0.7046836779615688,True
bb_logbw_10,0.246102287717207,0.27066907285654906,0.2575086958431048,True
bb_logbw_15,0.40161842896924327,1.2918549436964497,0.9979880136938561,True
log_atr1_c,457.86934495879177,581.01798098552,133.02683745255192,True
log_atr2_c,1.1522812863152938e+36,inf,inf,True
log_atr3_c,18191859071339.06,inf,inf,True
log_atr4_c,1155901869887329.2,inf,inf,True
log_atr5_c,1.232845139427345e+21,3.5937390511218026e+24,inf,True
log_atr8_c,inf,inf,inf,True
log_atr10_c,71075840266.3562,inf,inf,True
log_atr15_c,7.339163859540015e+39,inf,1.8418168562280969e+25,True
log_atr2_rv2,0.28279792894763034,0.9900566482580521,2.926141713560549,True
log_atr3_rv3,0.8762114470261508,0.15529954406179058,0.6404374462667022,True
log_atr4_rv4,8122733418.756972,2.3683133501966076e+21,2.578632816131864e+17,True
log_atr5_rv5,3.5638706639250206e+22,5.506044377941695e+31,931566857309928.6,True
log_atr8_rv8,inf,2.684276912124991e+21,inf,True
log_atr10_rv10,3.818279346992965e+21,inf,8.031332829544552e+37,True
log_atr15_rv15,1.5003463357818263e+24,inf,6.486021571706791e+35,True
kcw_2,4.143163353657062e+33,inf,inf,True
kcw_3,1258968776171.2566,inf,inf,True
kcw_4,1.1434164929776097e+19,inf,inf,True
kcw_5,3.7817217359780086e+32,1.5454914172086213e+31,inf,True
kcw_8,2.058482730477997e+38,inf,inf,True
kcw_10,3.4862121380560207e+25,inf,inf,True
kcw_15,4.746489615339158e+27,inf,inf,True
mfi1_centered,0.13291810876658872,0.010611100331487933,-0.0022927346047225683,True
mfi2_centered,0.011920934063529861,0.03660964159864003,-0.002142072091738593,True
mfi3_centered,0.04571465783502049,-0.01345336085498161,-0.010080358933014585,False
mfi4_centered,0.02346257222317642,0.04544825748900886,0.005402833691157127,True
mfi5_centered,0.08612533052195204,0.08442397016415981,0.05012176811731687,True
mfi8_centered,0.07357831713084906,0.08044173421360767,0.024597306303019668,True
mfi10_centered,0.06750151727305347,0.028543892593361875,0.1854704250974019,True
mfi15_centered,0.004029044360136662,0.020088701652165735,0.10357488729903726,True
ad_vwclv_1,0.25709814528966035,0.06577190346587969,0.0852814667612923,True
ad_vwclv_2,0.009127562903595768,0.03178814741560861,0.31304503403583794,True
ad_vwclv_3,0.0046696589058967675,-0.0010931782008990847,0.025748097007152637,True
ad_vwclv_4,0.0076169801451181724,0.00025100277953290134,0.011792130787905345,True
ad_vwclv_8,0.04531905604901946,0.04858931322255463,0.04054483888495497,True
ad_vwclv_10,0.04634429632559053,0.08310806608352787,0.036034100265889414,True
dd_2,inf,inf,inf,True
dd_3,0.42049131392930406,0.2357884243933744,0.4234820790116487,True
dd_4,0.1817050271152567,1.7402790782511441,0.28948928477877206,True
dd_5,0.20317651699305608,0.7120019832528518,0.518392737880499,True
dd_8,0.5291809525585242,0.20906578759496597,0.4042442217177798,True
dd_10,0.6671600044572609,0.8669628228786811,0.14016485390787636,True
dd_15,0.6095413098340844,0.8907282757961544,0.5691227326501197,True
ru_2,inf,inf,inf,True
ru_3,0.28741745062278073,0.08409263759220664,0.21000702034750893,True
ru_4,0.11772566269479275,0.6373058418916079,0.2625682203277175,True
ru_5,1.060278151183778,0.08728210539627668,0.014448617307219061,True
ru_8,0.752853673465315,0.5016652998921837,0.8824932750535955,True
ru_10,0.44395798545684784,1.0936942165175008,0.6398454365775166,True
ru_15,0.04851681279999909,0.08984661837250958,0.5954587494574971,True
