model,fold,horizon_minutes,rmse_mean_over_seeds,rmse_e0,rmse_gain_vs_e0,r2_os_vs_e0,aggregation,e0_status
tfm,1,1,73.20657717457716,73.088929789322,-0.0016096471188493666,-0.003221964831026991,"mean over seed-specific metrics, then unweighted mean over folds",ok
tfm,1,2,102.04531556125319,101.79853648464048,-0.0024241908099527087,-0.004854766759634366,"mean over seed-specific metrics, then unweighted mean over folds",ok
tfm,1,3,125.24715225605975,124.67308166898866,-0.0046046073409435895,-0.009232631808400615,"mean over seed-specific metrics, then unweighted mean over folds",ok
tfm,2,1,47.71188832268606,47.703468603224756,-0.00017650120018175564,-0.0003540368898107271,"mean over seed-specific metrics, then unweighted mean over folds",ok
tfm,2,2,68.42123205370378,68.35523248430447,-0.0009655379259292385,-0.0019328773625197915,"mean over seed-specific metrics, then unweighted mean over folds",ok
tfm,2,3,82.37607013285404,82.1496112451706,-0.0027566641430303296,-0.005522463933053112,"mean over seed-specific metrics, then unweighted mean over folds",ok
tfm,3,1,78.19538992572967,77.7121588887322,-0.006218216607382532,-0.012485458953942707,"mean over seed-specific metrics, then unweighted mean over folds",ok
tfm,3,2,110.18314074402497,108.93836980236009,-0.011426377537346877,-0.02304328230551378,"mean over seed-specific metrics, then unweighted mean over folds",ok
tfm,3,3,135.68731631255488,133.66494505420908,-0.015130154413527164,-0.030606364215360893,"mean over seed-specific metrics, then unweighted mean over folds",ok
tfm,4,1,46.039932233460725,45.93481574241685,-0.002288383861890786,-0.004582550531912366,"mean over seed-specific metrics, then unweighted mean over folds",ok
tfm,4,2,66.13727717493593,65.86993983257041,-0.004058563633806855,-0.008134515381489349,"mean over seed-specific metrics, then unweighted mean over folds",ok
tfm,4,3,81.05670976742395,80.56711274063696,-0.006076884353087175,-0.01219169869967951,"mean over seed-specific metrics, then unweighted mean over folds",ok
tfm,5,1,25.27884427209499,25.256956491416414,-0.0008666040457414592,-0.0017341526752507885,"mean over seed-specific metrics, then unweighted mean over folds",ok
tfm,5,2,35.78666888524038,35.74012664147736,-0.0013022405944418391,-0.002606758258365982,"mean over seed-specific metrics, then unweighted mean over folds",ok
tfm,5,3,43.502988779312226,43.41365554405294,-0.002057722026393982,-0.004121152121301819,"mean over seed-specific metrics, then unweighted mean over folds",ok
autots,1,1,73.35572685880727,73.088929789322,-0.003650307512427897,-0.007313939769791222,"mean over seed-specific metrics, then unweighted mean over folds",ok
autots,1,2,104.64206096654978,101.79853648464048,-0.02793286210296686,-0.05664596899119734,"mean over seed-specific metrics, then unweighted mean over folds",ok
autots,1,3,130.52350819224714,124.67308166898866,-0.046926140309834885,-0.09605434326404838,"mean over seed-specific metrics, then unweighted mean over folds",ok
autots,2,1,47.578530369683016,47.703468603224756,0.0026190597287781836,0.005231259983693781,"mean over seed-specific metrics, then unweighted mean over folds",ok
autots,2,2,68.3828896061133,68.35523248430447,-0.000404608700806941,-0.0008093811098146553,"mean over seed-specific metrics, then unweighted mean over folds",ok
autots,2,3,82.32911261820655,82.1496112451706,-0.002185054442926493,-0.004374883348771785,"mean over seed-specific metrics, then unweighted mean over folds",ok
autots,3,1,77.92352064208762,77.7121588887322,-0.002719802877411359,-0.0054470030825144455,"mean over seed-specific metrics, then unweighted mean over folds",ok
autots,3,2,112.74049735577421,108.93836980236009,-0.034901638057482254,-0.07102140045406014,"mean over seed-specific metrics, then unweighted mean over folds",ok
autots,3,3,144.92593637983862,133.66494505420908,-0.08424790300151264,-0.17559351516317778,"mean over seed-specific metrics, then unweighted mean over folds",ok
autots,4,1,45.96873881479832,45.93481574241685,-0.0007385045925012435,-0.0014775545740353113,"mean over seed-specific metrics, then unweighted mean over folds",ok
autots,4,2,65.97467639720163,65.86993983257041,-0.001590051014126459,-0.0031826302904804926,"mean over seed-specific metrics, then unweighted mean over folds",ok
autots,4,3,80.97033359903175,80.56711274063696,-0.0050047822824785815,-0.010034612410652066,"mean over seed-specific metrics, then unweighted mean over folds",ok
autots,5,1,25.271235410372565,25.256956491416414,-0.0005653459854120246,-0.0011310115869076487,"mean over seed-specific metrics, then unweighted mean over folds",ok
autots,5,2,35.785387281249335,35.74012664147736,-0.0012663816283025042,-0.002534366979033642,"mean over seed-specific metrics, then unweighted mean over folds",ok
autots,5,3,43.486460732492645,43.41365554405294,-0.0016770112428294848,-0.003356834852367374,"mean over seed-specific metrics, then unweighted mean over folds",ok
